# colors_mcd20.0_mld5.0_nc6_cvd100_minj40_maxj80_ns10000_f
# Python 3.6.9 (default, Jan 26 2021, 15:33:00) [GCC 8.4.0]
# NumPy 1.19.5, Numba 0.53.1, Joblib 1.0.1
0045ff 60639d 876d6f 99c2e4 aaaa8a e93f23
00c5a0 3e82a3 8d19f9 97275c 9f8241 afb3ef
00c838 5b6557 939392 af4f06 b251ea dca1f8
00cdb6 1a7800 7b6997 9b9cee cbc342 d66b6c
00d3dc 813e71 90b333 9168e5 b3293d cd6d93
00d3ed 5c4ab9 816377 9778fe c9988a df252d
00d4eb 3782ef 5d6b81 67572f 979894 fa8935
00d7fd 0f9cae 934721 99b79d a024e8 f77125
00e239 4d5d6c 8e33cd a083d1 c53730 f17c95
00e60f 199902 6d3dc2 9ebb90 b24669 b271c0
0161f2 545a7b 80a9e5 9d6460 f81f00 faa877
0162fd 50e13a 717497 963c32 b1aae9 c37870
016a7c 98c8d4 9f7f70 a5ba21 b93700 ee45eb
016cff 66dd5a 754f91 90a389 d0471a d195dd
016d8d 4fb305 9b6356 a761fd aab19d eba0e3
0178ff 805694 9c2445 a6afb3 cd7a5a d6be19
017a6d 7ec297 923d24 a977cd c5b9da ec7c2b
017d8c 36d9d9 53634f 7b9f8d a640fa df922a
017e29 71439e 7ebe05 8f74fa d37784 d8a8f9
0180fb 696d59 8aacde 8d3c7d a5900e f5a293
018571 17c8a3 7637bc 9493d4 dab541 e92414
018b73 644f8c 8bbb85 8f5b08 aa7dbe f1b10b
018e12 4cde75 6f5653 872ef7 a497fd cb659e
01a1fa 0c66b2 778391 aa533b aac3ba d4922f
01a4df 4c55d9 7b8280 a5c7d0 b25125 c8ac7d
01a9e5 564ec4 91738e 99b5a8 a94e44 f2ac21
01affe 52662d 95c742 9702ff af8677 dc229e
01b117 5b707c 8f4405 b526ec cbaea2 f267de
01b598 3b5c94 736459 9fd067 cb6c0d df89ff
01b700 696725 6c5de5 a6b1cf b26b86 d9b79b
01b8f2 8058bd 874065 ac8685 e04604 faab40
01bbe2 4a78c9 6d4e68 90868f a44b27 e4a742
01c43a 7c4983 965af7 b9b1ea bc320c c2748a
01c69a 3a5ce5 6b767b 9f222f b4baf2 e94f3e
01c73c 1a8b2d 7439e1 9186fe 95759a bbb0be
01c946 4a61db 618344 695860 ae87a2 b9aefc
01cb9c 367e4d 981e7e 9e48fe bbca0a bf78bf
01cbb6 7d945d 81608a ae1706 b8cb0c ba7efd
01cca0 3e69b5 8898bc 926966 d1be21 eb2b05
01cd47 777727 8074dd 95336d b8b9ee c47191
01d20d 698702 8019e5 84625e c1beaf f336ad
01d424 433bfc 5f9656 a67cfe ae338d d6b0e9
01d7d6 5f7d77 664e85 8fb88c c16be3 ca5c2a
01d7fc 488454 6c5b83 91bca2 976dfd aea201
01d8f9 308149 95bbab a71788 aba710 d43ff6
01dd94 6c3dbe 925469 9377fc c79cbe e81618
01dec0 57829f 7437be a2abf0 a4a55a a54854
01dfad 3c9298 a1a2fb a44358 ab22fe ab8b26
024cfa 40ab75 a5618c b3b415 b3beee b83619
025bcc 12ada3 94d085 985166 bc8cfd dc5038
0263ec 4b5c6d 61acd3 9b8485 c0562e e7a03c
026688 02dfad 7091df 9c7676 a64600 acb631
026d6c 3fb39b 68753a b81cfe cabc3b fa67ff
026eff 785c43 7a84ac 99c6f3 b9a086 f45b07
0271ff 5b5a58 998b86 99bbdf ad1b99 db9619
027770 6934d3 6d7f36 89c6eb 98b83a c164fc
027986 6e9ef8 830bda a17456 aba9b7 e1b47c
027b6b 3bc279 6f48a4 957122 aa75f6 e29cc5
027bc5 18baed 715c5b 839993 b0760e bbc06b
027e78 43c9da a33025 a4a889 c933d9 f45516
027ecb 90b8d5 9b2f39 ac7386 dab79b fc4c1f
0282ff 4b598e 818f97 a2c2f9 c22825 f68a44
02887c 6959b0 784d3a abc979 d586c3 e35e03
0293f4 4f46cd 6bad29 837593 b22952 ccacbf
029971 54d88f 86a006 913876 9c36e8 d77ae2
0299fd 3f4cdb 7b809c b1bca8 c43842 d89027
029b83 36626b 74d0cc 97ae36 9c4c35 c466e5
02a0a2 8463f4 933f5b 9fc3f5 ce0300 ce8364
02a5ff 415fe4 777e84 844540 91cac1 b0af48
02a6fd 714be0 86d583 8b6993 b0aab9 d74e40
02ab97 6b517c a062fe b5bced c93352 ca9710
02afe7 6d542d 789b24 832deb bfb4b0 c93a80
02b542 576c5b a41c06 b09cf5 b528f2 d9b0b2
02bdf8 674de1 86808b a21049 edaba0 fa6007
02be90 307d6c 6f4a96 aec1e1 b079ed c76921
02c3f6 0a70bc 675653 8fa1a4 d3bb72 d55c18
02c6c8 5971fb 6c5845 9fd02e a94385 bc8c80
02cb27 317fed 4e7f36 6e5562 afb8d6 b28e8f
02d100 6258f1 868650 9b2a86 c1b2fe d475a0
02d4d3 1f770b 806de9 92b319 ac8474 bc2989
02d7ff 515c76 5f97a4 ae422b af3cfa bca929
02d8f7 5e8635 695a5c 85c44f ad909f da1ee0
02dcc4 389486 4a6411 89b328 8b10ff c568e1
02df8c 5162f3 947c8f 973417 a3a7e6 cb801a
02dfb2 17a088 4d621d 8f0cf8 aca7f1 bb9235
02e524 516c82 75a868 963442 a24ef4 d09bd0
034def 68648d 8e6d5a 948ff4 d0aac3 fe7e21
0350ec 676a67 b1b0bd ba5721 ce73ff fda950
0356ef 616b90 6195fc 9eaab8 ad7054 f9a557
035fb1 3e90fe 787d92 aa403e cab6e6 d89d71
035ff0 6b4c80 a9c7b2 aa5964 b88fbb f22304
0362fe 5cc396 764f5c 7a78a9 c2b3f2 e76921
0365ef 645e05 7594b0 c3bebb d53972 db925c
03676c 48b8a2 82783f 8e02f8 afcb44 cb56c3
036a63 26a68e 616f17 9ab642 c242c5 f993dd
036bc2 4aaee2 9a1c6b aab832 b76e77 d82303
0374b8 5b5c69 71abd7 979191 d84036 deb419
037967 786fad 7fc18c 96391c f49fdc f77213
0379f9 505988 78c536 9b7e85 b2341a f79cec
037a2f 2bddba 7cb32d 8e3363 904ff9 a97da4
037b6e 26b4a2 5a631d a9b94a ad54c7 fa94ff
037b71 7c7930 7f95d7 9118b1 aaa6a8 f2a035
037c1b 694c8a 6cbd40 a27dfc a47281 d6acd9
03800b 6c565c 8064dc 92b1d9 b19289 fca72b
0380ff 746c8f 74afb0 913a2d b28660 b7c531
0387eb 6d536a 6fbe47 a44728 af8c9c c6b4f5
038f2f 595d5b 88d569 970cf4 b1a4a5 d756cb
039032 612ceb 7fd194 8e4a7e 907cf4 b59ebc
039fe0 728380 7419e8 97cba6 ba2d06 f37238
03a5f2 7a9061 914f86 9e2e15 bda3b2 fda731
03a7fe 246a5b 71609d 9cacaa aa6501 f5aa14
03ad04 266d18 7d42f0 99b190 b4658f fb95fb
03afdb 4e568e 7c756b 9cafaa a0490b ccb928
03b2a6 237868 92d32f 971994 cf42f9 e41f05
03b412 766cd0 82645b 991c74 a7c795 bc97bc
03b7ff 4772e3 7a5935 827f97 beb0b7 c37c00
03c6e2 1a7ee3 446249 6a9a60 865584 a9cd4c
03c878 5a48d4 718508 b4c2ca bc2867 bd70b7
03d111 769966 804edb 943734 a66a92 c4b1fd
03d15d 88848a 8f1cdf b2583e c8bac4 e167fb
03d331 725f3e 8d7af3 b13a80 c0b9e9 cf8b94
03d3a7 5950c9 877584 8c87d9 a25042 cf8f3f
03d96e 556980 8214ce 869d9f d683f2 db2b33
03dbca 4551c9 8192c7 886c75 bf1a0f d49d73
0448f6 4c6b77 59a0bd a4a894 b16238 e7a703
0453de 64696b 7990fd a1cc28 bf9891 d84d25
045ac7 6e90d4 71617c c33d42 c4bdac e48a3c
0463f3 5fabf8 787095 7f4c45 9ccf72 c36d04
046a5b 7a9894 7b6d05 7dcdef d009db f99220
046d13 5ad643 7d58ff 7d8c66 924d77 cc7fae
046d8a 44df72 6b735f 7c8ae6 bca2b3 bf6100
046ded 6d880a 78b7eb 9d325d e15b99 ebac99
047149 6a900d 9b03fd a0d152 bea39d e74ac7
04729d 24d5fc 5c595b 87a7a5 b06314 df9b61
0476b0 75b9f8 93315a a1a0a2 d1674a f6af19
047af3 3b6a07 79608a 91d042 ad9cb4 bf706a
047b87 7432c9 87aca2 ac7de6 cf4436 fd964d
047bfd 5e6589 794d26 a88465 abaed4 eeb247
047e57 69cf90 7e9925 8c3189 9d43fe dd81de
047ffb 52dc95 726a8b 92484c a8892e a9acc1
048c68 92bd48 9423df 973610 c061aa e3a6f1
04a415 306b28 a28f9c aac997 b82ead f271f9
04a6fa 4d5cd2 85740d 90344e b0c954 dd90a8
04a77f 106f3e 8457ff 855887 86d732 ae9fda
04a7fa 3769bf 90b2b1 952865 a47249 ddb650
04a982 565e68 8ece49 a07b1a a215fe f970ce
04b77f 637070 8818b8 a6b9ca b167ea b35f0f
04b8fb 8d3e2d 9d08fa a5c6c7 b48852 e42596
04bb22 57814f 8416c4 a13a77 a4a6e0 d2b8ac
04bfe8 5964c4 6d554a 8ca393 b1732a eeae06
04bfeb 4256d2 7e8790 a5c7bf c48e68 c71a0b
04c192 6a838b 735b47 b40ad0 bba9e4 c08c25
04c1a0 5b8397 742bd2 9e8629 b12b5e c3a6ea
04ce57 418c40 951dee 9f0a75 c7bbbe e74db2
04d9e7 1d6956 54a23e 8428fe 9261a2 a2a09f
04d9f2 7a6e7e 8668f5 895301 a8b5ac c9963e
04dbe0 546439 8795f8 9925f4 a5b871 f60c96
04e45d 565a6a 5fa065 974af8 a24800 b2a4c1
054af8 5dbf8c 6c7b7d aa411e c2c51e df67d1
054ef4 0c9efe 59867b adb6c3 bc9d19 bd2933
0552e1 70aed5 736579 b08c85 dd2c08 f9a148
056c25 4babe0 719a1d 993ac3 c5b19a c7457d
057536 85b8d2 8a5ff9 945985 9ea186 faa817
05793b 5a576a 8e889d 9ccbbf ae31ea d1a939
057c32 629fd5 807884 910ea7 93b736 eaa6ac
057e1e 6ad6c1 767783 990a9f 9ab95e d668fb
058980 48d795 6923f0 7d6035 86a017 f371c8
058d97 8e4656 9039ee a0b29c f39bf2 fd4932
058f08 565d59 8ac683 9722e5 c94f9b cd86f7
05924f 5c2df5 7cd074 9370f5 a0368c c98ca5
05945a 7935fd 82b407 932982 a976d7 e69ab8
0594f5 285aac 78cde6 905055 a0997e d14908
0596ff 7830d6 7eccb5 95719b c02618 e2873e
059a7f 51d9b3 61801b 972f7a b0b82f e06ef1
059bed 3d7184 8702ca 967444 9bb414 dca4b5
059d96 7855c5 804c59 a4bcf2 c5a861 d23911
05a0f8 4a4ff6 84818a 8bc5af b7471a e09042
05ac1e 067132 7b3dfe 8c68a1 99af95 e295fc
05ac89 674cf7 846b9e a72036 acbbfd fd7e1a
05b6f8 5e8a98 8323fa 9d291f a49346 a6bcac
05baf5 403ef5 835288 8b9898 d71529 e7aa5c
05baf8 6a888a 944db4 983623 99c1af a49a4b
05c2fe 54812d 7b5764 9ace87 a354fd eb6bad
05c5ed 7e4fd7 9a6e97 ae0f1a d96069 f9a967
05d6eb 4186f6 86578d 91bd02 c78192 cd3a32
05d7f5 6688e9 7e03dc 85781b b50372 e48197
05dfb4 6d9ea9 735306 9a55e4 9fb04b b3206a
05e0a8 537f84 854435 8c41c6 a5b0d1 b78b1d
05e156 5f5660 6946f1 998d95 ae6c1c fc69f0
0647fd 2cd3d4 6d6caf ae7577 ba1e11 fa7d28
064ee8 6b6583 9ad349 a06645 ba89fe f68aa6
064ef5 65d91e 6d8bf8 95588a b9a896 cc553c
065aff 48b2d9 63776a 83358e c0b0a0 c46f14
066772 2daf92 6a8b27 8c50d9 b1c931 d08ed7
066962 0ba289 678c00 98d265 9b2db4 d174d5
066c39 45e14e 5ca05d 6d657a a29ab1 b055d7
066fa0 09b8c2 6f4f56 7e957c df1f0e f19c27
067113 99c5e5 a450f0 af347c dfa00e fb4878
067513 35d7ef 5da807 afac92 b852df ba3475
0676fd 4ae039 656a6a 824820 969dca a48e61
0677f4 5d5d12 a9bcc8 aa7875 b60182 ff7735
067a8b 6dd556 7c1ee3 909b8e d62c19 f275e4
067c7b 64baad 8461d9 983042 b07631 c4c249
067d5b 26d0ff 913080 979ea7 ac51f0 ec933c
067e1b 7486fb 7b7595 8c11b3 c0b5e9 d08384
068123 774681 80aae2 a14efe b4c01e e1668d
068222 6e3cd0 76c5dc 91b62b a66893 a974f9
06837f 6c5732 899c02 89b1c9 c936e9 dcb28e
068d25 4cdf62 575d57 90999b a53294 d190ff
06934a 4fd6a7 6e2de7 7e5f72 9bb60b e662c4
069bfb 537781 7f2ebd 9aaca2 b66f3d d3bf58
069f29 713ab3 95d191 a84e74 d39ec0 fd3cfb
06a982 456a7b 8e46eb a59fe0 c35e26 e4b61d
06ab07 6c2bf6 79694c 9d92f4 d92b98 f596b6
06aeab 3d715c 7d872d 961882 9b36fc a0c12f
06b292 7910e7 9d4188 a3cf5c e52814 f668ee
06b2ee 2b63b6 7a6773 be5934 c2bec0 e89b6c
06b94e 4a7240 a00174 b837fd daa6f5 e14e9e
06bc9e 685d64 7b7fb2 a95b2e d6aeef fe8c26
06bffd 7d61f8 804861 be1f2d c96e9f cbbd7e
06c89d 4d73fc 6c5d24 8f81a5 bab3fb cb8f2e
06c8c2 3b55d5 8e8cf2 90867d c12709 efaa73
06d9ef 7781a5 7d3cc6 99612c bab091 ea830c
06dae1 52634b 6d9b8b a43d86 a645f4 eb970c
06daea 44666a 786c30 96a704 bd2ada ee8d98
06dbaf 327219 7ead37 837883 a53bb3 da8ceb
06dcba 725fd6 8a7b88 96383d a2ade5 cb9245
06df6b 597f88 7420db 7f6445 9cb1ae a66eea
06e174 2f9e42 5d4eb0 81727e a4afb6 df64f8
06e223 5f6f1a 8e2a80 994aeb ca96f8 e46183
0746fb 1ec3ff 68819d a1414f aac7ae f3731e
076878 2ed647 7d9694 813dec da7de5 dc2a1f
076953 0dbbfc 8930f7 9f60a1 9fc4be f75610
076b5f 45a48b 706d1e c50fce cd9fea da9000
076c18 37a334 94486d 94d61e bea2a2 f939c4
076c41 5f92e5 6d8700 9cc041 a04583 bc9299
0777ff 296b17 6a9886 994597 a3a23b ff98d2
077e77 67b69b 834d30 8669df bda6fa d56908
0791dc 681dfb 83c5e0 855e30 ce1486 f9844f
079486 617f01 834397 84b864 cdadda d953f8
0794ff 6232f6 6eb530 75704f c548a1 d6b3c9
0797fe 4b7566 7b37a4 93d32b d94106 d993aa
07a0f9 375dcb 718c98 b84911 c1bbac f2812b
07abfe 7e31de 82795d 8fcfa1 bcb113 d45ea6
07b45f 5e776b 844804 b0a7f5 c12ef9 d7b4c0
07bc26 3f7a35 8d3272 908289 bdc1a5 f07cd9
07c3f5 3c86a1 7c26cf aec5c1 af3b4e fb6258
07c73d 57586e 5d69ff 9c89bb a0451b e1a8b2
07c7e1 337130 777cf4 81a21e 8f6d8b eaad96
07c92b 6a44d3 857b4c 8e8ddc a64a7a d4a9ab
07c9b6 3052ee 987973 9b8de3 b8c65e c73b16
07cd1d 31712a 5071fe 7e9a7a b42796 ec96f6
07d167 65537d 9e565c c2bdc4 d375de e02503
07dae3 4f4fc5 6791d5 966e79 9eb35d c02729
07dcd2 776470 993420 a69f7c c450c8 fd890d
07ddc7 316828 825098 8596ee bdb425 c66277
07e043 346466 7e49cb 91703a a784ff cd96b8
084cec 4c92cb 626575 86ba01 966840 dea9a4
0854f0 747dad b24c24 b3acfe b9888b f87f0d
0860c3 589773 6d687d b3ca36 d0390e f27aef
0867f4 774965 91878c aaa3f6 d6b385 dc0934
086c44 8e02ff 939294 94cb90 ac4daa fa6f0d
086ce7 585a67 9eae8c b180ad d8521f f7aa09
086d36 59c27a 997b8b a714b6 deb0cd e95ade
086de6 18bdfa 525f52 979da5 cc5d17 dcaf7e
087187 35d49d a1a4ce a856fe ab9802 af5654
0874ce 446a16 57c1e6 a09f25 c96181 efaa9f
0884d1 51672c 80b5d6 ab9379 ac387d aecd45
0886af 692ae4 a1a812 aebdeb b77370 c11100
088b82 7530c0 77cfa4 ae3447 b09ecd fb462e
088d4d 53e03b 7744e9 8b3771 9894c9 d89fa0
089879 7340fb 86c267 8a65a0 8b4806 dfaec4
089ae3 7a823f 7f19fc 95adb2 bf2086 d9bb3c
089bfe 31728e 8f394c a4bfc7 c39b65 d41e08
089fc7 694fed 7f4878 97c4c4 bb4d5a ff7c79
08a2fe 2e52e8 786590 9acab6 c25e5e d0a713
08a3a0 2e685e 94c7f2 a6ac58 b050e3 b1440b
08a998 5f8143 6e505c 99cb6f a81b9e c693f5
08aaec 780ef3 78d916 848d12 b2457d d99197
08b149 51755b 7f10ee aabaf9 afa4aa c03a99
08b6d2 3a60aa 7d8e88 8a6333 afc7af cead31
08bbfc 6268ff 74525a b61299 bcb5b9 f06955
08c58f 674aa1 6c868c a34d3b a9c51e c96bf0
08c7a7 6b4bf4 893971 b189d7 d61b40 f5a646
08d00d 703dff 744a78 9d75d1 be5256 c1bbc0
08d181 658c34 734e4b 8e45ed c186fb ca6796
08d6fe 26692f 2d73fa 78aaa1 974381 beaf4b
08e232 497cdc 686a7d 8fa0b5 a4856e ae0f0d
0949fa 29c5a6 865f93 9c90f4 deba07 ef312f
095bfe 67591a 7c92d5 c71d77 cbbaa4 ed7d33
095fc3 1ac3fe 91566f 92a3a9 c5c623 d9614a
0960fa 7496dd 9c2b03 9cd213 a1666c bda990
096dbc 39aef8 804659 98815f babec5 f89007
0970e2 615a70 99968c 9ab4dd de2c1d e4b842
0975e8 58666e 72b8ff 9fa1ac ca6e1c ebaf7e
097a48 39d6ef 7605ea 82ab15 c9309c caa59e
097b74 6aaad6 9652ed a72026 b1b0a7 bb7f22
097d7f 51b9c6 55663f 9c9867 b346e3 eeb318
097de3 5ed7b5 89466a 9390a8 c5152f e88b53
09827a 2cc093 56652f 8ba31a a55bd4 eaa0f0
09851c 84cfd4 8b777b 9e0ea3 a68cf1 caaa86
098dcb 32cfe6 485f71 7ebd00 a38771 c43701
098e51 6818ff 6fc0a2 745d98 9d7cfe cdb2eb
09976b 76658a 9485e9 9c3f03 a6a827 f392b6
0999f1 74848a 816f31 96c4d9 9a1194 d7a13a
099c48 3bdb6c 4a3deb 964a87 97aba4 bb6fef
09a490 755dba 933053 95792a aca6fc f8ac30
09aa67 776c7a a23620 b39fec bf1bf4 d7bc12
09ab95 4f45ec 6c658f 947008 98cc30 db7bfd
09ad8a 795065 8a7fbb bbb8f8 cb3c26 cda829
09b494 44685e 99cb5c 9d4ea6 d74b0c e47de6
09b595 6c506b 7472d3 92b941 ab4b3b ddace7
09c0ef 4c5fd6 82464e 90d702 ac9786 ef2900
09c4a4 17876c 6c41aa a1d237 a685d7 b16e09
09c8da 626af3 805b87 a81214 dc5657 e1b84a
09c98d 4c6b4b b350fa ba228f cc890e d8aaf8
09cd97 605a79 7476ed 92662b a39dbf e4b70d
09ce8c 668a7f 837425 a2107f d9afd5 f42cfd
09dbc5 407174 7e32ac 8a91e9 ad571c fa7b6e
09dcca 77638a 7c82f7 992945 b2a768 e00207
09e142 1c52d5 61788a 78633d af9fec b89286
09e50f 55a33f 766962 8860fb a11685 ab9db0
0a45fd 5ab6d1 60609a 8c7027 919d8c d4b03b
0a4de8 13b09f 91d24f 9a7c11 a83468 ee76f7
0a50e1 75ad92 817899 c02045 ca7b06 cda2eb
0a58ca 5f6882 76a29e b55553 ccba3b f76aff
0a62da 5db6f8 6d707c 98d040 b49384 ed1411
0a62f4 50db8b 777b7b 794684 c492c6 fd5416
0a667f 1cbaf6 786956 7f63f5 a2c498 db6411
0a6c49 7793e0 902aec b5c5ad ce4a8e e69f40
0a7866 6c570f 9ab832 b127de f09ce5 fc459e
0a78ff 715a91 963133 9c9fc6 a08c3e ecaa9c
0a7b9c 75876a 97cfa3 9e2703 cba0d8 eb831b
0a7c80 14ddc4 87ba5e 8a55fb a80146 b288d2
0a9f88 6e4d70 8260f9 bf2d15 c493dd fca756
0aa1b1 6e35cb 7a5e69 7ed858 94a084 bb500d
0aa422 6c4cef 7d767e 7f4a37 9ac1b5 dc7ae3
0aa5f0 605977 718f89 9ac7c6 aaaf4e b2483d
0aa6df 5f5a78 a115fd bdc0bd c25b4a d3a62c
0aac0b 226c10 823cf2 907c74 9dc296 ef68d3
0ab515 3243f2 4f721d 995c8a b392ff d9a9bb
0abd26 3c702f 88648a 9b7cee afbff6 d39da7
0ac1a6 624cfe 8a7dae 953a4b caabfa f6565c
0ac3d8 5d6b47 9c1173 a253d8 c5be95 d48214
0ac4a8 3d46e4 5b6a60 98cb53 b94c0c cb75d4
0ad41f 606a11 7e76f7 aa4f71 b88eb6 b8c4ac
0ad9b7 5c6e07 7ba841 a238e4 cb88f3 cc4984
0ada82 3f9353 653ad2 9da6ac ac3578 b969cf
0adeb7 7490ca 7f7e28 9b06fe a12a65 a1ba34
0ae504 435fcc 786e87 a30e41 a5b3c1 c57e72
0b4af1 6f729d 78b6fb 994d3d b69c27 b7c3b9
0b5fbc 688dfe 787c82 acab2f bd3737 fb9bcb
0b64ff 7c7e57 7ec290 942994 c47ab3 c8c51f
0b669f 6daefc 748995 985828 b9ba93 de7c08
0b696c 55b09a 737747 9abf02 d841ee dda9eb
0b6af9 707b99 82cc4c a73224 a98777 b497f6
0b6c3d 7937fd a75a87 a7b9cc a977e7 fb7b15
0b6d5d 7f9ed2 854df4 b5cc2b d5959b e44602
0b752d 808191 97a5fe 9847bd bfb7a6 c79001
0b7a1b 43c3ce 6727e9 9576e5 cd2984 e0b280
0b7d20 7529d5 7792fe 8a6f91 a3ab9f f0ae1e
0b7e22 5cbb2d 85416a a130ff bbbec3 c66bc5
0b7fb5 575d5c 5cb7d3 9d4d17 9d8d83 9fc75e
0b80dd 4d5e76 9a8a91 b2b0ed b83b20 ec7e55
0b8d3e 3ec93e 5d585c 8b85a9 9c0be8 c6b9c1
0b99e2 5b8f24 65d827 683bfd ac4a6f b7a3a4
0b9f02 65735b 8144a4 85d622 b7a0fa cc879e
0ba3a0 475d74 9b05e0 9fb66f b05a05 e3a5fb
0ba3ce 6152e9 837a5a 883e67 a9b3a6 efb117
0ba486 2f48ec 8376b3 9bbdce b04120 c2991a
0ba97b 7559c0 824c5c 90cc54 b68bce d0371f
0bb090 536f79 ac0018 ad3bd4 b7c243 ea78f1
0bb323 257127 9e7e88 a297f4 a73a95 e4aca4
0bb99e 4c6b87 78500b 9e9127 b1bcfa b314ff
0bbdfd 2988a0 5d7637 7514f8 8ad252 a7998d
0bc1e5 7f7d86 ab08c7 ae0c2e afc2a5 de603c
0bc82d 47893d 67545f 8723fa c656b8 ccabbf
0bca25 5644e1 6e6489 9d86f7 a76a64 e9a8ac
0bd7d8 7b39e0 858afc 917799 ce1538 fe7d74
0bdea4 3988f1 697a89 8d4e38 9cadce b58d32
0bdebe 5c5867 769dba 9e5c36 a54cef b0b546
0be423 0d729d 6a8f1c 9e2443 a6aceb be9491
0c60fc 617c71 912b8e ac8ad5 e6a97c f30d02
0c6770 5c98b9 a74521 a7a38d b411fd f7a622
0c6973 37ddb0 6c763f abaeda b0a411 c14ad9
0c69cd 558200 6c5258 8dbaa4 af91cc e7b335
0c6a48 68b9ef 79912b b4849c b5c4a0 bd1ec2
0c6bd2 28dcab 615670 819ab2 9e6651 b0b62d
0c6be8 67a3f2 794b58 accd65 de99ad f13119
0c6bfb 456a5d a68bba a7c7c0 c1580f e39e63
0c6e0c 67aa32 9c7579 b298f1 c00996 dba7b2
0c6efc 45632f 73cdef a2869c a72196 ea7e27
0c747a 6f14ee a069ff a4bac6 c49472 dd2700
0c7487 878461 a80b0e a912fc adc3c2 dc73eb
0c760e 80a2d5 838285 9f40cb bebebe f38c61
0c7aff 496554 84bcec 8f8f92 9e4597 ff6b37
0c7b29 53c6c9 695263 85977e b333d0 ccc258
0c7e32 49be7e 6910fd a15ffb a45c80 c3b7da
0c841e 61c451 858c8d 922187 d1afd6 f146fb
0c8dfd 8bc5d1 943a8d afb114 c32f0b d57e87
0ca9c7 256095 7e7578 9eb90c a93f29 e1acaa
0cb50c 287643 856685 b1af9a cc24e5 fb94ed
0cc531 724e6a 7379de b9abd7 c90719 ca768b
0ccb1c 598e49 734c7d 8921ff d4b2b5 de5adc
0cdfaa 4956c5 838cd8 947b2b b23e6e d8a70f
0ce412 3477e9 785f82 953538 b2a1d1 c86e6e
0d45fc 74d955 765b84 7e87ec ca949a d6213d
0d51db 60d1cd 626477 7888d4 a35c46 b3a72c
0d54df 57a2f7 5b703d 8bba32 a9618c d1b3bd
0d5bfe 36b7fb 378a18 90208f a6789d abbf98
0d657d 70d939 9126ff ad9bde b98781 e71603
0d65ee 5ea8df 715413 77787f b0cd01 e4978c
0d6bc7 95c8b2 9b6076 a31e05 b593c5 e06140
0d6c05 6a9ee4 8819f7 9e5e78 c8b6b2 ed8b47
0d72e8 6dadde 7f5110 82868b c6b8ab c78331
0d7482 1abbb3 781ed6 966549 9d7af0 b3bc6d
0d7483 731ce4 75b4b8 977212 ae6eff dcb430
0d77cd 5f5a69 73b2f7 a5cb4d cf82a0 dd4903
0d78fd 40660f 79926e 8a5688 8dd36e ee88c4
0d7df5 69564a 8aaab3 968d67 b52590 f69614
0d84f8 765775 87b5ec 989a9a b9473d d6bc70
0d887a 60c9d7 8f15af b0a969 c00a38 c853f2
0d88d7 61566e 91b8be bb796d c30608 c3c729
0d9b88 2c6938 2ed6c5 98a044 9d3a9e f95fff
0da0e8 165ac0 716362 8fad84 be5d16 efa305
0da2ff 5d4ef6 9c1d6e 9c725a a4afba edab56
0da6fd 0f56d2 727496 91b5ad c5c22c e04549
0dad9a 6f9631 7c56c8 893e4b afcd3d ca85f3
0daf86 66759c 9405f7 98342a aac3da c5af32
