# colors_mcd16.0_mld3.6_nc10_cvd100_minj40_maxj84_ns10000_f
# Python 3.6.9 (default, Jan 26 2021, 15:33:00) [GCC 8.4.0]
# NumPy 1.19.5, Numba 0.53.1, Joblib 1.0.1
0045fe 33ac8b 5b8b2e 746863 953495 9fd98a a196fb c2b2d4 c65dab cca718
00b3cc 3e48de 4b6f1e 6c75ee 78951d 896299 a2d7d8 a7c304 c27d81 ecb08f
00b3ff 6e6621 7671bc 771ade 78d25a 819300 aeadc0 b93578 cd7674 e2c3b7
00b6fb 44ec00 4f49c5 7eac1e 8f6fae 98641a b01271 c8a6bc e45177 fba08e
00b9fc 3b5d8c 6b8da8 9059eb 914d56 93928b 9ad4d6 bf3e11 dab38d df8013
00baf8 376268 788d8b 91bec0 9533f8 a3433a ae58b4 c7bf92 f26045 fdbe14
00bf04 5e8e5b 8f29e2 942e81 9dc0d1 a87a96 aaad9a d4030a e150d9 e2c777
00c3f8 2f6909 70e824 727ef3 7339e6 877c55 8bb35c c21d7a c280ae c8bab1
00c535 747025 7905ec 818d9b a8937e af1c6c b744cb b9b8c7 ebc09f fd6cff
00c980 655362 657a5e 8372f9 9f3d9e ad7caf b51300 b7c1c6 e0cc1c e27c0c
00cb90 5e9592 745e98 804e5f a1bec6 b28fee b332fb bf3f3c db792b ddc63f
00ceff 3d705e 52ad03 557dfb 6d7629 802cb3 83e654 a5b391 aa55a2 be91b7
00d279 599103 675554 968572 9aa9ac a719ff a8209c bdda0c d45ad9 eb9ef7
00d2ba 3c59f7 86414b 8989fb 98a572 a9dc7f b068a8 ccb3fc ce3b23 e09801
00d328 4f911e 516542 9516f0 958a7a 9aa8b4 abd1f8 c01e97 e3b09b f63bed
00d9e3 2b929c 586a25 5e21fd 749a40 854fbd 8ae444 afaea1 c73978 d26eec
00dc98 386f55 786b87 79977d a70e11 a9cfd4 b096f8 b91ff2 bc6c17 d7a804
00dca5 2aa47b 6d717c 7dc525 8030a5 a24048 b54cf3 da2b02 dc69bc ebb4dd
00de96 55a581 6e8010 7c3c9b 902eff a4719b abcfdc b80356 c8a836 f64ae9
00e35b 5e7d57 69499d 71af82 8d5ff5 9d7e94 b5a1e0 b5d1d1 c41600 d8750e
00e6ff 476cf0 4ba9fa 566273 7bd568 8686a8 8d7b67 be2910 cea5b2 d47a11
00e7fa 01a6fe 4064e8 608601 6e593d 91d1ad 9473aa a3a3b5 d8ae4d de5e75
00e9de 793bd4 7d4078 7e7983 93b4f9 a4a5a0 b163bc b63a4a dbbd3c dd7a59
00e9e9 4a8b67 5f5d17 79adf0 894adc a42b7e ac7b04 b8c395 e1a41e e453a4
00eacf 2f6a95 625a1b 798fc4 908511 a35165 a6c1f9 b71dfd bbb85a d78594
00eb91 515c5b 708d77 7d6e20 8907ed abbc10 b175f3 b4b6fe bf38a1 cb83af
00ebd2 3bad3a 4976fc 4d7c4b 705064 84da22 9ba490 a41b9e b36d9a d89bf4
00eeab 4e6886 7d4b2e 7d7572 84b6b5 96a378 b052e6 d19ff6 e6581a eeb445
00f08f 36b983 637e70 7026e1 80508d a068fe b080bd bdb8c3 db3f1d ea952e
00f40d 43b53f 6a6160 712ed2 928b7a 9dd093 a26194 af492a c1aecd e17eff
0147fa 418e91 595ba7 84a588 88dfb3 948f28 bbafca c51f53 dc78f8 fbab0f
0161b6 4d8edc 4dee61 6b8768 8b5271 a18ca1 adb3e3 be4b16 deb3b9 e38204
016961 4de8c6 598556 71b288 8a8395 9746ad 9e4201 a1bf37 bf6ef3 ee9ee3
0177ff 2bf153 579192 695745 99b5ee af30ab b42700 c3bebe cf8f6e ee5002
017a66 47a385 486719 6f922d 8dd907 9936f8 b251ab bc7ffd d8ca9f f391c9
017c8d 48e7bc 714e57 7f877d 9eafc1 a93424 bc87ff c201f2 dcb76b e35a3b
018079 2bbb04 6a8f5d 7a3e93 865fed 88ddd1 aa3702 bbc67e d588df f3429e
0188d1 43b4fe 615083 6d34f6 91676a 9e95a8 abd2e7 b23e26 deba12 fd8b80
018a5c 4bc58e 685d73 799199 8e16a4 a7a031 b8380b c343d0 cbc0d1 ec91fe
018ab5 66cdfb 7339ee 8b4230 a0a6b3 a47e02 c20376 d3c6bb d8a541 e26176
018dff 4351ec 71b4df 7b6292 90919d a31b08 b45d50 b9c8c8 d1b285 f66c17
01939a 42dcf0 5c674e 784284 8059ed 9e8958 a2c09b a98aec c71808 ec8c04
019a78 146858 37df2a 68798f 696613 899527 ae0acb d0c99e d893ca f933f7
019a82 6e749a 79d4ae 7a34aa 9a4249 b06afb ca0602 d1cf60 d991db df7734
019dff 316d73 80b8b8 8583ae 8f37e0 943144 bd907c d0362f d8c9a6 fd9a45
019e71 7e4efb 85529d 8690a9 9d243b a4c4a9 b380fa e12723 e1b5f3 f8872b
01a2eb 605d30 625cff a622a8 a97998 adbfd9 b6aca0 e30a6b ec7656 f3c24a
01a31c 446e39 61b2ff 6e07f7 8cc963 8e9481 9d5bdb 9e5189 c387b3 d5c2bd
01a9ff 4c9878 51e1e6 7e4be5 8b4c74 9a3023 a6c7ab b9b441 c86eb6 d74000
01aa6f 527880 8710ff 8ba0a9 923b31 93dccc ad56e3 bdc735 d23903 d88ff7
01ae09 567a30 754a61 75d196 8617ec 917e82 b8da4b ba48a3 c3a5c1 e769ff
01af0b 43e32a 8572a6 89396c 8d9fa6 a510f8 b1232c cfccab d15872 fa77f3
01af93 43e8b8 485d7c 7284aa 9c4341 a22bf0 adbee2 c181ff c96e53 caac24
01aff7 216fd0 694f77 81dbfa 8c84a8 904b43 baacb9 c27f5d dc0600 f1af76
01b1ff 1473ff 3e678d 83424b 8ad8f8 9893b3 bac66b c2705d c4190e d7a0a5
01b2f9 545877 63966f 80dde7 9342f0 95473b 9a7909 a8c4ad b5b43d d96aab
01b546 336271 72de30 736f60 848eac 88540c b628f4 c0a29d ccc9dd f980fc
01b69c 53737e 744d4d 9189c5 a53a11 abbdfd ae27f3 b67255 d5cb86 fe7c1e
01b99f 5c7d9a 7239bb 83693d 879d1c 91cd6e 9863f0 a72e69 c295e9 ffb0d3
01b9ff 417c3c 71af76 76e5ac 843c7f 9e9304 a447e2 b2b4bf c25e9b dcbd10
01bef5 51a379 6620f3 795c4b 8f6cfd a693af bf1da2 cac8bb e41202 f7a92f
01c170 279234 564dff 7d6d72 8bd82b 9908a1 b871ff c952a8 cfcbbc ea8ac5
01c36f 188e6d 5e657b 8dd202 a302fc a492ad a61e28 cbc2d8 cc57eb cd5e19
01c4d2 6063bd 7c536f 9cd2b6 9d83fa 9f8395 a01b3d ceb909 db2510 f46f6d
01c5ff 5989f8 5a5865 66887d 931ad7 9fcba8 a28ab2 ad573a cbd431 e0844e
01cb9c 506d26 6a07fd 9595a8 9d4cda a44382 a5d3da cdbf10 e073f0 e7415e
01d01e 70605f 8d8ba0 8f249a 9129ff abd6bf ae60ce b55529 caaddd db7e7d
01d0b4 3b91a4 6e665b 91d462 983d1b a49676 ae18f6 d86615 dabff8 e767fd
01d3a0 5c5778 78a5a7 9c2ff5 b27075 b8cef0 ba161a bbc93c d184f8 f14e32
01d6ff 436436 65940d 837875 90479b 98e127 9a2ef9 a3ac78 c06fff e793bf
01d72a 54a34d 605951 848681 9b20ff b3559f b52603 b7c0d7 cd7bf2 f3bab1
01dbb2 559793 565f3c 6b39fc 8756ab 98b7cf a36504 a578fe bd9352 cbd159
01dcbf 3b5abe 4e89fe 6b838e 8a6c5d 99b0f3 a9a07e b0db40 c11a13 ff450b
01ddd0 3a815b 575964 5bab8d 775e08 a0de8b a496f7 b13ffd dc9f10 e03da8
01df95 35a67d 594cb1 64695e 8bac26 936f90 9868fd b1d3d5 b6470a cb91d4
01e61d 29b02b 466061 5f5afd 747d62 89550c b6cfeb b786f3 d93698 d9a4aa
01e6ef 436467 46929b 7b4bfe 7c52a1 85beb2 869770 b1c674 c2531b ca87f8
01e7fc 6129f4 64abf3 864f9d 905ff8 9a8981 a4b3b9 c83234 cd8501 d2be81
01ebc9 3850f6 6488e4 696884 8d96a8 9fc2e9 a21638 b55d1e c5ad87 fa7b00
01edab 6e7d9f 72b7aa 73622a 8e3364 9c13f9 c165fd c46371 c5b8eb c9b24b
01f348 459ca0 7f64ce 883e81 88826b 90c185 b73b21 b78ffe cb8212 dfafdd
0249f6 13d5ff 5f692e 7986f0 85a813 a45398 b2da31 be9dba d54b71 ef978f
0251ec 6c80f6 6e8453 72e5b5 855f86 a4aee2 a69d9c b78b03 bd0200 edb543
0259f0 5eb409 637f15 875d62 970095 9a7eef a2d78d aca69f cb3a95 e4a1d5
025bf8 389dfa 417b59 795304 808b15 9cbfe4 b6d929 b94690 b9a67c d87ea7
025ff2 07e0a3 527791 675a41 75adaa 9e84e0 a37e70 b7cbfc b95d0f e4a54d
0267f3 38712a 51e3f1 75971f 8c365d 8d6396 a5cd8e b985ed bc5e70 e48cb4
0267fa 5b5f8c 6a8f92 90946d a0ca94 a1173f ac5d1d d386da d7c2d6 f9902c
026a56 6f9068 77da6f 7f5b0d a98b17 b5a9b2 b634f3 ba3b8b e066cd f9aefc
027275 21e341 6d8003 739ba1 9713fe 992d41 a5a582 b655d1 c8cad9 ee87f0
0273f6 77947e 7a475f 8bcea6 a90697 ae96fd c27bae debef0 e1383e fe8d3c
027553 5cd016 615472 788a93 a3946c af15be bbbdc8 db2801 eb72e1 efbca0
027f60 58af8b 5e29f7 834e82 84e484 9660f7 ad75a9 c19fef d80b15 e9891e
028572 34ebb5 514fae 55ae89 789a11 974d3b a1cd2e a46dac b88dff d69cc7
028dfe 5049d8 76b7e6 7d78a9 82576b a2898f b0c0a9 b3473c d58d4f e0c800
028eff 4154e8 685548 68d3bd 6d708f 899fb8 999089 bd5d1e d0befc d2a75d
02906a 46a5fd 506870 878daf 944ec5 a3192a b67015 b6d4a4 ceb5ce e1a623
029173 06c3f3 4a761e 7b35c3 7c9e11 a563e9 a64b8f c7d635 f2a9a6 fa67af
0295f8 5fe4c2 6a6e60 7241d5 83a49b 87367b a26ca5 abb562 c63f1f e4a7e1
02969b 28637e 6b605d 7e987b 8fd691 a02fd7 ac81ff ad6313 cca6db d9930f
0299ec 50644b 60ba28 644eed 768c63 a7d2f7 b45689 baa4b4 c53903 fea494
02a179 5c585a 8b90e7 8e7799 a52dc1 a7caa3 b61b1b b6a5be cb952d e7ca01
02a3e3 4961ee 734787 81abb1 83d8f5 acb089 b41e0f c05969 f04005 fda23e
02a4f4 3870d4 68b913 70d2ea 8689a1 953766 96795e addb86 b8aaa2 ba2110
02ab70 1763c7 3ae088 477e2d 8b307c 8f9adb 916f81 bdacb8 c4c7fb d89816
02adea 526a5f 5a6ef1 7e618d 80d1c5 83908a 973521 bfd58b c36028 c8a705
02adee 6385a0 795869 80daf6 8f40f9 9c293a 9eb3b4 d66c74 e7ac75 f13703
02b1ff 3173dc 5f6948 62e5be 932685 95b3c5 ba8c6d c7c146 cd4c8d fa3b00
02b2fe 516be5 6a5d8f 73504b 8d9e65 8dcace a37c94 d7c897 e89b03 eb0902
02b6bd 527a93 75595e 839d82 9608fe a31725 a7ceae bdb458 bf56f1 d44d35
02b8a2 3f5fff 466328 66a414 835064 8fd080 937f65 be98df bf3a9d e0cd12
02bef7 436b63 7217e7 728ea1 84642c 89e38d 9b5be3 af897a bbb5bd f37301
02bf41 455dcd 6bed00 769375 854067 a2b3da a66a99 a77df9 cf1e14 d0baae
02c2fe 0351e9 5186e8 87937b 895e75 98d9dc b38dae bbc194 c24f33 e58a36
02c5ff 21ad4a 3c61f9 466f1a 74d732 784a54 818a81 c0369b d5c9a9 f869ba
02c7c4 637e5b 6b4e71 81e82f 92798f a32ec2 a43a0c a9c189 da6cf9 f15900
02c8fd 6689f2 7138b9 76798c 845a53 8fdfa4 a3a4a6 be884c cb2100 cfc02b
02c9b7 0793b1 6eb305 734293 75777a 782af3 a78a6a b13d28 cfadfe f8bd7b
02cdeb 5685d0 643fce 6a7e60 92e18f 95577f 9ea9a5 b32d00 d16e05 faae01
02d3d6 4465fa 744b8f 7d7c96 7d93fb 84c308 945506 b29e9f dc5a53 edbb90
02d5ee 5e9be5 6b5a98 6e53fb 754c51 8a8a9b 97db7d c1aba9 e01c18 f3850b
02d8bc 396fde 5e866e 625287 94e15f 95ab72 967c9e 995015 e18ee7 ec6800
02d8df 4f8f62 8859c7 8d4977 97bb7c 9b2a2e b37498 b48fff dfca0d e47717
02d9ca 126eeb 526c57 6788b5 8bad5f 932580 a59093 bda0ff c0d649 c15318
02daf3 3b8f8e 694897 88994b 8c4bff 995451 99baa4 b90606 c677fd c8d624
02daf6 3d6716 739dfb 7459e7 8ce71f 95b661 aa1589 aa7669 c7aeb3 de54a5
02dbb3 07728d 545f58 754dfc 7d8e8d 9ab6d3 b180ee c79868 cfcf23 e32b16
02dc80 0f9097 525b62 884dce 889675 934e3a accae2 ba7fe5 cf621e f39602
02ddc7 646568 88a405 8dace5 96744b 971d90 9b36ef b0dc20 c6b17d e842a0
02deb1 1b7747 2e76f6 6e5165 6f9435 86c854 ac34a3 ad9aff ba8daf e9b9e9
02dfbc 36ab9c 466b73 913c0c 937fc7 a17550 a200f6 a6e020 beace4 c5a464
02e28a 658400 67ba19 6d5438 a32ecc a5849c b00377 dcc3ce ee1b70 ff76fe
02e383 757ca5 795864 8e3e13 903def 99847e b7b1b4 d47725 d96bfd f3b1fd
02e6f7 4f6b39 6976c2 7a921b 7e0dd6 81d767 855d78 9a9aff baa7b5 cb757c
02e6f9 638ba7 744486 7c3be1 7cd734 a15366 a398fe baaeb2 de2210 de786d
02e7be 30959a 617064 8b2fc7 8e3074 8fa081 987232 ae6afd d5aaed f3962d
02e7f1 3d64e4 4a5f55 578c6d 5eabe4 7e6f88 83cf14 a5380e cc6b03 d996aa
02e9e9 3b6efd 525e4d 809f20 88affa 9b8272 ae24a8 b61607 d4be82 f85eb0
02edb9 3c6178 72b7b3 8148fd 885a3a 9a71b8 b97e04 c3a5ff d1c162 f85376
02edbc 05b999 0d8593 676061 7050eb a41622 a97bfc b1be63 b97850 efa3ed
02ef95 3baf85 5d694e 6264f0 9a0687 a3c8d3 aa7aac ac93fe bd5e13 f59233
02f085 13a87b 6b604f 732fc6 94b0fd a062d7 a14983 c1bdc0 cb3d0d d98e2a
02f08b 099e68 3a6a52 77b917 926f88 b42db2 b9aab5 bc2003 ce62ff ff94f6
034de9 3abaff 6d604d 747db9 a4447c a6c1d0 af878f cf3409 fab69c fc6950
034ef1 27d1af 58888c 7b6239 7b65b2 a887f3 b5bfe3 b97500 e2cb30 fc7f6d
035bce 7f7cab 82676c 889cfd 93cd44 af3132 b1a5be bb877b edb3a6 f93401
0363da 27a12b 667a62 6ece33 8a4214 8e87e0 a1999a a46795 cacdb7 eda7d7
0368fe 54934c 636260 804924 88d28e a88af3 b87695 bcaf0c cd0ba5 cfc7dc
036a6e 54e213 688366 6b59f7 a1c186 a897a2 ad3509 dd84dc dec2d2 e25c1e
036b6a 4bee72 86816b 8a8aee 98521b 9c2df5 baa4a8 bfbaf0 d38d24 e437ab
036cf3 47a5fd 69566c 6b899e 9a6c6c 9ec6df bc0d26 bed476 c19e8f ce713a
036e12 42b2fa 449f2e 6c7a6c 8030e5 98c408 9ad4e7 b4298d cfba8d f44fa8
036f8e 27b9ff 5c9d60 61575b 935d13 96979c a2c6d6 c10bf1 e8c28d fc9713
037451 687f19 7000f7 7da4bc a7d2ec b62082 bb41db bebfb6 e0a353 f04286
03755d 50d415 6c580d 7b9a7b 91830f 9246ff a44092 b97cfe c6caac db89bf
037627 50aa28 6ade1e 6e696c 7819db 8477ff b151aa bda4ff bf93a6 fbb8a1
037629 14c2f3 4ba503 793b9a 827eb2 89cf4f 9f4b70 a33cfc a39c8c c9c9ca
037727 413df4 56a025 67cce4 7f7d7a a3b67d bf2d9c cc6af3 e8c829 fd64ac
037a56 36e3ed 47a66e 691ffe 946ef8 98c5b2 997403 ac8dc6 b92e8b e39c07
037be9 32affa 5a6d93 706130 8ed7f7 9492a9 992260 b3c4b9 bd6b70 c8a86b
037d72 2ecefd 863090 8a56ea 96d983 aa2b3e aca094 c972ac ea321f fd8b03
038607 61db2e 7469eb 754e44 999bf5 a37989 aa1885 b5adc1 e7625a eebaa9
038760 22e8c7 67ac97 7a7c97 813a8c ad5df6 b2371d b3a1cb bf8122 dcb26b
03888a 5de0f4 5e5197 835b05 8698cd 9ecb45 a850f2 b1833f b5a69d b63561
038b58 71ae2b 750de8 844e6f 8667f9 b39bee b4d819 ba3602 bc76a6 fb9396
038cfe 68605e 6dbbff 8fd736 939ca9 a41a0a ab469c c79983 d5c7cb e85d1c
038e6b 436268 68ad19 707415 8f13ef 96d7da b09ffe d2bb7d e07f9d ec15aa
038f2e 45e9c3 5c5955 8f89ee 9723fc 9e3292 ac7890 beacd6 dcbe02 f17876
039102 3f6630 58e99e 74a3f9 7e1fff 84859b 8a53ae 92c22b d66c72 e2adc7
03936e 2af148 42656d 52adfb 8186a2 8fc38a 9254c2 b6292b cbb7cf d28225
0398fb 2869c6 5cd0ff 744b60 789fb7 aa7063 bdab9f d90a0b ed8009 f7bc72
039e76 19d99e 5e666b 6e13f4 9da9f8 9e57bb a4dd3b b796b1 cc0320 f95718
03a6f8 0a6fe7 53876e 5fcf24 8b4d79 918ba7 97351e becaff ce5d29 d7b3c0
03a7ff 258c5e 58656f 844cce 8faca3 a70916 ad7cb1 ccc5e4 eda963 f61210
03a8d7 15e2fe 63594d 6f67fe 868f93 934491 9bc8c2 b59b78 c86126 ff9125
03aa68 396bd5 43dc96 595c50 8b4785 927a8b 939cfd b3b1bd b65914 f3c404
03ba4f 578a66 7ce030 81415e 8214f6 a3a9a4 b86cef bf619b c71c1e ee93e5
03beda 4c4bd6 8f5e97 9377fc 97dbca a1919d a44056 c9c522 e13832 eb9a88
03bfb3 5e8196 7644d0 844911 89c07f 989023 ba3066 cd6ae8 e1bafa ebb41f
03c0ff 6d6f75 8ba7b8 923895 a04cfa a11742 ad8c78 c5c7b5 ec4319 f4a745
03c192 258768 6c48c6 85c437 867bf7 885885 b581b1 ce4c22 cec5d0 f19af8
03c6b8 2b8b96 7a9b79 8c691d 8f00b5 976ce4 a8b3fd ad9a2e b11a5c f6bc84
03c7c6 1a8b62 6b29df 8077c8 91c979 9a5080 ae2c0f d57f99 e3c808 e95e13
03c7fc 355aa0 6589d5 74d917 7f6f7e 819a6d 875142 b897ac c45a16 c7ceb1
03ccce 6243f6 7d5da8 8397f2 8d3a3e 8f9660 b46f8b c3c188 cb3d02 febb10
03ccfa 5385f2 62746e 6d3ebb 979ca5 9b63a0 ab3232 bed32f c09f81 da6920
03cfd2 3fa572 526b55 83788c 9d8fff a41d02 a97c11 b028b4 b1d7a2 d7bf29
03d12a 567191 8520cf 869daa 97695a 9e74e6 aed1c9 b1a187 d15118 f198f4
03d387 638864 7745da 786b7c 7d5217 90d42a a998a1 b77e1d d7c3df f869e9
03d5fe 587bdb 725d4b 86adb6 991677 aeb680 c02505 c2900a d85285 efc30e
03d6e7 648d8f 6b4890 7147f9 8a4b60 9881cf a5b611 acd4b4 c08f6f d52423
03e50e 2d767f 8aa4ff 92434d 9253c7 9d98b5 b0766a bdcbe9 d4a683 e02e1b
03e562 6e86e0 716d7b 892aa3 9d98b0 a0b3ff a16f12 a53947 c49a90 d5c6d6
03e8ef 535d51 69ace9 89681f a58e80 a602a0 ac38fe b4c5b3 e4a466 e735a2
03ebd1 3bb995 7e7c8c 8905db 8f6857 a3adde a49847 bacb40 bc200b cd48e4
03ecbf 308e13 805b59 87b8cc 952ff8 9c108f 9ea678 bb70e7 cd588f f4b030
03eeaa 5f7377 71ab72 a2189c a8021e b3cd45 c89aff d32efa d6451d ff64b1
03f038 557d60 58a6f6 673efe 87451b 96929a 9f65a7 b2bbd4 cb6808 cfa288
044af1 3cb115 6066b0 7c745d 904d0e ac8ef5 b47495 bad94c deaedd f3928e
0452db 5a7bfd 72739a 934931 99acfa 9c96a2 a9825a c6c4cd e7a991 f17e10
0455ff 5a7350 77d2e0 823d75 8b998f ad69ac b986ff c8cfb1 d32603 fa8729
0456d1 4ccf26 7c5789 7e8e99 af455e b2c1b8 c584e5 cf796c da251b fcaded
0459c4 597ef6 696a90 87505c 9cacf5 a6e012 b57c85 c24837 d5b2b6 f37755
0459fd 6688b0 877161 87bcee 892ba4 a3540f aeca93 ba9ea9 dd8022 f8c114
045bf4 6779aa 6ca4f2 6fe3be 814168 8c7e84 a3aaba ba3a4a cd772d f2aa71
0464c6 597661 66e6b4 78466e 9b87fe a2a76d c86899 e62d16 e7a5e2 ff8f01
046588 0fddac 439c90 835a05 9db6d4 a526ed cd7e1b d26ffe dc3561 eac334
046ab7 4291ef 73829b 7dbef6 826a65 8a4413 b3c3c7 d88772 e6c92e f6590d
046ee0 3ed385 565b61 7e918b 896f9b 9b4709 a0e22e b690fb deb1d1 e96d01
047174 5bb98c 8e24ff 963318 9a96b6 a15bbc b3bcff c8683d d0c8d0 eca01a
04755d 48a365 866810 9496ad 95d5f4 9a1c7b a343fd c1afab da72fa fca934
047cfe 367167 5f5290 8886a6 91612a 98b6f0 bb8c7f c4bcc3 f1bd8b f87f23
047ed4 4f7861 7eaae8 864b7a 8ca475 953519 a4889d b46f09 bcc9d1 e1a42d
048204 4879fb 77708c 80a1c4 833296 a2b13f a82957 b5776f bdccde f29f9e
0483e9 587c71 605378 70b0ff 7e592e a08bb1 a3bd98 b77a0d d0b6ce fdbc34
0485e3 776b70 7c96a8 8e2f89 acaa9d b17659 b1baf8 ba1013 e4c47f f4720a
048b68 4a34fb 645e7b 87c6cf 8b879e af56d0 b53e28 c295fe e2be9c ed7922
048d8d 6b56b1 8ea5c9 9e72fa a54d62 a59374 a91a16 df461a e9beae f9942d
048fd9 5cbddc 61845d 713de7 765016 7a6881 9aa3a2 abd7bb c6bf68 d67111
049268 4d5d66 76c296 7c8797 8b44ef a88b13 b091e5 b31f0d c4c6f1 cabc29
049769 40624f 66d888 73a832 7c40fe 8d61ad 9a480f aaa5a7 ddcc04 fe7ede
0498ea 1dd1fe 483def 7eadb5 858378 9c5d95 abd65f af2f21 b5ae91 d0802e
0499ff 1c9312 41d0fd 48642f 6d42f6 9d75ad 9fb7b2 a94a72 d4c77f de7873
04a2a4 6773bc 712ad3 885f5c a42679 a99a7d b5c2dc d6caac e63208 fd8a14
04a6ff 389b2a 4361fb 4e6140 85757b 96d6fd 9930a5 afa7ad bc71b4 deb95f
04aa21 1d7618 5be75c 75849c 7e746a 853a70 9d16ef a5b7c1 b69c85 d95af2
04ab69 54db85 6a8285 6c3db8 775b4f a65cfd c70f0c c985dc cfc6d5 f09a05
04ad74 09e096 215fee 5c7d11 635b44 7f83ce a9a106 aaaac6 b85688 cbd433
04b300 588156 604f93 8fced1 9b98e5 a750f6 b3dd20 b8110c ba6d9d c9ae8d
04b6fe 559f72 684f79 8cd9ec 984350 a4bc41 a650eb c73009 d9b2b3 da73b5
04b7c6 494cf5 595c43 8378fd 899881 89ddd7 8f5692 b2c88f bc6021 f08f22
04c7ff 4c89eb 6642f7 71a869 8c3662 936e9b c0d0b2 c695b8 d2190b ffa50b
04c98c 3a68df 7f465e 867956 9ec0c4 b02a03 b68ceb bd6897 e0c80f fa5003
04d50f 3aa01e 7948ff 794d9d 7c7f79 893f39 a1cd97 b376fc d38aad dcc0ed
04d5fc 606c8c 83b9b5 8e384c 9515cc 9c70f8 a98f6c c6d072 ca3b13 fa6b15
04d6d9 626d61 7e487d 839b75 8663ea 8ca0fc 9e78a4 bf4210 c9c8ac ee9a2e
04d6f1 698503 7a9aff 824d3c 88ba23 8c34e8 a98971 c852aa e5bf9c f889b8
04d6ff 2f9bf8 595d44 6357fb 64807b 7ee710 864c8b 9ba56b db93b6 e43d0a
04d7cd 0b8702 7c29c8 9263fa 99acfd ad276a ba9b99 c266ac f05b51 ffb32e
04ddcc 6e5744 7b36ed 7b8891 9269ba 9aa7fb a15802 b6836a dbcc6c f3761a
04e0a8 5d24fb 697de8 775b4e 968c90 a6c201 bb0b93 ce8562 e30005 e8bce0
04eb98 63acb2 7a72a0 891bbd 935404 9b905e b2a1ff c23dfe c80070 e2b034
04ecc8 5e6f1e 63be82 84359d 8973f0 a3941a bba9f5 c03871 d5c12c dc76a9
04edbb 0b6b35 6d7f74 824e7d 8744e8 9da37a a4c3d4 b86fd8 bd7000 eb9d19
04ef7c 4d8f69 695b99 71505f 91b89c 9c70f2 b482aa c72a1c ceb1eb e6822d
04f31d 3b9492 426603 714ded 7a518a 9b7de1 9fafd7 a55e5d c9b7b0 e68561
05685f 28eca4 5967ff 6c888e 706027 8cc612 ae2baa ae854c b589e9 e5a8cf
