# colors_mcd18.0_mld4.2_nc8_cvd100_minj40_maxj82_ns10000_f
# Python 3.6.9 (default, Jan 26 2021, 15:33:00) [GCC 8.4.0]
# NumPy 1.19.5, Numba 0.53.1, Joblib 1.0.1
0049f9 43bfff 5c80e7 707181 93513c 98a1af d96c21 ddb285
00b2ff 3b805f 6831d8 8f5105 90b9bf 9e72a5 c1c079 da7506
00b3f0 4f6b5a a12012 a3b1b8 a51ff3 c5479d dfae88 fc4a13
00b4ff 565e44 788f75 904bd5 a1337a b2ccbb c7ae60 d96db2
00b689 77511f 81991a 8805ff 93d838 b058db c3a0d6 c62082
00ba18 615dff 7d3c93 8e9084 b12d42 b167a3 bbcab3 daa1ed
00baf5 5d5865 8a8393 a0bdbb b5864b bd26bc bf0100 cfc929
00bf87 2e6852 8b46a3 8e859a a9c0d7 c15913 d15cfb f79218
00c27f 46705c 81959b 823c78 8e4fd7 a2d729 d69bf4 d75306
00c3a4 555c5f 6e60f9 815f0f 8d81a5 a6b5eb cc7f5d d3c603
00ccee 897bdb 8c7065 8f2e78 99d762 bc1505 cf84a6 f55305
00d2a3 389774 4c6566 a189b6 b423ed c51322 d2baf5 f7822c
00d38e 135ffe 5f5196 728bc4 976a09 a8aa18 bcc4da cf4670
00d395 2a786f 735127 8598a9 868920 9747e6 cc7afc faad26
00d5a2 6a5387 6e9199 7944f2 9f664b aa80f9 c0c2e5 f77f2b
00d636 289c39 466436 5e47fa 9b7af7 ab959c b9bafe c51586
00d698 645174 6b7c73 89550e 94abc1 9e912d c739de e8bc22
00d89e 379d8a 6a535c 7b6caf a24421 b0cade b593f6 ba8a3e
00d999 5b7027 7b96c1 9b1f70 a63ee6 afcbd8 c4a12c d64e7c
00da5d 1468ff 505f4c 53941c a1a2ee a222a1 ac818a d2bfc5
00dffc 4f5dcb 5196fd 63585c 887fa3 a26538 cdb29b ec8506
00dffd 33a3d6 5451f2 5f5b4a 838a67 aab8b2 d10e8b f6810e
00e0b9 3659a4 388af8 8d6b82 92a2c5 b71d2d ceb033 d4716a
00e5bb 57586e 7dbd3d 898682 8e2fc5 cc5af8 cd2d0f cda9e2
00e88d 35ac79 6b7d88 734a99 a4571a a6b7de ab62f2 da9305
00e979 21675d 3db025 6f6725 9647eb a5beb7 be6095 c58ce5
00ed0a 4a6f49 5eb14c 9b1379 ac9df2 b439ea d4a7b2 d64b9a
00ed0c 475b8c 708c97 934efe 945a35 a4bfc8 c295ff c58e6f
0146fd 51e409 61648b 8ba983 8f6463 a46fe8 c65707 da9cdd
015bdd 04d584 6a8cea 756574 959ca1 af6043 d2b8ed fd7c0b
016f0b 3fbc00 8154fb 8b4a91 adbabf ba79c2 c5566d d7c18c
0170f8 1b7808 57d43a 83799f 98265d a99bfe c97368 cbc1af
0171e1 4a5c6f 6bd462 6d614c 859095 a76900 c4c6c3 d490ed
017831 03ad29 4ce74b 682ae4 8876d0 916984 bbaee7 dc8ea0
018273 57dfcb 784188 ad96d1 ba1232 ca05f8 e39a77 ff3801
0190ff 5c3fd6 65665b 7da17c 89d4d7 9e64a4 b34b14 de9d23
019194 336457 799369 7ebfe0 9f1dce be4500 bec8a0 cd9b22
0194fb 3e57cc 696780 81a3ba a05f57 bccab6 cfb22a dd3d03
0197fe 6a42f0 77669b 7dc3d4 9ba074 a11a52 e01e11 e3bd42
0198fb 41e2af 5342d9 92765f 99aac1 aa297b d30002 f49c49
0198fd 4ee29a 524ef3 6a718e 85a6b9 8a421f 9a7a64 efa527
019afe 38d9fa 415ae6 754e40 918047 92abae b63b80 f39c27
019bfb 3266b3 6d6d78 79cce0 97a98d 9b283b a47021 cdab0d
019e7b 17e87b 196b5f 8235ec 9f59a1 bab3cf df6ffb ed5a22
019f69 45d496 784b69 7a6dd6 a4b418 bac3f9 c03812 ca86ad
019ff2 88859a 9227e3 983358 accbca b6bf28 c98e78 d1291e
01a1e4 505bea 79ad6f 9d607c a81b36 beafba ec1505 feae16
01ab09 346809 48e345 7d7169 995fff a6bba6 a8129a bb8dd9
01ad8b 397873 62e296 885ecf a59ed0 a62937 b1720d e2ab10
01b3fd 456157 7bc54b 8f5216 9e8a7a aa22fb c1bfc2 d9309e
01b647 6328f5 6d7288 85e119 974c31 abaead ac68f9 e79af2
01b7f2 695073 6b61f1 83cb25 948ea3 b96b68 c21309 e7b6b2
01b7ff 69684a 7369c9 8dc49f 8f3670 9b93aa c86906 efb849
01ba80 718894 7b2bbc 8b4f56 c268ee c94000 e6b1dc ff810f
01be96 586b59 843b75 9545df a8cce3 c26bae cfb831 e43006
01c6ff 298864 755d87 8d9e29 936deb 9dce8e ac070e ca8bae
01cfb9 3494a0 5c595e 8f9378 9d06cc ce1f28 dabd18 f15eff
01cfd7 57a619 695b35 6e42ff 8a7ac2 9fd712 c38a8f cd1383
01cfd8 7b3cf1 97303b 978bfc 985d8b 9dda4e b7a68f f63f24
01d2a3 0e9990 62555d 9d9734 a33fc3 a63729 b3c1df de6bfc
01d4b0 418999 5a5b54 818c72 98520a afc5ec bb6ffd da9439
01d4d3 62968a 7a4596 7d32fe 9dd78d b47ae1 c83948 e29012
01d6f8 3d4ffe 71458f 7a7dd6 b44851 b5b291 b67e99 ff6802
01d886 651cfc 728665 885ab3 b22b12 cfbfd1 d87205 e080fa
01e1ed 445f6f 609fe1 827d70 a50aec acada8 cf6622 e0b007
01e1ed 51a2d5 6150f8 7c5529 828e02 90ca47 bf4a8a d48e9a
01e5bb 1b78d2 716372 7aa6c6 8f9583 a7133d b26719 c5b93c
01e7ab 4b32fd 636667 7479d6 86b73a 958d77 b14b25 d8a6de
01e98c 247481 26ae75 546040 9a6b03 a868ed b8b3c4 ea9105
01eb11 4c97e8 7a44e7 804483 877b84 acadbd c3977c d60c13
01ed09 4a765e 50b03e 916998 933d0e 9c65fc b8acf8 cc8fa0
0245fe 6a589c 78d07d b35257 cf61ff e5affd fa69b1 fb2711
0248f8 3ca3a5 40e1cd 716dbb 8f5242 b5aeff ca9b79 d25203
024deb 4a8cdb 63747f 89bee9 904d47 b3a87e d67403 ffb31d
0258da 1edcfe 538af5 9691ac 9f5a23 d61976 d7a38b ff7704
0260c0 58c9aa 8a585e 9481a4 9583fe d51a0b ef7f45 faa5ed
0262fc 26cdab 4a8e78 8d84ad 9e149a b4bbfd c29f1a d51120
026884 75d7bc 7e9ea6 8056f1 9e8768 b8250b caa1f9 ee8c0d
0268c3 6a94c7 7f657c 9dcbf5 a0989b a51903 b66851 fb9841
026abc 3c9de7 675900 6e9407 7bd4f6 a8bf64 b1406f ca8997
026dfe 0c6955 37e1ca 43a78e 6e8b3e 9dc465 9f2d9b c08fe1
027756 4c8cf5 6a8901 711fe4 9b548e a992a3 c0b7f0 e3916e
027832 76496c 8193c4 8254cd 89d4da a1aa0d ae6f80 ea9a90
027b11 0eaf0d 5b5c5b 92db6d 95a388 a650fe a74597 d391c6
0281a9 38b2f3 626b6b 7312f9 819d8c a2cfd9 b7c157 df402c
02835f 6d4a8e 7f5efc a63e0e a7769c abb1e3 dbb5b3 f8810b
02858a 3ccece 6a47a4 928cf4 ae8062 b4cb9c bc200f fa8219
02879c 42b5ff 784bed 874358 9d948b bdc7cf ce5c35 f1a460
028bff 4fd0ab 61646a 7a399f 998fab c59f0c c5bbfb ce2d16
028cfa 187156 64c4fa 83a190 a25f93 bacd8e bd3801 ce9a10
028efd 34d9a0 5b2cf3 636089 86695f 9796b3 c65015 f4881f
0291f7 5147e3 6a876b 99cb93 a44f93 b43314 bfa3c3 d88820
0292fc 347060 48dcf7 782dbf 7faaa0 aa61a2 b83f15 c1ba68
029a8e 3c6169 6dcdb5 78a054 8751ef 8b5514 b0d36f d28dd9
029c9d 14d2db 638654 884095 892dff 99b683 ba6bfa f8b710
029f1a 52714b 69d149 7d03ee b0a6af c52c90 ca58fa ff9dfd
02a06c 3a670f 4b51eb 8f8ed3 935784 aeb131 b0c6ff f599b3
02a118 65d377 6e2ae2 909397 9656a5 af295a c0c6ca ca8ade
02a878 4a51f7 66dd49 715335 757180 9a91fe b76b15 b7a2bf
02ad14 50e555 586e1a 7730bb 98b296 9c64f5 9f6192 e099ef
02adc3 4c6e7f 605848 849276 9e56f6 ad5a15 c7c69b da9a25
02adff 4370d9 698d62 72606f 73cb4b 993800 a787a7 dbbbce
02ae76 647f82 85cf21 8848dc a13c44 c384e1 cac2d1 e43d0e
02aef6 40634e 5c65fa 875395 8c94a0 a0cdaa cdb12f da4000
02b176 383cfc 86db5e 9371a3 964a33 b6b4c1 db5e02 db7fff
02b3fe 2e682a 459671 6a6076 a8b0b9 b716c9 c1871f debf97
02b4d4 5b7787 919384 9a22c6 a41345 cac195 f11835 fe9617
02b80c 598459 6b5866 931cfe 94d782 a7a4a3 de35aa e491f8
02c7f5 5b81dc 687d1c 751ee1 89ac76 98426f a9899e e7b52c
02c9c5 3b43f2 93977b 9697ff 9e5198 aa3538 cec583 f0380a
02ccfd 556b64 589fa1 724881 b842e6 c3c6af c72e03 c79d2f
02d1c3 349592 4d5b78 9a4ee0 9f9bfa ad2e47 e8bd43 ef5046
02d58d 6885c5 7620e7 9b6558 9f919b b4c0fb b50d7b db9a0e
02dcac 626b04 982762 9a2ff1 9e95fd a76f69 d7a812 f542ae
02dec7 1e6e8e 54a219 68715f 98310b 9ba086 ac29ff f072f6
02e5be 6a74d7 746d6b 8b327b a6afff b32320 b385a7 eb825b
02e896 1cac81 6a516c 8585a4 a2bdd2 a941e9 b53c35 c59a17
02e89a 54ab90 7239bf a66ccc a83a68 b4b4e0 d09e2a d90129
02ed05 2cb109 4d40ef 7b6f56 8374d4 9e3d7f 9fc2a6 b49bbe
0345ff 80566f 8177d9 92c0ea 998f94 c4c6c2 ca3d1a e7946c
035cf4 54cfb1 62556a 7c898f a88e5d b7d024 cd0d00 f26de8
036954 7461de 80c77b 8c5409 957796 b991fe c38001 e8abcc
036d4e 11c6fc 637edd 7b5f85 87928c 95d097 a95e00 c3a10b
036df3 695557 6e7ea2 95b4ce a8827f b12d14 c4c697 ff6d30
036efb 31e1c7 718280 80548f 8f3b40 93a5ee b67944 d1b413
037278 11aa91 3fe2c8 709220 824721 8c56d2 b3c067 e57ce1
03755e 58a163 7a3f8b 895eee a4d1a2 b99ccf c53002 e3a900
037694 07a3f9 4be3aa 7107f3 92696a 95a8b3 e34729 f4a23c
03818b 15c88c 7fa320 8128b5 9edb2b a064f1 a92c5c e59cce
038694 44b1fe 6a36da 7d634a a4cddb aec151 bb8c81 c56200
0389ff 3b5da0 64696a 66c3ff 7397a9 c3c4c8 cc2817 f57055
038adb 50c394 5a5583 80919d 935d5c b32702 c1c3de dbb132
0393f6 3c5ea5 778099 77bfb7 9a6a00 b72c5a df746b eab640
03956d 8922e4 89a4f4 9b4c98 9c2c08 bab2bf de5a15 ecb77a
039af0 5640de 70d3fd 786b94 82a3ab b2284c b47205 d8a382
03a241 4e6d60 74d338 8e51bd 9a300f b59bf6 ce74a2 e4b9b2
03a5f8 575d61 828ca0 874fa7 b4c0d5 bc9e86 df0302 f99316
03a697 4055af 87c98b 8a595f b885e2 c8c2d8 d4300b e89012
03af32 19ea33 317612 62565c 968089 acb79d b236af e86ccd
03b1ff 1d70f8 688874 804e96 83d47c 9b2a26 b3aebf c97b23
03b8ff 595a7f 626fde 91d8a4 95585e ab8bac da4b28 eca10b
03b9ff 44936b 45615a 8652fc bdc8c4 c50813 d2b24b d35ca9
03ba99 2d8759 8335e3 8fd557 957dff 9b6f9e a42101 cca0d8
03bbfa 4859e4 486253 8375a1 98d3bc b4c132 c23d06 c2876e
03cafe 602fff 696d6e 7fbc57 a26bf7 ca3d25 cf78ae dcb7b7
03ccfb 446252 5784fc 805795 84de05 b25918 b487a6 f27a7a
03ce06 9507f9 9c216c a4c2a5 b87e9c db3346 efade3 fd3bee
03d0a5 5d557a 6d3cfc 91a7c2 966c6c a875f7 d0c038 db4d14
03d2d6 4a8b2d 853c6a 901bef a083f7 ad7795 b9d235 f67d81
03d3c8 5e8008 7e34eb 893d52 979dfe 9e9387 c950a3 f0b938
03d6bf 8220f7 8e8887 8ea1df 952f4e 9c569d c6ce32 df3134
03db04 11685c 679940 8600ff 994caf b2c7d9 cb8dfb d76b9b
03dffe 129bef 53621d 6351d4 7aca59 906d94 a5a4ac c85e66
03dfff 0b48f8 4d9fe6 75698b 8e5220 96b0b1 d45d6c f1a074
03e0e0 49a0ce 6344f9 7b7176 8a318d 8fb282 da3f1b f79b09
03e1a5 25752c 502efd 777878 807afb 925299 b68cb9 f2913f
03e2e1 1a64fc 7298fd 754897 8b8893 9fc197 bea51c e00758
03e6b8 2ea789 3c6164 775e38 90cd41 a202fd bc4faa d68bf7
03e899 1cac86 604efd 715651 737598 93ce01 b96a34 d777f8
044fef 576c8f 58d493 907b71 a4a6bf d568fa e94f1c f0bc0f
045cb4 735b6e 78876d a4c48d ab7bb5 af5413 e0b2fa e49b05
045dff 32caf7 707d9a 71554f 79be27 968c76 c4c6a7 cb2a0a
0460ec 326653 46a07b 7d6e96 98ccd5 ab91ee cb571e dfa639
0462d8 12d68d 6f6a8e 93370d 9d6963 a5a6bb df6109 feb201
046b5d 81c5e9 89859a ac21ac bacbb7 c0aa04 ce370f d853ff
046ff7 646a07 787da9 9b2655 9db1d2 c5bbb0 d59302 eb4567
0471a8 52dbd6 697478 9c2a1d a79879 a89df5 c06a0c eba428
0471fe 44baef 628c2f 675c4e accdcf b113a2 cfb46c de7291
04738d 63bd94 761fdd 9d78f2 aad536 ac4d5a d1a2de eb2f1b
047416 33bfdb 8e46fd 92a444 9cdc01 b60d93 ba6d8e d4aba6
047824 61565a 7c46fb 918076 a385f1 b94798 deb4f5 e8975c
04791d 89799f 9bb400 9cd2c8 a0135e ae14d8 dd96ef e26371
04836f 4adaff 6d4b92 7f62f8 92c399 9a4b2b a489b5 ef7f22
0485fe 606f93 7712e1 90acd8 ab8b6d af291c dcbcbc f89d20
0487fc 70bba5 710bfd 815d3c a4964d c0b0eb c816a2 f4ba18
0488ff 41c330 5330f7 665b96 a38998 ac5955 aebda0 eaacf2
0489ff 178041 21e887 5a5861 82a116 aab6ea bc959e bf37a5
048aa3 46b9f6 9337f2 938954 954564 a80c0a adc24c eeb1b8
048b73 50bd80 705580 714cec b0b5c1 bb71c4 c96026 d4c429
048cfc 324cdc 5a750d 79c0f2 a55fa0 aa99a5 add62a fd3264
048cfd 4e43dc 52ab01 56e722 7f788b abb3d6 c39586 c61853
048f07 6ed6f9 7cbe38 858274 8f29de 98286f bfb1b4 d262ec
049074 49c999 6b6e95 8d3f2d 910aeb a38827 c2cf3a e752f5
0495ff 720efc 818181 a1b1c4 a62c9a d31e3a d6b290 ed801e
0499f7 3f51c7 8a6c8d 92bace ad2d52 bdcc42 c78588 ee251f
04a70b 738571 834901 8a23f0 8adc84 c2198f c3aeb8 e94ee7
04a78a 38e0d5 6f8f2f 824e45 9303fd a0c36b cc1e9f e859fd
04b2ff 426dfc 7d829d 90bcbc 915261 a52112 d77922 dfbe84
04b69a 577964 882a9f 8fd677 9d6fb2 b52216 cb99fd e46305
04b898 537f84 802cb0 977d09 a56bfd abbde9 ac2c50 afb81e
04bc91 2d8274 76589e 923636 a386cc a5741e b2c4d7 cab33f
04bced 658c5d 922e76 9642d4 b0cd99 be0302 ddae0b ef57a8
04be28 4f539f 69606f 9272f2 945d48 9bb897 ad84aa d9afff
04be6c 326b44 827a07 8a979d 91db0f a159fd a62b99 e496eb
04ca0b 528531 6948a5 865565 8e6dfd a684b1 b3c6ec eca09d
04d2c8 62517a 7096ca 875157 a417ff afd259 e18490 f02319
04d4d2 3272df 386653 8bb883 937e98 a73e05 e2680e f4ba07
04da29 79a070 8a0df2 8f578f a01948 c3bfda e8210d fa4bfb
04dc14 6643fc 79447b 887a87 8b8ecd bfc3d9 ca3610 d89790
04dcf7 2ca1c9 4865b3 794961 7c8982 90c39d be4a30 c6a439
04e699 608e84 717727 7832fe 8e327c 92b111 a770f3 de9bdd
04e6b7 2a6cac 734d58 778cff 808a77 80c72a bd92b7 c14823
04e7a6 4f8af2 6b08fb 867771 99b7c0 ae3795 ba021a c78d4a
04eb05 1a79ff 686d96 754e4c 989a3d a53f01 b5aefc e08cac
04ec08 485ae3 5e5c53 83b474 a25e00 a485d6 d7a4bd e12a8b
0546fc 289d97 5e5fa2 7ecaa8 916549 9c86ee cdb9fb ce981f
054bf9 2bc7df 6b7ed0 776f83 90533a a99c9d e25b06 ebae7b
0550f0 6f728a 71be7e 875a54 bdb3cd ce75ee d64c05 feb316
055dfe 5397fc 71590e 74869c a0b6d4 c2c910 d41f6d e7857e
055efc 3e9621 41da23 695739 8f8f83 b53d8e b9cbaa d794c3
0561e0 5a95dd 60527c 63d5f7 985d5c 9ea3a0 d53f18 f19c38
05676f 32b2fe 7262f3 795f34 958c77 99c00d da6db0 dabea2
0567fe 2a6918 58a5e2 98309f 9baeb1 ab8b02 d0c06d d24a69
0568fe 5a595c 6b906b 923b9b 92b2f6 d62c0e e2b444 fd5eb1
056bf2 71a1c3 73578b 893d4f aab702 b47081 d3332b f0a296
056db0 515e5a 8093fb 8bc607 97869e b8500d d3b4d8 dd8981
056ffb 596392 77aefb 8e776d 9e2718 c1c4c2 dfa874 f24807
0573e0 75b98f 7a81a1 9c3b67 a90005 b2d143 d09dfc da6520
057475 8642f5 9aa1a2 a31649 aa70bf deadeb e50625 fd8a1b
057827 30bf33 60575c 8c8679 9431fc adc2bc bf46a1 d293e9
05795c 1993f5 6922ee 8a6294 99b9db b1a791 bf5b0b efb435
057e9c 7429d1 74830b 83555b acb9e1 bc9d9f ee39fe feb074
0590fa 1d6b90 9397a1 93bcf3 a96963 c92702 e8bb85 fa7403
059571 603ad3 766b8e 88c4a0 8a78f8 984c1c dbb1df eb7921
059cf8 4656f0 6f729a 8ebcd9 8f3459 94b12b a37670 dcb89d
059d85 54678f 56e090 9085f0 956b0d a31549 bfafc2 e3940f
05a026 48634e 7d36f5 7fc7c5 8e9487 a2549b b3d071 f259fb
05a480 4b59d9 83482b 846d96 94cbcd c4610e cf79f5 fe8f25
05ac01 20eb41 586c2e 5b3adc 8c6cf8 97b88e b2527d b689bf
05b4fb 775034 998366 9d4cff ac1490 b0cdb6 d5ab40 e358a6
05b5fc 0e6d0b 3da209 8633dc 9893a4 add711 be436a d6a28f
05c5b4 645bf8 65608c 715051 988170 9b96e8 cabc4a cf4614
05d086 3f5e84 6490b5 7e8162 9539fa b82804 c1b9cb e07e0d
05d0c7 4653b9 576e34 86a502 9574a3 9ba1fe c46f7b c9c788
05d2d5 6d977e 7241f8 786f88 834b4d ba7bf3 c9591e f2b57b
05d70d 309a37 4c6148 99a0d4 9e3d82 a332fc ae858f c7c29c
05dc28 584efd 6d9971 796f7d 8a443b bbc9c2 d94911 e76cc5
05defd 627671 6295ef 81cf4e 8e3c27 9034c4 91873c db8dad
05e2df 5e5bf9 7b788b 82388f 9391ff b8bd40 bc7c6b bd060c
05e5c2 4c624d 52a8a8 924598 926dfe b1affe c44e08 c6a351
05e698 3258eb 5c96ef 675262 83888e a0bbcf ac6751 bda220
05e895 57ab8e 5b706a 82458c b7a8e3 d0331a d62afd fe751e
064bef 49d9fd 646283 6b97db 936a5c c6b447 d44c03 ed7f9a
0650e0 2c8bf9 62693d 6ca260 945c7d 9cd4a8 b491b4 eea706
0658ff 657db1 756b71 7dde74 a60c33 a6989e aaa1fd e45c26
065dec 6393e4 65d8fd 77500b 788062 9caea7 b72b86 e1ac62
06657a 5a9486 5b6f41 79cba7 af27e3 c198cf cd7e13 f8b703
066d12 7065e6 76aefe 954473 a28ca3 b7d401 dd4161 f49e8c
066d53 59d494 855e07 8c43f4 a69214 a9a5d3 d4428e dec515
066e0c 5d5bfe 6c8374 80a9fb ad1687 b1c225 f3b0a1 f753b4
0670f7 6c99c1 864f87 97a382 9ccee1 a21c31 cd5d20 d9ad0a
067cc9 35cfa4 59576f 8a7e81 8f551f 8fa1c0 c38151 c5cd3d
067f8a 774d44 8e8a74 9010e9 a1aec2 b66213 d6b878 df64f8
06817f 4abbaa 6c2cdb 7ca033 a3d936 ab68d5 b42033 cea5f7
068376 6cb1a3 795205 829846 8c00fd ba4abe c4ca82 e98fed
06843e 48bd7c 525d5c 8226f1 abd720 ad6cfc e095da e2119b
0686f7 5f7759 8ad0ff 921b97 afbe88 bc0c04 c76e9c fd6005
06881b 48c584 62565e 7f8d99 a0c903 a227a6 dbb8da dc63f9
068970 7d7ea8 80bc83 8e35db a7242d bdb6c8 d87015 e6c129
068a92 5a6958 6728e8 7dc399 9e6cf1 ac4e0a d9ace9 e87c39
069597 44c9c1 4a7051 70478f 77a452 8c48fd afd620 bc86f6
069af7 19dafb 4d51f0 78ac90 8a5c99 942e51 d3b04a e33826
069bfe 4b6143 7c3be2 846e89 8cb18d b5750c cfb8e1 e2aa12
06a098 30e4bb 77569e 8a3c56 acaa62 afb7e9 d43a0f d755ff
06a0f2 3a3ffc 4be2b7 615f9c 8ea5b4 af6b6a bebe57 ca3a0a
06a2ed 5044f0 54e494 96808b 974791 b1bacc c53d2f ff771a
06a898 124fe6 6174a2 8c8a26 8fc784 ac2e5d d1bbd6 e37afd
06ab71 61e067 6e6065 7768e5 9f261c a99bfd de9eba e24510
06baf2 1b74f7 5f6759 8a337c b0cd9b b290a5 e72506 f99a17
06bca0 732cd3 855291 8c6dff adaef8 b54b64 e1c152 fb421a
06bda6 6a7695 8617c9 947d66 96d176 b72a0c d57902 dd94ef
06c023 2a861a 61675c 7113f3 938e94 bf47b9 ccbfbb ec81ea
06c510 4f8d38 6c524b 8506fd a18091 b91999 c1c0b5 ea82ff
06cbf1 5ca470 675471 888495 ac42d0 c40f2a d3bcbb dd9502
06cd00 723abb 84801f a08eff a2386c a7d199 ccaad1 d26d84
06cfda 2392c2 7934fc 856e79 91db38 a52003 c3979b d76c32
06d4c7 58610b 9450d0 94952a a8a0fe b26d77 b50779 cfc944
06d592 3a9987 7b0eee 886cab 8c620e bcc6da c6901e c78efd
06d5aa 3c7cfe 4d6a8b 7b715e 9bacd0 a52108 c57722 d7c51e
06d6ae 4b6e8d 6a5f17 894cf2 92a9cc ab9101 cb616d e5bf53
06d730 6f592d 7d8a09 9147fe b31693 b6c4c4 d37bf7 fd3982
06d992 159b7f 373dfa 616829 92acbe 9a9635 a5499c efbc09
06dff7 1059fc 5d5192 6f88e0 8b7568 8ccc41 b2a8a3 c42e00
06e0f6 35a2d7 4437fc 5b8031 98ab28 a8248f b07387 dea7b0
06e1da 706ee6 736d6e 963608 99a6ff 9d9f91 c36a35 eba553
06e2e1 319aff 555b60 868882 91c39c 955838 c1a733 d416a4
06e395 4865ee 6c8379 894a8c a384c2 a70a1c adb6c0 fc7530
06e5bc 2c8b14 631afe 7dabb8 8e827c 9b3a9d c955ff e89b6a
074fe6 46ded7 7496fb 757397 974c0f 9b7c68 abbf90 e89410
0757ca 50d398 646080 679590 ad82e2 c6bef0 cc3551 ce9b0f
075af8 629b8d 6c5157 7068a1 8ad2ad a99dd9 af6d3f c7b317
075df6 4a5f54 639978 897292 a885fe c52f02 eca6da fa7e26
0764f2 3c9ffd 4c5e5d 94779e 98bbca ad5910 d0c09d db8d23
076a81 34cb9c 64918e 803bfd b05b26 b679d5 c2c0e4 f37d0b
076eff 267a18 45d3a1 87ae3b 9a0189 ab83b0 d7b8dd e0267a
076f45 16defa 1f9aff 718004 900cfa a9abad da3cad f69e6c
077a84 729a87 76df2a 8b3e4f a135f8 bdadca c85a33 de6cf7
077bf6 506480 709faf 71d4fa 766b61 a4ac92 c17433 ddaf11
078213 0eb75d 635951 8754f3 a1d916 ad9afa cfaab6 d15ba5
0790f4 606a54 6633df 84aebe 9a9680 a05097 c95106 e1aa27
079265 52d16d 739604 8616c1 a4357b bbc1ed c56ef6 f674ac
0797f9 574df5 6c535e 797a9b 81d3e7 a05c1e ba8c8b fd9046
079b63 42d4a3 74527a 8259de 8fbd2e c01e0e c875b3 d7b5fd
079b83 37656b 5fdf87 746439 929639 adb7c4 b229c5 e37aff
079c74 7917ed 8d6818 947ffd 98c3fb b2b1b6 c0a010 cb2ca1
079cfd 5be1a0 5c5fa6 906e73 99a8bd a7072d d35436 d8ac32
079e80 41646a 8b60ef 93c97b 995736 c587c5 ccc2ca db7007
07a0f9 5b6f5f 7502f9 95d190 ad649c c04311 c0adbd eb8018
07a898 3d6d81 62ddaf 8119c9 8c71ea 9d5b3f d2a2ed ff7d2d
07a981 4364c4 46e398 635a54 82809f 9d611a bea7ea c8992d
07a984 576866 8e69ad 95bfc8 9d2828 be6e1f bf91fd feae52
07acfd 396630 798f0b 7ec66a 9e0af7 af828e c13ba1 c7bed0
07aff2 676667 8d4129 9b33ee a77b2a b5cbc5 dcaf72 f33ca8
07b686 5a6b6c 6f4794 8ac233 965bfb b276af d20a23 d2b8d6
07baff 4b6d53 739d7a 813d78 968513 a040f3 b3c773 e868b5
07bd32 547209 745253 998f80 9e30f7 afa6fb be5ea6 d3c09c
07cb8d 228091 9319d4 a37ef2 a51701 a7a620 abbae1 bd5955
07cc1a 0a46fd 7c8b88 8e6d42 b3138d b6bb9d c171f3 fca1ee
07d112 146cff 409119 6b553f a8c7a1 ab119f bd8fcd eb3185
07d1e8 436a8c 7510eb 949ca0 b460f9 cc2a53 d4c2a4 e29517
