# colors_mcd20.0_mld2_nc6_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
c3311f 4dd02c 0047fa cec8ef 844d8d de7193
fd1e04 01d77a 3678dd a5a0ca 7b5670 ab1135
11990a 01d796 b6bfd6 858299 8c359c e960fc
d8b8b5 60612b 01d91d 2c57ff a49fe3 e43d7f
dbc16f 8a8e25 0c7b5a 01d9d3 b818c8 fb4992
e09450 6b5836 f6dd1d 01dab9 3c91b3 800cfa
91857d 01dc7c 1687d7 f0b5ef 804264 ca0b12
94b318 468d4d 01deba 6e14fc f6a6fe eb0ea9
e3d447 01dfcc a77be6 7c15fb 991d6e e05063
f13d0a 01e0ab 0e6f5e d4d5f7 9798ca 9f32a1
c79e0d 0e704a 01e1b4 9695ff e3cafe c00ca1
e1962d 596f16 249c86 01e1d0 9c86d6 732ed2
da5331 9ea59e 01e460 6355d1 eb8dfd 734d5d
b70a03 a18f74 01e664 1c6865 0494fb f9bed3
f3861c 5a622e 7d948e 01e9b8 5c46fc b97edb
e78e67 01e9c2 4b7586 cab7f5 890bd7 d21416
c51c04 01ed06 4a39fb 6b5e81 f7b7f4 cd717a
3ea207 01ed71 6945c4 efd1f1 e97bed c44979
f0aba9 585e48 3ca038 01f20b b3adf9 ac17eb
f4bd02 01f4d4 337cfb 9aa1c2 5d5b70 fb3e50
8f6c66 31b40f 01f771 2161ae bdcbe2 b385fe
01f779 cae0e2 3a59c7 e489f6 8e7192 ea3959
e1be97 496941 3ca535 01f7ee a050f2 971e7e
d7b55b 01f8f8 68a8dd 0265fa e25290 a61c28
755c52 aed48c 22980b 01f8fc 5d39e6 ec4fbd
01f932 987ded 720ff7 7c4c92 ebaee5 ea3355
ea5237 b5baae 01f9fa 4d61b3 888dfe af031f
a5a69e 088f27 01fa82 6a696d cd70d5 9e1ca4
d8e1c2 01fb0b 7aa9dd a826cf a5142d d75b6c
ded9d0 a29152 01fc56 4ea5f4 9331b5 9f2b34
b44907 ada37f 01fcde 6e9dfa 484de4 67636a
5d973d 01fd52 0669db d5c4fa 972e5b f679ac
a1c984 01fefc 6e868f 1bb0fd 1e52d7 cf0d57
78660b aacba4 01ff37 2d837d c721e9 e591dd
6c7f40 64c035 01ffa6 0478ba c2baf4 a30d67
a4621b d6c716 64be9e cadbfd 0246fe 7876b2
676914 cdd253 34f9ec 2ca9ad 024afb f13d73
28bc2c b5eccf 6f7c96 024df8 f87bfb bd095e
ad9246 676319 68f413 4f918b 0253dd b99efb
e4a388 b75706 91fc32 5a9dde 0255f4 6d6380
488108 66b859 0256d5 e179fc ae1f6d e8d3da
c8c8c0 5e6e35 27be49 0257df f887f4 905e80
c7cc64 b3e6d6 3bc2dc 025abf 8e708e f51a46
e0e735 2b9f29 0af1c7 025ebb b6c1f6 ad7b9c
5a6e0a 3ab21c 34fe56 c4c5c5 0260c9 b47da8
e1cb43 a6bddb 0261f4 736a95 a70632 ff2c3c
facdb3 af9e09 657221 0264c6 adc3dc d05b84
ed912e bacbae 6eedf7 6da7b5 0264da aa5a6e
c46c39 5df7c9 3aa199 026674 8817f8 e5a4f5
a02919 cdc1b8 4bf133 0da9f6 0268b0 f14865
c73b04 a4c567 026961 64f4fb 23a4ad 940bc9
5f970c 88ee52 026b45 18a2e0 974486 d87c93
968b10 6ef516 026b50 1cae9c b40bb2 fa4ff0
6a6c23 abe585 026b9a 54a6e6 f9ceea d88795
03b40f 026c1c 62eca6 8a42bf ebc9ec cc588d
506517 28bd10 2efce9 026ddb bfa1fa af6077
ff9f2a 9d9674 026f2c 2de0da 9693fa bf219a
5ea22a 1cf086 026f5b d6d9ea 7c5996 e974ee
2db930 02704c 9d53f5 e9cef6 ac1c8d fa83a9
806125 59e779 02707e d5d9f6 8994e8 ada5a6
ee8f7a d73e1c cdec39 85d9d5 027580 8103d5
47eb00 6ea471 027622 844ede f16fc0 f7bec4
efdd7f 25b31d 027627 b7ace9 7e48f3 f6158a
b6dc17 3ec381 027840 da25ef 7d3f82 dca5cd
b56541 37ed7e cedfe6 82a4b5 0279ef 77457b
5f945c 08e384 027bfc 9a8aa7 f4acff 992969
c5b84d 027c1a 9fd6e0 a296e3 7d59b8 da587d
5d6b36 6db611 4bf9a2 027c86 7101f6 fa32e7
cfda28 027d14 41b47e 65f4bd c526de 675668
d7928a 78e60a 027f3b 8773eb d3cbe2 c41481
f29634 91f5b4 027f64 2eb6a5 7110f2 9c5ab8
9ce345 028422 3aa6e4 a70182 e4d4d7 a4898a
e6be65 a1840e 028462 36e9f0 9c8de0 803fd8
c9c105 028505 80b08a 27f2e2 ad61ce 952766
efbbb5 a73900 4eff30 028576 9ea3c9 6e459d
76ef0b 02865d aeb6b6 830ddb e387f3 a14289
cd1a0d 46e046 c9dcd9 0287ad 6236df 736668
d0e3ae 3a690d 68d704 0287ff f8b4f3 a06579
bd2f12 d3c890 02886e 76c5cc 8b07f9 ac5db1
96521d b6955f 23eab9 416460 028bdc f3c3ff
faac3f c5d6bd 028c32 82aadc 6d0bfb 9c49a3
c8d41f 028d61 0ad8fe bf49f5 be0b8c fd7cb4
677908 09fa94 028dba 6724f9 b32874 c68b8c
d9da00 7ad491 028e6f b819a9 f57ad8 ec0920
d4e22f 028f1f 87e0b3 7a08e4 f24ef6 a0247a
7a5a47 e16506 f0cd44 9cf3c4 02909d 7e4ff5
6c5a5a 92dc2b 029205 792dfd b357a8 eca6c3
d8d5ca 06e156 029459 8205d9 f432d3 9a3470
ea7964 e9d70f 18d9ef 0294d6 8608f2 c30a78
a68b40 f9c710 029592 52d9f4 7f2af8 a21b24
d0dec0 65ce31 029656 565d67 ca4aee e2a9dc
fcd2ae 19d412 029716 b352e6 b8397c f772a1
ac3a1e c59667 cfdc17 029896 b697f8 722adb
d92808 b3cda5 50ff27 029979 803cf6 fa93fb
f95049 95360b 87f044 029993 772ee0 faccd8
607230 83bc5f 2cf3e0 0299ff 6224f6 f31198
eedf05 8cd28d 029a8f 865cef bea4f2 c22338
cd9f44 0d6e2c 7ee2cd 029dee 8722dc d1418a
e8dac3 029e24 acc8f6 b039f6 b7127a f658a3
bd774b 9bdb68 6d7f85 029eee 842f9f eec1ce
dc4514 b5eb4a 747a78 06ebd4 029ef7 643df6
e43111 fdc788 02a08d 25ebde ad82f7 8206f3
e13716 fcba32 a0ebe2 02a09e 8523e0 8b575a
e0dad5 866711 83b15d 29fd32 02a0b5 2858c4
f6c07e 65712a 02a3ba cddeec 4953c5 9a436b
559417 92e057 02a3fc 0460be efcef3 c8899f
e1c4aa 42fe25 416842 02a51d 9126d0 eb51b7
bb5745 b4ba54 36f9dc 02a5ae 136680 8505fb
e3cb58 678915 9de2f7 02a6f1 4150eb b80867
dfbd4f 847735 b3d0be 02a7db 1f50ea e54594
e8df9a 02a92c a5e6e3 9c35dd e26eb9 ae0241
aca091 46f820 02aa07 0d6e3c fe6bf7 9d628d
878530 c4d928 8aecd9 4e726e 02abc9 8536a7
a1e34c 0bfed6 02acbc 895cf3 6b5069 b0202c
d80f00 95c54e 02ad90 20f1df d38dfd 8c01b9
e3d974 447305 02af72 abcfe2 ed32bb 7d4d66
d7e557 02b19e 21f3eb bb8bf4 7b3fb3 c93d59
78574d df6c12 b6e911 02b3ee 6d7a8c 9121f5
a1b005 347315 a0f291 02b49b 752fc8 c16acf
95f1a0 02b55c 5a6063 3b65db d3c2fe ac82b0
b53937 aec866 29f8cf 02b5a0 3540ff 8768b4
76562e f5b430 62fcb6 02b5fa 7448c0 aa82a0
147308 02b63b 26f77d ea2dd4 dfa5d0 9e7781
b18012 86a788 7bf7a2 02b6e7 983ffe 8e307e
c7af0c 6c6205 02b784 47615e d3d3fa a932b3
ac6c55 b8dc26 68fbcf 02b7b5 0754fa 565875
b0cf86 6cf6fc 02b7cf 6714fd 8c50aa cb4b65
c9e8a0 02b926 0bede6 6559ea 8f77a2 aa0328
9dfa4b 237a0a 02ba62 9323f8 b972cd e4c6e4
c15909 9bf13f 02bb92 1f56f7 ab84f0 836482
e9331d cec05a 02bda5 28fdf1 8584c4 8b5f69
ae2c18 eed053 a6ebd9 02beea 814093 de777e
63733c 9dd718 02befa 384ce4 f0638c fcc9d6
c3ed0d 02c262 b670eb 832fc2 faafe3 99274f
93f886 02c41a 7646ce 9c86a0 eaaaf1 de1062
90927b 326e22 02c41b 2572eb b11089 e9add5
ad2c29 a09937 b5c9af 2e9281 02c6ea a920c6
dcdfac 718963 02cd0e 5f59ff bc89c1 a7156e
02cd34 197237 977ce5 6e0df5 d5108d d6b0b8
02cd7f bbe5f8 999fae 835ea8 9c2b55 db010b
e83510 ab8c7d b6d938 02ced6 6468db 92356d
c78678 addb63 02d1e8 3273d0 855b77 aa173a
b9cd32 6e9290 02d3f8 a14be2 824255 b30014
da0a05 02d532 918dd4 5e51f8 d8b4c5 b4607c
fb4a35 ab1f00 abf748 02d599 7693a1 fab8f3
eb3831 cfe821 02d5a1 587aa0 f89bf1 a31d59
e8c512 02d6e0 8b36d8 9c3a63 d76c94 f80738
a6251b c6a26c cee743 02d7dc 27838b ca00f0
a4d666 397530 02dacf b787fa 730ef7 e21798
e27053 c8e6a4 02daea 975bf3 963175 bc0918
ef7777 f1da8a 02dbe3 48676c 975fc5 b4282d
b83c0a ddac8a 02dbed 4f6264 838dfa 8f30ba
8b862c cce4c2 02dc23 448b8a 6b4b9a e764f0
90ad03 c1ed6d 02decf 2b53e2 a65f95 c92f53
878539 d4dbcf 02df58 8429dc ea7be0 ad4681
f3ac21 c0dbae 02dfe7 4755ea b23074 f70e49
f6c1bc a8ef25 02e1ff 6f1df2 ad6fe9 d74565
c7ed57 6f8e37 02e2b1 5b58cf f974e4 a94f78
bb3c34 e49879 d8d70b 02e2dc 3f6478 9563e8
5b7b2c 02e36b d5d5f9 b16aee 9a326d df76a3
c3542f ff932d 4ba49e 02e3f6 645a6c c03bf8
d67e26 766d5c d4ec27 02e4bd 1e94ce 6733ea
b07f24 d6d72c 02e5be 96a7d6 566cf9 9c2d6f
a7aa32 cfe79c 02e6f6 eb1ced 9a678b af1c49
d4750b ace790 4e9085 02e6f8 8f39ca a21c1f
81695c 6ca015 02e781 7834f7 cca1c1 9a1c78
f4d58b 02e7fb 3a62f1 795083 e7859b d32a44
c1b70b 02eaee 7915e4 f53dea 954e65 d51314
8f8584 c04f32 02eb19 3d68bf 999df2 d2c5dd
d9420d 68a879 02eb59 2b69fc dcadc8 835c6d
b4eb7e 54b336 02ebd3 7d6bc6 c29efb a14856
8b7420 dec02c a1c8a1 4a6257 02edf2 1980f2
b26302 02f199 326657 66949f d9d0f1 9148c5
fa8a1e 02f1ad 5897db cce0fc 4e53b8 925562
decb4c 64925d 02f1db 4647fa de63ba b90275
737113 cee606 6ab67e 02f1dc 6049d7 c095fc
93c70b 146d15 02f1e9 3a9fa5 7649a0 e04762
