# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
e69f97 af3108 a7ae0d 447c62 a0edfd 004ffa 9593e5 f81ca2
ff6753 8c4019 e2d802 47fea4 00b4a0 647293 ac32f8 fd90f9
eac83d 758d19 286f46 1dfdbf 00b4f1 c0d6ea 8519c5 f131a0
99c703 097a0d 00b5a7 29eaf6 9f1cf7 ce61e7 9b0a80 e94d5e
fc3b33 d9cc26 8bb391 8deed5 00b5d4 6a4fb5 9d6378 a4172f
a72d08 605855 d27b44 68fb9e 00b695 7881ae ae1efa fdaee0
feaa25 7d8419 92e1b7 819e9b 00b8f9 306fc2 dddbf7 87434e
745a48 d7d20e 68a201 a2cfb8 00bcda 8a55e1 97207c d45488
e2a006 287c25 b2ccb6 8eeffb 00bcf8 7e75a3 7008f7 8c4564
e5b3a7 936b21 cee760 8ab21e 00bcff 7b6cce ac0660 da5e82
e1b096 b5d61e 4c6221 559f2f 19fcf5 00bfca bc3adc c2027a
d6ce11 7d8d5e a2cc9d 117110 00c0f7 8768fc cb0ba2 e473af
b2a00b 75fa18 b5cca7 5a8a4b 00c1f9 9722ff d437a8 7e5062
914b05 bd9d04 d5db7a 85f5e2 00c3c2 7b6cb1 5f30f1 da4860
e6d2c3 6e851c a3d332 076a48 00c5dc ac16ef ad2a81 dd7e89
c90d0a be8c58 97ee71 486964 00c5fe 9ca2aa cb2eaf fdcdd2
b84009 849d84 00c741 15ffe1 506f76 c2a2f2 bf4fea 8d09b7
d4120c 00c741 6efba1 7b23dc c56ff9 faadfe 904388 da6787
d32307 f1ccb7 00c744 327859 becafe 7810f8 c03aad c68ba6
a6f800 2f930a 00ca66 1f4ff9 9284f2 bd94af 985f7e dbd4d6
eecfb4 a08873 00ce3e 5e6362 c5e3f9 98a9bc bc30c5 ae0011
94a95d 9df500 1b7f6e 00cef4 c608bc c67fa7 a80a35 fcb5bf
95751c dde1ae 00d52e 4c40e6 b895ff f5179d fdb4da a1324d
a51b13 a2e744 53a009 00d59b 968cb8 c414f4 ffc6fe 6b5c5f
c28106 fbdc1f 2d6a30 00d684 179787 bacadf b680f9 81459e
e9d713 7eba85 1c863b 00d6f7 c739fe 978b98 aa0f9b 65585d
c02a0b e5d2c3 af9e8c 00d73e 0e7469 966bf7 8312cc f89bd5
918918 aedb1a 00d7b0 586e73 8c17a9 e926e6 f89ef1 a22d33
ee4827 9ad45b 00d8b0 3b67b8 9990fb fdc8fb 794a5b b50204
e9c313 82781c a8e69f 4da579 00dbcf 5541ec e55afc ac2c87
ffcdc7 00de30 068d25 d6cdfb 5930f6 9b75c0 994f6b d1869e
f8d3c1 cd9c61 b8ea2f 00dff7 159bad 7432f6 744778 bd5061
bbf341 00e297 69597d ad08ff fb72f9 ecc7e7 a2979f ea0b3b
b56c4c 7a4e05 bdb799 afe83e 00e4ec 6e8dc8 6547c4 b7046a
f41d00 8f9c7c 00e51d c7cecb 4f8b93 8b1ccc ed77e9 a4172f
7c8601 5ea67c 00e583 4e6b7b 7e18d0 d847d3 fbcfeb 914146
f7cd19 516a05 34a452 00e5b5 c6e3fa 9335e3 df62e1 a92e63
a7968e b15607 a6e744 516d55 00e5d0 2865e9 7d8cc7 745278
fcc3bc 8b8d06 8fd12f 248c68 00e5fd 850df6 93439b e268ab
9f8f8f 6f9f0e c5d0c7 167c34 00e65c 695d75 b629e0 e082da
918635 beddb7 00e727 78a4aa b79afc 8a59e5 f2d0f9 b40f69
a4523d f6d226 a49f41 00e8c3 4b9d95 4445ee 7b548d e175f1
bab885 a3e934 6c9c26 3f693f 00e9e3 125bfc de7ef9 b74b97
a12204 d47253 e9e12f 00ea9e 7b77e7 b7b2d7 6c558c 978891
b66260 f73c0c efa57a e4df16 01b3b1 00eafe 315dc1 7b5876
966037 d09b64 d6e823 00ebc7 809c9c 136972 bfbffd ee08d7
c6b36e c5ee25 018531 76a6a2 00ebed 6e09fe d14bd9 666065
7a862a c0eac7 00ec57 29725c e9cafb c452f2 912995 fd62ab
f98b21 95672f 00eca7 1eae96 547290 1344fe c0b1f7 a36df5
f9a903 e0dfaf 0f6e18 9ca3a3 00ecfb c14ecd b30e6f f93762
8d7712 9aa87d 00ed43 3a686c 64979f dbc7e8 c807f4 e183f5
857373 be7805 c9ad7d cae83a 00eef3 66a9ae 6253e7 9c2079
f3ab38 00f1bf 25a190 d6dafe 6426ff 775ba5 b58dea d4172a
a99440 00f248 0c713f 4a9b91 b8b3fd 6e03f8 d234c7 f2d4dc
d9421a b79382 00f387 3f787e 23a5cd 7717ed efc8da 974447
d9e059 96ac23 00f3c0 8baaec 4c42ec 8f5081 e86c89 ca272a
825d03 969f38 b6f201 00f59e 228a79 90b6c8 5f5380 d03beb
f42e16 e9df2f 4eb379 00f5c6 573df1 a078fd 806398 c49abe
f7de09 66b93c 078218 00f6c7 99989d 662df0 c46dd5 963e86
dad8b5 3f730d 00f739 8154f9 ab8ce8 ad3684 d89fbb f35c65
96463f a9a08e 44b224 00f764 ddd1e8 dd14fe f08eff 78627b
3aa114 1e6b1d 00f891 a3b1ff 414af7 9a68b2 9a476a c2a3ab
e2240a e0a52c 929d96 00f89e 5895c5 3551ed d6bee3 a7415a
dd827e 9d6537 d6d141 00f8f7 9baeff 3856f4 937dab a5015c
cfd875 18710d 90c5af 00f8f8 5d5477 a300ed cb6fe0 df4f68
4e8f28 00f978 a6b2eb 7d28f7 a96dee 7e3f8d c55b80 debabf
c31410 d3ac2f 819581 00faa6 456666 bacbd4 72a3f8 b304e3
95a41b 407006 ace177 00fafe 50b1f5 9245fc d844a0 a5065e
c98017 f9bf14 00fba3 0a916d a8c0d0 b98dff 7702ea 9c49a3
90433a 878f07 8fc089 00fc48 228578 a205e4 e9d2ea d975c0
9f9c95 c6d99a 14780c 20b235 00fcf4 5b5964 9d4fcc f973f1
d6b4b3 5f7c3c 26c430 00fcf4 b4a6f1 9f56e1 8c3176 bf6491
ad0a02 756057 cdc9a3 899e3c 00fd2f c020db cd8bc7 f62c90
db5e13 725234 7f8679 b5cab8 00fe61 28b4d1 c014ed a8087a
b8b39c 5f633f 4c9a1d 00ff66 06676e a105f5 e946bb f9a5dd
829b01 027220 38e686 02a275 b1bbcd 0148f7 c88af9 87539d
b82c1d d78d50 fdcf17 b1d2e5 0152e0 6f9bf0 9f7f96 7c515f
bc8272 fa7a03 a8f37c 1bdabc 0153fd 7575b1 c697f8 9f1752
c77f67 dfd62a 268110 55ddb1 0d93fa 0154e9 afb9e4 d32282
e98827 c4d49b 4fedfa 01acff 0155d0 9193a9 635b81 cf254b
8c5602 eda939 bde7b0 63af98 0bf0f1 0158e6 5b5577 997fc6
837537 49f550 c5e4c9 015bca 7d87fa c9aee5 9f2f72 f6728f
a57372 e74529 dbd352 45d6ad 7998ad 015cf7 cddefb 952a5e
f20400 f09e99 a66558 a6d71c 1ce8f9 3e97e3 015ecc 5b6381
ed583c 898684 fbd461 16eec2 8cb0c6 0f96ef 015fca ad3040
e54616 edcc50 aec8a3 78978b 85f2f0 0160c2 b089cc 9e1f43
a27419 f0de09 2fd273 0164b5 8788f5 bfb7f0 e977a8 c0255f
c25d09 91c633 20ae76 2f685a 71eff3 0164f6 7f879f cf88ff
ac4b34 2bbf06 81f169 0168c2 b1b3f1 744a6b eed4db d5798c
d14a10 bdaf55 15f8c5 2ab39c 506268 0168f3 8484ba c8c7f8
9a9189 bc7a21 17e454 cfdee8 0169b2 97a8c8 77606c 9c292f
c32c0b 9ada22 04b75e 0cf0fd 0169d6 a793f7 972480 f1a4b8
7e9319 b3d138 016a4d 18caa7 9459ed bb88d2 f4bdf8 c1388a
dd5604 d2cb0d 7d9e88 2bfca9 016a57 4aa9f3 92779b a209bc
9b3e31 e0510c b5ce13 01efec 016a6c 9595e9 a903e2 cf9a9b
e25949 8bd21b 2cecc3 016aa2 7792ec efc2ff a10b61 ac92a0
db981e 89a57d c2e7c5 016d41 47ccd6 767dff 9f13a1 8c7182
b6aaa1 d16e10 68f72d 016d52 d1e0e5 50a6ed 777a8f 9244ce
7b6642 aa9e05 c4dd36 28dfb3 22a39d 016d79 8078d3 7923d0
a82d20 dfae3a 66a074 77e2bf 016de1 d6cbfb a994ca 846789
ac2a09 f8633a cfdd20 1fd1b5 016ecb 7892b9 545b78 b0656b
8c7c0d acf73a 41cd64 496055 798d9f 016ed8 d8cddd f886fa
c2f115 6d9300 25d369 016f34 aa03fe f47bc5 e10489 efc4cd
f07062 dcca39 3ff8bd 49a2a3 016f79 cccee9 a45fea c71e41
85461d 76b021 50f98f 5babf8 016ff1 ccdeff b2a2b3 e40c79
37fd0b 69ad9f cddeef 016ff6 e988ee ac0b98 6e555d f21e31
ce940d d4ea07 01701c 2faba5 57e8ee b04dd9 a81c83 ea2263
d17874 a24520 acb004 d4ec1f 7ad3d4 017077 02a3ba 7f17de
bcb424 728303 03d8b4 549d9b 01707e cec6f7 ee2cee a02148
658809 82ed47 017142 41b7d2 a91ac8 6a5069 d77384 fed0d4
53b123 b5e5a1 0171f4 aa9ef0 7d4a90 e2b1c8 e5598a b81547
c9ad5b 566310 cbe6c4 4fdded 719aaf 0171fe 973395 e34576
be5d04 f2c432 605b40 aaac82 42faf2 26b0b8 01727d b415f1
cae81a 3dac31 01730f 51deda a58bfb 804da8 b56683 f69498
a98b88 e8841e 017328 67f698 0c8ffd 6029f2 d5c0e5 a04698
b18c7d aa5c0f 3bc81e 017375 bcddfb a098e9 8f2ef3 f1b7ba
c2eba6 5ed52d 0173db 5f597d ad9eeb e8ccea de6c84 b4142e
c1f20f 2eba29 01740e 72f2c3 6e06fe cf4ee6 f59ff1 c20e77
c87671 c0d7a2 60c716 017410 8b5ff8 ac9aae fdcae9 8b576b
f4cec2 919f7a 2eea3d 017424 5e94d3 c4caff 7d45d9 896476
9ba63c 54660d b5e240 49f8d3 01745f 7cacec c406a5 c38398
bf2d22 f86154 f9c5b3 6bed1f 01747a 1c99f6 bfb9d0 7435c7
e4e27a 26af1f 01750c a5e0f1 363ffc 7972b4 aa3065 f287a0
f13607 e7bdb1 bfe35a 2ddbf1 8a9198 0175f8 5a6079 a71040
cae43b 89ac2b 017606 40e3b5 b51fbf f1b5ee b781a6 744f5c
a22f05 f77a01 fdda14 5fa596 01765d 71e6d2 b1a8e5 9a3abb
c08b75 e3ddae 8bd22d 01771d 05f1ed 0299ff 8000df a83280
efc927 49a85e 01783d a5ecd7 8346e5 fa68fe a69aa3 7d4468
ca9570 73f63d 017869 739ba8 dddce6 843a93 dc07ff d91223
a23a36 edb6b0 b08b4e 04fd47 017973 c1cdea 9b95b2 8410cc
d41306 b4746d fe8235 f5d1a0 77d5fe 7097b2 0179fd 71468d
a4df97 16af14 017a02 847cd7 723cc3 efaaf7 aa3a71 db6f90
e6591a abe624 1fe9a7 017b71 b684fa eacbff ab0ced a31729
d7ccaf 90b91d adf608 017d3e 32def6 773aa6 c864ed dd518d
f09d83 e15812 c0e732 9aefee 017ea4 20c1f3 7d13e2 8c555f
d8431f d4a693 1fdd10 017f7e bebff9 8f83d0 8c09f5 903945
9d3e17 d66a07 666663 dedf08 29eccd 0181a9 b1b5fc 7703ea
de750d 27fd42 d7dedc 01847c 68b3c0 800fee a65fce bb033b
914645 d22601 ef8166 74f70d 0184d9 7e868f a9b6c7 4d5c7f
7d5300 83a509 64f5a9 49b985 01865d 8317fc ecbaed ea31ad
e7aaa2 53fb46 01880e 666967 44a7d8 dddaea 930a9f fb259c
6dcc33 01882e 16fcbd 9277fd d8c9eb 870af3 9c929c 7e5b73
91540c dcb216 60f8c8 0188bd c4ceef 69576b a5a2a3 eb5a5d
c90b06 d4e4a0 50c81c 01895d 7a1fd9 fd21f5 8c4582 deb1c2
bfd64c 779c3a 446d03 85eeba 018987 8b11bc f64be8 eca7d6
d12a17 b69472 fdb248 96e7b4 018ce2 5736f5 716685 944650
e70403 d7c3a7 0fd709 018d55 bed9ed 7929fa 942f75 fe37b2
84b209 bfea50 567f4d 2be1ff 0191e6 6440c2 b35389 fa89a7
94913d bec2a5 5df840 019297 9799fc a223df 63575a b40203
ba5535 e9c7b8 f58237 0193ed bcdefb 9ea1b2 7716ff 8b6589
c9bf2e 019432 89f4d0 bfc3e9 7e08f8 ee27cc a11557 a37e8d
df877d 37e602 c5e7bd 019505 5d26f9 8f6bdd c0aece a5176a
b63e2c d3a009 8c977a 99d5bc 019ba5 505598 e2bef7 6a5e66
963907 d57d0a f8c308 1ae091 019c74 8f8bbf dbccea 9919d0
c3d96d 296c08 019f52 17dffc 968ce8 8c3ef6 874e63 dba0a5
af300a b4940c d0e607 5ad5b7 019f93 186977 a59cfb 9455f0
6d524a 2eee36 01a016 1b5eee cbd3f1 b08be9 c8408d fd96a1
e7c6b6 6eda1b 358139 01a0e0 1a53fb d1d6f6 921797 db7280
a8ce47 61a155 5adfc0 136e62 01a2f9 6a01ff 7b5aa3 be0405
e9d1b2 757d6d 68f22b 01a411 d5def9 6d0efb 91398f e46aaf
fad52b 636141 01a419 48d68d aa9afb b13acd 9d136e ea61a4
e8938e c4df3e 41690d 01a514 a8c5f8 5c42f9 ac72fe 906e75
adb397 61f513 01a53a 456961 994aef 784288 dc70c7 fec4e0
b58f8b a03e1e 79b42c 15fb77 01a6c9 d9dcf2 7450ea 64507e
f17507 2bf78b 156b4f 879092 01a7e4 7128fa 745d92 cfbfc6
923e20 c0740c a7ac8c 767c6d 7dd840 01a7f8 0d6ec3 f0ced6
e83e1b 4cf97f 01a983 696b79 d8c5e8 da81ff 852baa a43a42
c76b27 16eb35 bed9c2 126b55 01a987 9909df f2d1ff be82d4
fad407 436617 b1dd99 01aa07 1ecefa 8869ff c022a0 a99096
865743 05f644 01ab39 b686ff 730ef0 f3c8ef cf0a9a f47ea8
b83212 db892f cbe43f 7afab5 01ac87 8475e1 67557f d3a4d7
677d2c 7bd63d 21f4fe 01adf4 0f54f0 9b1a65 c85897 cca1a8
f6cb8b 01ae24 8ddad5 4b36fe 7e68ce c89ff8 ec6594 ac3740
c44d01 f4b222 01ae6a 44f8c1 2b6d68 d5ddfa 9215f0 b68cc6
af7d2a ecdba8 95cf25 01ae84 18eff9 886eb3 7224ec b01a4f
caec80 86be27 4f8310 01af80 1be7c6 dca6fb b53fc1 a2124e
af1610 e6d25e 8fb2a3 59fbe9 01afcc 4438f9 6e5ba4 f90a58
e8170a b68b71 c5c80a 10f8a1 01b0f6 c6e1f9 5862cd 785268
51e835 c3d6c9 01b139 7140d1 b49fb9 db68f3 826077 ab042e
5b5e45 8fc436 278d11 02f4d5 01b2d5 7449f5 a2357a ba7e88
f8dd1b 556004 62f1bc 01b4ea 6e2cf2 993a8e d26ca1 f2154c
d90d0c e9ae32 c3d7c4 01b6c3 8deaff 2359ba 877cfe b1696a
6c8e02 a1d363 01bc9a 0bfdd7 6760e6 cca7fb 8f6d96 9a4352
eac9c9 b42524 998680 8bcc5f 01bcdb 37809d 8039fc 764c5d
5c7b1d bccf9a 07fb13 01bd33 4e41e7 af6ba1 e5aed0 b61067
7a5638 c3c9b0 9ff83e 01be4c 1fecfa 921af9 c469fe e42481
01bf15 61fe8b b3cac4 aa5eff 783ca7 d2a2f3 dd559b a82849
95542b 819e09 b0d45c 01c095 42fdd4 3f7f72 6830e5 c87ee8
aa9100 c6c898 90ec23 01c0c0 395ed6 988cfa 8e316e cc345c
76614d a7e120 5da721 01c1e2 415e78 8b8793 c801d0 f5a4a5
826524 72ff69 01c23e 3552f4 9584d2 d1bde4 d91c81 f9a2aa
da0c04 7b6c5b 82fc7a 01c251 838f9b f908eb 9d1493 e4b6df
9a8b88 cf2802 77ff09 01c454 1c6851 9817ca eb52e4 f0aae7
ba1c13 b6786f eddf09 9ecf83 01c4fd 5e7d96 923dda 883e5b
e5d8b6 6a613f a0e41e 5d9e02 01c5ce a168db 8e2c80 ff388b
aa2b10 b0db9d 01c629 21807b 69f1f7 9625e0 e266f3 b5a8ad
957f00 a1e862 3f6443 01ca96 8385fc 8a00ef ae389a f4a6dd
fdb9a2 a55c15 01cb28 5b605c cee2ed 5e849a 0e61eb c6a7f3
695e4b b6bf00 179418 01cca9 c0d1fe 8c02fe 9b028b f04ccd
c5100d 01ce69 535e59 ace9d8 1d6c90 cc1cfd ec97f1 9c878c
7f7d12 ccec46 3e653d 01ce82 4f67f5 eb9bfc a31e77 ce669d
d0e2cc 01cf47 068c89 6d30f4 6f468e ac6ada e8a4fa b33d57
fbd1d1 a4e11e 4eae3c 3f7665 01cffa bd47d2 f871b0 b91217
c82210 635755 db7a5f 9df64f 01d0ac 25859f d3c7f3 812ff6
f1d7b8 97e53b 419a27 01d1fc 0d54e1 927ef8 c6237e fd7db0
e11f1e f1d6d1 7c9687 01d25d cacff9 b113f9 ee5acb aa0c7a
ac8a09 d8c118 aeedb4 7fb089 01d3f2 1d93c2 5d4dad be2b4f
f5caad a6b03c 9ff733 41832d 01d4f7 5683fc 1147fc 9c6799
7f5412 8e8164 d1e1ba 01d750 096769 8900ff eba3ea e525b8
d9d40c 558122 01d796 bce4f2 9ba0f8 ac3de7 a32482 db5aa8
a7210f d77844 e3c535 aee3b4 5d776d 01d8e8 3d98ba 8043ab
d2340e c6897a f2c3af 01d91d 1f91a3 b9bdf0 6724f0 835152
7c4c43 f22800 d2ac89 c4e715 01d9f3 c417f7 b8237d f167ab
e4511b efd8c2 b0dd19 7cad88 01daea 1d8190 bf22ef a32158
fbc204 01dbb1 89a4bb bcdcf9 6431e1 a364dc 973f7b d3222c
d5a88c bb732d bfe221 01dddd 5e62af ae8ef7 7f6d79 a4303f
794e33 788e21 95e250 01ddff 3497e2 6f30f1 d4188e f58699
ab3b0d 867062 01de32 4d5d72 5955f9 d8d5ff f05fb4 f1c5c6
6d655e bb9705 f7da28 babfa7 01dfed 7d90c7 4a62eb a30b8d
e8c6bb c2e939 08b737 01dff4 788088 7f26ba a76ecb c40853
b71c0e d5753e e2d009 5e726c 01e0ab 1f5bbc d2defa 9984b9
f14927 9aa69a 01e26e 42849b ccdde8 9b3fed d79aff 885159
88482a 838e17 01e341 19a580 5b646c f57de8 d127b6 f7c7df
a53617 fac74e a09131 6b7066 01e3bb 4393b0 b2b9fd 7f33ab
fd5c0c f1df1c 01e9c3 27a695 a2b7e6 5641d3 937adb ba3359
a7b808 ace79a 479789 01e9df 4e6279 790ae6 ef27cd ce003a
dd5a1b 01ea69 15ac80 766684 b49bc8 e0dce3 bc46de a22532
e84c03 01ec12 7d93e2 c1ccf9 5845d3 746192 9b5a65 f392a2
766b3a a4f44f 5eab10 01eede 752ef7 bb99ed 922e80 fd6697
824929 469c57 01ef87 506278 901ce1 a28aaa f046fd ffc1df
eb800e 885204 fcd56d 689a6e 01f0d1 666877 9945e6 d483fb
e5901e adf292 01f0fd 0d9de5 0e62be 8f768f cdb0b8 d91d2c
c1e5b5 01f11f 6faa97 e194eb cd09c6 7e5069 a60634 f81d39
6b7d22 aad11c 2e6750 01f1ba 0fabd3 f0d2ff 9722a3 ee3f97
d8a393 908e07 acef5f 1d6b3d 01f3d9 88accb 297ee2 8c4b76
6b5c59 c7ba0d 1c9f46 97a89f 01f4a6 c7dfea 5842d5 d876c9
dec6b6 9cd449 01f4fe 980fdd d37af6 992e77 8c8182 e2202c
7d6530 73a001 93d74b 01f5fd 048288 b094de 7a25f2 f19bb2
