# colors_mcd16.0_mld2_nc10_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
85790b b6ec41 7ab508 0ec584 01815f 67fae8 0046fc cab0ff a11196 ff1eb5
dad652 a1a624 006e07 c5e6d3 84c1e6 4c54e9 ae7eff 96308d e58c9e c74e52
489903 006e0e 00fa6d 0db4f0 b1d3e4 2d69e5 8c6b9a b5156a c96775 f7949f
a44614 cc8704 d1dd6c a0bf9e 006e58 788d8c 9dedee 0aa4c9 9423fa 87468f
d59851 84642c bbe932 919b8a 006e63 2ad5c9 c180f3 b81ef8 95019e d1369d
c7ca1a 3ea629 006f0c 3fd6a4 c4d0e7 93959d 7d01ff 9f48c3 c585dd da076a
bd2b0e e79780 fd4c13 72574e ead966 a6c6d6 006fff 6da2f3 5962a1 a8828b
fe7b09 7b690b b1f02d 55f3ac 48ac89 007067 a840ef 8e2591 d674cd ceafc4
746b66 d4d926 00721a 11a036 51e39f cce3e8 8761fe ad0aa2 f296e7 fa4a9f
ee211f efc41f 6ebb6a 6d866c a3ebaa 00727e 43d6f5 a596ae b119d1 a51335
f98265 eada2d 7b8910 007343 5ddfb9 8396db d3c6f6 a70efd b41783 ad7584
e0c3b5 7d663f 9af423 86957f 01b424 007376 1ad9fb 6d12f3 cf3ae3 b48fb0
c4b07b 787301 82f43c 7aa29f 00738a c9cceb 8503e8 f648f7 a10b5b b75e67
e9c2bf 9fc759 51a113 007514 53f7fd 0bc2e1 8d5efe 7e34a3 b0447c da7ca8
638e12 c4dda2 61d727 007546 289b9b a295f6 a150cf dfb3de 9b1575 f82186
933627 e0e505 678f4d 12e078 007563 379ef5 bfc5da 6e26fa 9a42aa f660a1
e6c198 a2c317 007611 24a855 59f1f0 ad7ffb a91ef7 d724a2 e586a8 6f535b
7ba912 a1f814 14e579 007642 2246ff 8262b9 e0cbee cb89c5 b90677 e75482
6d851b b1e9b7 06de49 007662 0da38e ababfd 6b0cfa cdbdd1 c04add 9f0c95
5a644e 70c82b adf482 2e8410 11edc4 0076f8 bcb5fc a485bb 853493 d1537d
83a04d a6e562 5f6b59 007705 38c8a1 47ffd3 5941db a275e0 dcb7e3 ce358f
894723 e1c290 9ba10f bcdf13 95f0dc 007763 04a9a3 a2b2ec 9963dd f90281
de4f2e aba897 c5e09d 73d121 4a6961 01c4fd 0077d5 c381b0 f6d0e0 a80f18
f5d7b8 8d7f53 546001 54c864 007894 8e8fd6 c1c0fd 7b2ed7 b1106a d28ea7
f95613 ccdd16 6df7a7 77bc9e 007b67 0f88ff 7f1cf1 c13cae f798e7 a6171d
e40e03 b69d80 eb8e12 aeec62 007c8a 7ac2ff 9519d3 d547fe a11e4f f0c0cc
acee12 60c960 007f10 87f4ed 6152c5 997cf6 c0aaec a1689b a60355 d2506b
b29813 c2d0a2 71fc31 007f2c 37a4aa 1e4aed 9b9dfc 8d3f86 f2bfe0 c75d7b
7e4c01 afec2b 72854b 3cc034 09f0c0 008076 753bfd a77bf9 774c9c dd96cb
d5d69b a6f41a 77ae1f 00812d 69c7c4 693ae8 9769fe 9f0380 90738a de878f
b9e044 79ba68 008142 41fad7 9b77fa 880eea e3a5ec b1489f 784b62 958088
787e08 c1e6c7 28f958 41ba65 008373 bdadf9 8037f1 b169be 9c0f90 c6a5b7
90413b be7324 dcd373 87a884 008374 c2e2df 6bccfa 8337fe ae70ef 834ea0
fa3d24 7b645a 9d9b90 acdc6c 74f2f1 00838d 41bae8 791bdb b64ff2 b50d18
d4aaa9 9b7c7a ba5536 98c109 63fa88 0083fe 7d90b7 374cdd 655c8a d3c6fe
b71b15 f7b707 7da656 ade8ac 008457 45c6b7 52fafb 6e677a bb05f2 f64cfb
298605 5ff565 4cb16c 0084ea a7a9fe 8e89ac dcd4f8 7f07e3 b31c6e f3b0b9
ab3e00 facfb2 ca7603 b6c846 5fb09e 0088a1 81dcf6 aa7afe a51eea eb1f66
ff775f ecd59a afbab0 26dbe9 75969c 336e94 0088f7 7b0ee8 b4465c dc0a12
c91607 f9d814 84aa25 5ac59f 00895a d7cdfd 6f0cfa aa60eb d286c4 9d3a7b
f0b44f 4e5f44 008a25 a2dfbb 41b8b2 27fcfc 9683e2 a104da a62181 89777a
d7bdbd 715624 8a8811 85ef5b 008aa0 4cb1f5 dcdafd 882cce bc2374 c8737a
bf2b18 96a310 aed779 008b62 86e7f1 9da6ff 7126e5 a65efb 964280 d787b3
fa3131 8ff224 21cc84 008c79 9683ff 7637f8 f7ccff 9947a1 b78eb5 ae1530
a17d07 ecc929 5b5e48 40c5ac a0ebf0 008caf cba8fa 9415e7 d00f83 f66f72
f3d4ab 806902 a29f16 32ee19 008d5f b7b9d3 8f83ff 6439fb 67518c ff629e
da842e edd265 a1a690 1d6a29 04fde1 008dde 8bbcf8 7d14ef b91991 906f77
c6f032 8fbf21 586542 008e02 1ae2c1 b298ec 8929fe a25dc7 b63a7c e37e83
bfe538 7ca74b 3c692b 35e99d 008e7d 8948fc bd83fe 97319f f8ceee f67eb7
cdeb06 80b020 4a7e14 06ea83 008e9e acc1f4 8f1abe f427fa e90388 c6aab5
99b511 71fc25 52694f 008f06 8399c5 c9d2ee 9762f1 7e6582 980d9e e1959e
953330 e0c606 a59d1d 7bf7c9 8fb3aa 008f71 d6d1f9 74547b b017d1 e076eb
a03d00 d08b05 cdbe8f 7e915d 60f71b 376452 008f8e 64b7cc c7dee4 b618e5
968b8a 6a6550 a7f62e 35901c 48d76c 008fff a6afe8 6d34e1 c54fb3 d9d1d5
566218 86b367 d0e3cc 39fc70 009080 a77efb 7921f6 dbb1ee 9c49a3 fe76af
dbcfc5 8a9b09 93d60d 576e42 009081 40c6f4 7104f4 c73eee 94348b f973b8
e1700c a2d90d 547749 81f8a4 1ac5a4 009086 9d7dca 6d04fd 8b43af dbacdf
96791e a6c31e 70ab7b 95f0aa 4c6762 0093f3 920ff7 be96bc c222a0 a7022f
cb9c71 f1d268 5d6b57 009521 71e6c2 15a9f6 0156e7 bac5e4 9c0c76 e33e9c
a55710 f9942b 788f73 25ffa9 74bbae 00959f 4c60ac ae8bf5 e7c0f3 6c5859
bfd9a3 4cc404 4efd02 486c40 009717 7102fc c87dfb bd1daa fa91c7 f34783
cb9d8a f6d6ad 8b6705 70c92e 24f4f6 00979c 1745fe a299eb 6c56aa cc4669
e8c1bd ac2a07 b79963 726f60 49f91b 00999c d9d6f2 ba9af3 9053f6 804083
fbbeba e5836c 366917 79fd5b 009a0d 465ef1 8e88fc ccbddd a4129b 926988
a02e07 d66d1d d9de15 94f6b4 abc1be 009a85 724dd8 6e5781 c77ad0 fcabfb
e8c292 bfe519 8eb507 5b695f 009b42 1bc4bc 15faf8 7a33c1 c657f3 ff5a94
7f7b1e 535f47 5cd846 bed3bc 009b73 9114f4 f1c1f1 f23ae5 a40a94 c48db1
a72d00 d9cf45 95902a 507159 1ed19a 009b8d d1d7e2 684e85 a632ec f15cdd
7c7171 f7ab9b 8acb0e 48632c 009c31 75efdb b69af4 9155fd b5279d f06ba3
bd7d1a c7d4bc 53ff45 2d6b37 009c7f 727ca8 ad9cf9 a302cb 6f5a6b d2a3c2
c2f03c 1f6d20 009e21 62ecb7 88b8b2 6a53cb fbc1f5 f267e1 aa017e 8d6e73
ef6d01 ead607 6fc574 009e83 18feec 676883 af48fd 9201ad d386bf d21746
9c2c0f a37640 8ac305 abf806 3fec8b 276d5f 009ed7 8b23e7 e0cedf ff4695
c88c83 bf5738 c5da28 b5e2c3 13dfea 00a0b5 4c42dc 8872fe 725990 844c5a
8d4644 f2cac7 cf6522 8afb6d 729a71 00a0fd c7c9fd 7008f7 9247ba d193b0
f30d01 7d5042 cbed1e 8ac250 00a170 28d3a8 9421e1 daaded e347dc b3347a
51a205 2d760c 31e350 beeac7 00a2e8 026ed5 f8bfff 9a2088 b8a3b4 db2867
b89b7e ecd6af 656300 8eec18 00a313 09b9f7 aeb7bf 1e4ee8 a4619a b5245b
bd0b00 80524c d6e112 6cd078 00a34f 9d80ff 8348dc a681b0 9f0a76 faa7d4
935b24 94a60f c2e8bc 25f72e 87b9b4 00a3cb 5a4cc3 f2c3fe b0146e e83f7c
c79075 6e8512 7bd114 11f3d9 00a4a6 0457fd cfb2ff b278f0 8e2aa2 ba4463
c8361a ff8649 978174 fddb39 aac29c 00a4cb 5edfff 597382 8144b7 8c3d53
eaa76a b8f42d 00a592 3bf4e3 63769e a6a8d4 8520ba eb2dfd 993766 c70e3f
a43e0b f47f01 a6b884 77f846 267a5a 00a59b 64527c dcaef6 9d3bd1 cd69df
e68e74 f4ce66 868202 586452 4cd8ba 00a5ba 5a64e2 d8bdfe 9a107d ec2b87
964130 c46e00 e1d3ae 8da172 6ada14 00a6a0 30faf5 3d64dd c884fb 615766
eec594 b1a126 c9ec05 39682f 00a89a b1deea 97a2ed 6a62f3 7a5381 e3215c
c9402a bd967b fa7f19 eed970 bec2c0 00a8d4 94d3f4 5d738a 4a44f8 893f4d
c6de5d 327106 00a919 989d9c 44fde2 88c3da 7e6a86 9e1fc1 d757db 9a2755
c42910 78e461 00aa5b cfcbfa 7b07f6 f619f4 94188b d594b5 ad6589 ecced0
dbacac db3506 6b635d aad065 00ab62 41f7f2 838c94 375db9 f25af9 981b74
c04f17 face97 a2b310 cfee07 5f6251 00ad7f 4dd2ee 426f8f a887fa 8d4ae8
d82e08 bcba48 42e7aa 00ae82 d5dcff ac9df7 8006ff 90809a 9743b1 9f1569
b5a40c f1e115 b3cd91 3d8736 6ee9dd 00ae9e d605fe 9800ad 715a73 f77bf5
e4c879 575c47 367a09 00b103 acc3cc 7d8692 7637d6 caa6ff bf60cf e2086d
a42c12 e7dfa3 a0e10d 00b190 55f3e9 2e7a83 e986f8 db01d3 834153 fb2b4e
b3a77c 97c911 15fe96 6f989a 00b1de 566a77 5c29fc 8c5ff2 fccef1 db1623
be2a24 e16f5e e8d3a9 68e721 106b62 00b1fa d6deec 7168e4 b2a2b8 9e6d9d
6ef516 4a782d 00b21f a28bf8 7d11db deaddf 992989 b965a1 745d66 fb959b
a23320 f1920a fedb0c 4de88a 00b2a6 c9cefa 9b9cea 685f93 b713fd f9446d
c1392f a88675 d37b0a 08ee53 00b2ae bce2e9 1e4fff 7a71ba c7a4fc 7d5976
ffa09d ba3427 b6944c adde36 318d7d 0ef2d4 00b2fe 8ab0c1 5c5574 b521e0
ffac9a 51610b 6cfe0c 00b349 217c63 b7becb d099f6 b74fe5 a2157d f04092
f6b99b 7edf03 347e2c 00b34a 1bf7f5 9294ec 572bff b6abb7 a1299c a3759d
ab8e84 ab5e1a d6c205 c1eaaa 33f2fe 00b4f1 a0b1bb 574ae5 7a627e a21842
c7b8b3 cce9a5 72e52a 10850c 778878 00b64b a9b0de 8f1ca5 d94bf2 705a73
929d02 b5c68d 75e805 047a1c 00b6ff 8661e5 f8ccf2 9d1d7e d278b7 e5456d
caa460 9e7a06 03fb1c c3e4dd 00b9ad 6a56f9 b8aafc 8271af de5b7f ad3748
c6a19c dcd7a1 a8e412 76ab34 03743c 4ff9ff 00b9ca a861ea 8e03be b40f76
ea5206 f1bf08 6debba 00ba83 6c8c8d bbc0d3 6a1bf9 bf8ee9 9457b8 a84759
f14f44 f2be40 b7e3ba 8aa991 057175 66f7ff 00baf6 8049bf be82b0 a61b46
76736b a4cd8b 30731c 44f322 25a82f 00bafd dfd1eb ac8cb3 ca15c3 853f6f
f99b98 3e760c 74e433 00bcfc 959eb4 5c67e5 dad6ed 766386 a21053 f91547
c8b02f d2e78f 2ba169 286d68 a1e1f5 00bdfb 9ba2a6 8f2ef0 a761b5 bc082d
9a4831 789e0c 1cff32 00be8d c4e6e1 7462e6 5e508d d0b7f7 a86d96 705661
874530 7d7673 f2a34d be7a0b 92f6a7 cad5d7 00c1ec 018fb6 a0a5ad 5f50be
ed3f0d a5de09 23fbcf 00c5ac 335f95 6e7bed cea4f6 845a67 b60633 e37377
fe2415 d09871 e6d6c5 8fee5f 3c7059 00c5d0 7e72f4 c332a0 fc58a4 ad021b
67ac0f d0e6b8 85f52b 377530 00c5fc 2e87df 7205fb d51b93 d1b8c6 f67c88
af5929 ccee3a 799575 00c851 61f6b8 2f7772 b2aad7 751efc 9b68b9 a50243
73520b 7f8440 00cd3c 77f7c7 cb7bf6 aa0bf7 eabef5 f60d9e a0385f e98193
91847f d0701b a8d538 00cd84 97efed 8292ea 972bff 8e4b83 cb96b6 bd2839
f93f00 f3d416 7d7857 a7c98e a7edea 00cef7 5e90bc 0765fb ae086b b5a0a9
d97446 b4b1af cfe6ba 79f64f 00cefc 5c8293 8b09ee b752ee 863695 bc2b4b
dec4a2 ad7216 e09d0b c0f228 00cefd 9aa8af 825efd 93258a bc074c f4587e
fbc9c2 89460e 728c41 9bfb40 00cf71 187156 a9badc 8e12fa e744fe cc169f
afab37 bee619 48976b 00cf95 a0efe4 8313df fc91f1 f218cb a33378 e10724
ac6f3c 83470d e8e304 a6b417 bfd5c2 6ba1a1 00cfed 3451f2 796caa b80a6a
b5f18d 00d038 0a63d3 4f8fe8 e0bffd 8c5a7a be859a faadc0 e33d57 ad0c1c
cc1202 fbda60 c5ab07 929e8a a3d9b0 4d715e 00d0f8 623cf9 a96fbf 9b0599
d59570 834f0e ddd7cc 998000 81ea09 5d6b5a 00d3f1 5695cd a60cff e03e92
fece20 868c7d 34860a a8eed1 00d482 782cfd d3c3e7 6c5576 ef34cb 923443
a85014 fccba9 8a7767 a6b94e a0fa35 00d4ea 446178 a974f5 8c0fe0 fb60a9
efc2a2 a26912 88c72a aeebe7 00d8fe 791def 960f8f df39c7 b296a9 c01a59
d7c999 a5f43e 999d95 52aa23 137216 00dbd2 684bec 936aa6 d87bf9 c7056c
a82006 c3ceb8 507452 00e038 04a038 2668fa 97a6e8 fbccfe 9d259f f25d95
bb0c09 94ab60 adf611 428054 00e0b0 5ca8a5 5333ff 9359c4 f57cf5 f3bfea
9a5337 d79f04 e9e423 a5e2a3 4cb28e 00e0e1 0f7071 988ab9 7206f8 ac4be8
986a60 af3610 59a810 00e268 396982 d2dbf5 9daeff 897ae4 7b2ec2 dfa5b8
837911 ddddb8 a3ed1f 51be4e 2f683d 00e4fa aa88fa 7f49cb 943773 e256a7
973c0c 5b9758 00e52a 06a3fd b7c5f4 9910f8 b27cac 745a6a ddd5d8 fa8898
fb4c4b cfe31b 78aa92 00e5cd 5f77cb 8b859d 6b2be8 d1a8fc 933b78 be0137
fdcec6 e06e00 b39b81 00e754 3b93a6 386074 d0d3f0 8133bc f481f8 c82442
cb5808 9b8d7e dde909 9dc350 00e7e6 84adf6 8d1cdf ba68a8 a70d4f fb98b9
ba1a0a 9d8263 e4ddbc a2ca04 595d54 68b1a1 00e7f0 65818d 872dc8 ec56da
826a64 bab316 187206 2fb46f 00eaa0 9d9cf6 9359f9 eed2fc 981584 fa31a1
a14b10 98ab33 b0ec9f 03865e 00ebf2 4e5d64 a1a3f8 7124fc f915aa d4a3ab
7d6b04 999f28 00ec56 1fa5a5 a8a8f5 7a2de6 ad5fe7 8d337e d4cbd1 c34a74
7a4c3f 7b7f0f 87b314 a6f082 00eccf 26a3a2 504de1 f47df1 aa2287 e23f73
c74e05 ee8b23 c3f003 6f8860 00ed92 3bb1a1 6e4af7 6a5d7b d0acf6 af70cd
e62d15 d8e929 00ed99 2ab49f bfdadf 5c6487 ec8cfd e318d8 ab031c a05962
bca9a3 84502d fbd5ac ca7e0a 00ef18 5b736b 3283fa 95a7e5 d2d0e8 ce13a7
f74431 a7977d a4d509 00efba 0a88e2 81b1dd e3d9f6 7b09ff a84c90 a21342
c04439 c59a84 eb7b01 d8dec9 00f06b 658f99 b6a3dc 724f9b db33fc 8e4f65
d4c7b2 628117 73b30f abf43f 1a9290 00f0fe 5548e9 e278f9 ff108d 903a4e
cc0100 57b209 00f138 2f7552 b82af1 d090d7 9d077c ffc8f1 e82a97 ff8ea2
c79a84 874609 e3e0a5 868a15 75d212 4c6752 00f1ee 8432f5 e759ce c00e8f
f1d2d1 9d381f b27e41 b2be81 00f217 84a194 5c7679 40aced c6d5f9 a216cb
b0960f 736819 c1e4c5 00f25a 65b18b 587e73 0358f7 947ecd d1b9e3 971b9e
aba097 e0d1b8 00f323 2eb848 bfe1f9 0b6cfb 9ea7ee 8a2996 956d87 aa1a46
a26927 d0ec0b 97b20e 00f39a 3d7c69 6f9fdc 6e47dd 9e1483 dfb4cd ed519b
a45914 a0b20d cceb06 54675d 51b588 00f4a7 7a09ec 867292 dd3be5 fca0f2
f2a590 6e6561 6cb418 447c26 00f508 cfd8db 7007f8 a74cf7 b29ebe ac4694
e7d1b3 9bab52 00f508 6c9692 c7e2ea 9c5cfa 903188 e489d5 686366 be2430
a7af8c 2ebb27 00f524 258538 c3e2da 850bfd 9a789a f224e4 e49dd7 9a1e6b
f94817 a19e98 00f561 42635b 94a9db 2f6afd a72fa9 a17198 f6cad3 bc101c
a95e5b a79c4a eae220 256b00 93d693 00f5e6 4aaff1 3f5bfa 80839d 705288
d41908 827a5f dadab7 86a949 00f62b b1c4fa 7882dc 821bdc 964887 f37ea6
dc1d0f b0c593 4ece17 456f59 809b98 00f6de 800ae3 a957e2 fb82f4 ad2c90
ab531d c2cc25 00f7a0 417261 26b793 becde9 8a809b 6b01fe 8933a6 d465e9
70544c a7b196 097f05 1cb92e 00f81e c0e5d3 850ffd be6ad5 eaaded b83884
4c741b 50a305 00f871 b0c5f6 8f00e1 ec24fe bf83b6 9d1284 ddd5da e52b74
f98502 c1ed70 0a7301 4fa17c 00f8c4 ab46f1 c8a3cd af188f 704f5b f00139
b26536 e0b545 839e82 bcd8c2 00f8fc 6eb8e1 0d8bf5 1a57d3 88647d b20c51
aa6e00 f2dc25 9eb241 00f9ac 04a3a9 b0c3fc 325aeb 918bf8 9c1693 c2174f
886a20 87b21f c3e5a2 00fb18 575c58 409d78 265ec4 8379a3 f56cfc c4b4b5
a43208 f6790b b5ccac 00fb51 41895e 858295 5d5861 a414f7 d686ee fac6f4
aa0a00 cd5e4c e2bb98 8f9a90 00fc22 a3c2d0 2798e5 754dff 87728a a6159f
b78607 8edc38 5a7c4c 00fcd5 17a3f7 2264d8 88739d c0a1bf 9e1364 fc6c89
a91714 b78640 f5ab21 d2db96 70b6a7 358c7a 00fcef 8301fd a22ba3 f044d2
c32513 d07e01 b3e787 399976 00fcfe 0fbff1 6b49d6 826e8d dab1bd 923347
ffc1c0 a77301 77df5a 00fcff 2bb1bb 5c6c85 b655f4 871ac0 f35770 ad2b3d
c7520a 33b762 00fd6f 9c0cf7 c154cb a10694 f4b1eb aa9fa8 745e63 a70723
a9806a a3ae33 1e7e17 00fd85 1bb0a9 a290fb 904ae7 eeb1e7 9d0b85 6b5c61
a41d14 7eda19 81977e 556953 20a41e 00fdc4 865cfc ebb0fc b13796 eb61bc
da140f ac9180 92cf4e 00fdcd 7a94b4 656a7c d8ccf3 a964fe 9317c3 9c2637
fcc4b8 a75820 a4e20c 19bf58 177b64 00fdf7 78819c afa1eb 684c8d db00f9
6d8709 99b957 c7e3c5 00fe15 146d30 5a89be 8819fa e5acd5 a71c70 bf7073
be7823 785314 d9b60f 00fe9a 41836b 9eb5ba 4fade8 7b28f5 efd3fa d21c9e
976e08 f0d05c aea609 00fed7 a6cdef 5854d2 9891fa e30178 fb7f9d 962f40
afa303 a5ce80 16800b 00ff0e 779879 5181ff 771afe ec8dcc ce3190 88424f
99908f d52803 6d6560 90e05a 5eb155 00ffca 5144f1 f2c2fd b72d97 f865c8
e2cba1 8c730d b99d22 a3f738 4f6642 8f9292 4ddfe7 4883ea 0145fe a2317f
fed67c 84a408 4e7345 48f1d3 0146fe afbbf7 7a7de2 9c179a ca8fad fe0875
954106 846d59 899a18 83d467 15fcc2 0147fa ccccf1 6a5d9e d48bfa e46f90
9a4f08 a3b2a5 05b631 27f16b 73818d 0147ff 8c55ac de73e6 eac8ec cf1f65
d9845f a45627 c2d875 52fcd9 529dfb 014cf4 adc3f6 5e63ac 8c7583 b3a0a9
cbe70f 96af2c 01f796 66be9d 0154d7 766d8c b870fe e1b4e8 be575d b20a0e
f8c2b5 96521c bc8004 a09b78 4fea34 52879d 0155f9 ddd8ec fb5ffa c30f6a
39ae16 b4ddb8 03ee30 98a49c 067c2e 0155fe e67bfc f1c9f9 9709a9 db46af
c16a00 0dd62e 30906b abd5c6 0156cf 8778fc 7a6a8e f8a1f4 b48fad b2021b
b63003 e26b39 cbe356 7dbd9b 648579 4dfec7 0156fa 60548a e6affc a47dad
97482c d3ec09 77c542 3bf8b3 029b76 0158da 716996 9b97ac ca80f4 f2baeb
8b6133 b29a60 a1e534 34fec1 3fa89e 015aeb 6b70ab ae9af3 d6bedb a11459
f41d00 d3bc2c 77ddb2 2ca679 92a7b2 015bf8 c9ccf3 ad84e1 c6298e 725057
6e5b56 bd7b69 c5e06b 7bb61a 418303 0bd6a9 015bfb aa8eb6 9019a1 f6b5ec
d4ad69 d4e52f 2defed 96a6a6 497475 5c97dc 015bfd 9b13aa a30f46 df212c
ef6f6f d6b204 81fc82 98b9b0 0d9fe9 015cbc e4ccf1 a1739b b23759 e8090d
cb9054 875c09 b3b8a6 a2f45e 376453 689087 11f3e2 28abc9 015cd9 7a6294
ebab90 ae8436 beee3f 15f4d8 2eb8bf 0161fc 6b7497 908df8 864c5f a90c18
817d7c 946327 9efb02 92c35b 0ae3b4 01648b 900afd e9c5f4 f348e9 c78fb6
817773 a3f604 4b6134 339737 a2a6a4 0fe387 0165d8 e3b4f2 b773b1 9a218d
d98909 e1d5b9 735d19 afe331 73bdc0 86f3fa 0165fa d182f7 b03e90 e33858
a91b09 e3613f fdb93f aba89d c9e7b5 61eae8 537b7d 08aad4 0165fe a70aab
cf582e f08f65 e6db17 bcc8bf 62cef2 0165fe 607296 678fed b00344 9b9294
925903 b2991a 626049 b3ea94 4abd7d 708981 016776 ff80f7 d017bd e4c5ce
d34929 fa8007 f6dc24 c1dea4 1d9f6f 7ec9c7 4e6174 0167e8 858e9f ce93fd
6d5d2d 76924e 88c335 84fa96 016862 59acdc 3d69fe d2d1d3 af27aa cc7a97
a0a54d 727e0c 6def52 b1c7b2 13694e 4ba0d4 0168f3 fbc6ef a02082 aa7789
ab4440 e74707 aa906f ecd7b3 9fd349 65e1e2 016970 6f95a2 6f4bc7 ef61fb
a53b18 f0d9bd b1ab97 74a242 40e752 016a59 457ee2 cfcbf8 885e92 c582ad
f1c3aa 618a12 6cbd4e 016b41 29f7fc 30aefd 9708ee a32178 ff3dbc a27282
cbb302 c5eb8d 489627 016b5a 1cd6c1 cab4ff a877ed 911fd1 c44292 fd7478
914c03 b97a2f d1ca02 a9bc9d acf39c 016b5b 43e7e1 01a1ea 6c4cfe e60892
96d14a 27a721 657c76 1ee4b9 016b80 ddd8f6 c69cf5 d70bd3 c784ab ab3040
b0b203 c8eb57 016d01 399a59 a5dbf2 a37bf7 8645cf 89417a e277ac f4b5b7
c28377 abab1b dee007 657716 4ff395 016d63 99b6bb 1e97d1 7543d8 df268e
b5694e f5720a cca883 71550c d5dad3 2ff946 7eb2c1 016d91 9251fb 948389
8b8403 2cfd36 54bd67 bdcfc2 016e30 86978f f1d1fe c1a1cb d639e4 ad226d
978b76 4f9817 17d10f 017000 b0eeb0 9e2be6 f651d2 b8008b f1a7c8 8d4d60
febcb5 96351c 4a9c17 27e426 01705b bce4f2 bda8f1 8945ed 8f448f f45097
8b6b10 dedc0e 8fb104 61ae82 18e5be 017362 bab3ff 8911c9 e420fd b484af
b99f9e 7b5e2c dcd5bd 6a990f 0ad80b 1bfdfc 0173db 909af2 a0007e b45b84
cab022 c6ea85 839872 017424 7bd0b5 622ceb d4b8fe b25cfd e3159e 766367
eec848 017503 8fecb6 a5b7b5 60b6ee 3b66fc 997f9d aa08a5 714f52 e55d65
d1960e 887313 79a36d 62ed77 01756b aeb6fb dad2e6 9a82bb 9c07fb 931495
ed7655 f3bc9d dae901 017606 c5daed 87bcfd 8816b9 b34eba baa1b3 c31a69
bbdb05 669c1d 017827 48c37d 08f9ee acabf8 7b3ef1 744391 f16bb6 9c5370
f12405 f3b125 7dfbb2 5fa596 017865 a791d5 800afc d3c4d8 b51a9d a8002d
a96e60 a3391a e75c0d bbeb2f 76d1a1 017887 a497f0 740ffb 9958dd ecb5de
f1d8bd 89a10c 9fd64d 017901 02d2ed 6189ff 6147cc 991d6c b45f84 c1a1a9
57d51b b6f09c 017910 df4cfd f39cf7 af1db4 ad93a5 744d63 e1d1d8 eb5371
d9dc71 3dbb0e 017a00 37e5c9 acb6fd a742f2 7f398d c57aac a22b58 e44f71
c7dabd 40e03b 639e71 017a68 595b89 c426f5 f57efb fdc6fb b791b0 c8182d
fada23 549633 37693c 06d57b c2d5d3 017af7 dab6ff b689bf bc0696 c96f85
864a22 f39d63 c26514 918a76 ffda27 a7cbbe 1ef4fd 017b86 6399c8 b61cf3
