# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
0292ee 0048f9 656365 b75ba0 f19dd1 ccd197 67fe05 0dcc0a 128836 81998e
6e949a 56c5f9 436984 0088e0 7819e3 a56224 efbe4d 726d64 a1a065 a3cbbf
e0c1ef 615566 da70ff a233b2 f35bab a3ac82 c8ea90 74ce13 008909 707f6e
8765f2 b392f8 6a5672 d7c4d6 c171a3 9e2700 a09c1b 8ab988 1ff974 008b4c
828ea5 5d5b71 d4a0f0 d518db f98324 76612e 2df289 18bb91 008b6f c8dfd7
95d2c6 03c1f6 008dd3 4f40e0 c24290 864f5a c39951 ded54b 677324 909c8f
8edce6 8096a9 008df2 596893 781be8 956566 c08e85 c75a29 cac179 baf216
009187 c7cfd0 6dbae4 6150bb 9c72f5 895753 c03710 c8b716 7ba366 56fd89
00937e 80acb9 8819fa f7c8fb 734d77 c851d5 c52925 b3ab74 1de81a cad5c9
8ea7b4 0093d7 77778f 7c19fe e5c8f9 942498 a88824 b4df30 34795f 11dcad
d1d6e6 8d7ffa 713aee afa1cc 902c8f 906887 e2ac68 7b8f0d 90fc12 009462
009587 13e3d1 544adb 736ba5 e778f1 873c5d df6d01 776a40 b5b28b b2e220
00969c 1846f8 846bd6 b79efa eac2e0 a82a61 faab25 84742f 2dfda6 78b792
05bfb1 a3affb e7cfed d620cb 786571 8f3d31 b1b062 74f214 798f6f 009706
009987 196689 ccccfb 9f9dca c708df bf3907 6b6550 c4b82e 7efc96 08cd99
bacccc 1b66f8 9198ed b3078d eb4ca6 6c5b4a e8b544 8c8d72 009a03 62faaa
c3b6fc 9a19f3 eb3fb7 96286f e6b9c6 7d5a54 8f8986 aae935 009a37 01d176
009ac3 636366 894bfb 9b0786 e5c4d6 a9989e a4d22e 6da400 1b7f2a 67fca6
2c6b60 a2efe0 c4bbeb a378e8 705697 be7f9d f23613 e6d34e 009b5a 2ecf90
d3d6d9 009bf9 0b5fe7 5f6f9a a4a3b4 edb6fe be8a7f 71523c 848102 7fdf6e
c6d7eb 009bfd 5c62ba a394b6 645464 a03623 ab7a51 e2cf33 71fac5 74b499
c7d6ed 8a58cb ab8bb6 b31877 ffbe60 5f5942 719c14 009c71 55fec4 74c4af
56f5fd 009ca3 b297f6 a43bd8 883b5b ad1822 c48939 fbb42b 72866f 8ac5b1
2cf7f4 009ce4 245ddd 6d6892 d44165 b7a7a5 d7884a 814a1b f7c69e 99e20c
4052fb a17bff a25a9f f5a5e8 978a8c a60b49 c6f00d 83c745 009d45 03dcb4
009d8e 4d6378 c9c8e9 9797cf 985ae4 bf0508 916656 e1873f edd126 7fc9a3
99b5b3 009fc2 52d2fc 7e50cc 7f4e75 b8553e f4d6b4 bda241 c3e62f 76867d
80eef1 7d58ff d478cd 9f4899 a12b10 d9d0a8 9dd202 00a032 4f6e5c 8f9791
78cad8 80939f 00a0fe 1962fe 902f95 877068 b8a28b e79916 d1e1b7 057916
00a1e0 016ad8 ccd1e8 545780 7f7887 e54a59 845012 d1c249 86e1a6 a2a4a2
a3e1df 00a2d3 2e65ce 605e60 907b91 80492c bd5903 c9aa51 dfe298 82aa92
94f2e1 3967ed cbafe7 a13087 ca65a9 af0214 f1c34e 76755f 00a328 97bfa3
90e0ff 594ee4 8b8ee2 71699c 86475e f993b3 a70c11 c2622f a7df4b 00a37e
65ecf4 00a3ad 9ea9ff 7544c7 b02779 f6a70c ac7d1f cfc6ae 929b79 486346
4a6c87 9e2be0 d25df5 faaeee ae97a6 8c4700 7a7470 accc0b 00a40c 9ceaa6
aae4f9 6723f3 945ee6 d58dc8 7b516f c2d991 2bd500 00a40d 41724b 829687
00a492 cfc7e5 6a5e80 a205db fc2cd2 e00755 c59c47 f3d056 226c03 6edab3
5b6c9a d7dcfd 943efa eb74e9 615b5e beb4b5 8f4e21 7ae802 7f9974 00a505
ccdad7 61728e 9b9add c527ed cc93a7 a12859 fed59a 5a5e04 4dd72f 00a511
466760 bbdbee b0a2f0 8053e0 896899 c68aa9 925a11 d6c9a2 35dc26 00a55a
3cfbf2 5f6665 00a5ec 695af0 a280a0 984795 9f282a e38701 c8e332 80ba8e
8ff3e7 04cbd2 8060fe 9917a0 c67a9a a7071e adab7f b6e481 00a614 1b745d
bfe5da 0ac4f8 8473fa 8100ff c226a5 d487b5 d1c844 5b6216 00a74d 457163
57716c 32f3f8 3642f1 b3abb0 da7edf b34cb0 a3341e dbe0c4 81d64e 00a813
00a8f8 a0a6b5 4971d2 f7cff5 9b2058 cc5764 705d1b b99d1b a3ee32 13e9b1
00a9ed 1348f3 dacdfb 9c6293 9a3f10 e9c512 4ea113 75fa9f 5b7160 9dc3ae
ace4f6 7c20cb ae4dfc 984e90 d086bf edcc28 7d7c79 abbf98 00ab29 0e7924
95c6d8 454bd2 8177fe 8d6b9e b9096e fad037 92a12c c3d4a0 516d26 00ab86
00abf6 7360ff 6d5c87 cfbbd9 aa889f 8f615d aa0416 ec3e22 fcc55d 91c4a1
9a9da0 b434dc ed70eb f9cde8 7b5763 a8092d ef370b bfd0aa 72d846 00ac63
5537ed 7f67ba c08cfd 8f446b fa9bc8 bb1d01 9f8947 9ec105 54f9a2 00ac92
00ac9e a9c5da 5746cb 997cec 8a578e d85272 b29e0c ddd60b 52702a 06eb92
00aca2 67e6dd 765cac d27ff0 7e5569 aa1404 cdc198 8ca702 abf12f 528c4f
00acdb 879197 6b63c9 655e6d f1b3c2 ce6161 84433c ef1405 b6b86e 9be80e
af86fa 8755d2 ddaee5 804072 bd6da7 bbe018 546e49 00ae57 76fba8 8fb6a4
9ed9e6 95a3d4 9350df 972078 b20b1b f8cfbd dc5a09 c1e333 297b64 00ae8f
78f2e9 3b6288 97a0ef 8569db ac91a3 806a6f f99289 b53213 bcdb16 00b101
497786 a0b7c7 6e45b4 9975d9 b1195a bba331 837300 d8e55c 00b189 6aebc4
00b1ff 7156ff e8d4fe 8a6ea4 eca7bb b87782 a1b26a 5b931b 8ee63a 1c6a38
9be5f9 00b2e7 b627da 744d5c ea2d94 fd89a9 fadd0b 7f8855 4c6a10 8fb84f
a19c9f c52de8 d689da 893290 8c6c86 b12756 e1cfd0 5e7c00 97d916 00b35a
638585 2c6276 dad7fc 8151e3 f275bd 8a4d24 e8cbb9 919502 4eea09 00b372
00b3ad 6722f3 665790 d8c0f6 c158f2 7c5d64 d09c31 a6f01d 218112 7b9d73
beacf5 5d5960 ab75ef 9a25ea b5719a e7c0d1 984606 21fa70 00b44d 54815e
00b4a4 2f7e92 c1bef4 8219c7 b248f1 b9284c fbd0b3 be6e16 de9e5b 94f10a
829892 88e8fe 00b4e5 1053f2 826ca9 764a67 a5454c f9d2c5 a48125 a3d164
f9c2fe df20cb d490be a1097d 827477 487522 91a58a 00b52e 41e868 cacdc9
00b5ef 7165fc d6cfe3 843f97 a291a2 b62d2a be7469 f9490a d7bc5e 9cc2a7
6146e0 a26eff c59beb 835d97 f6ccf1 903a20 ae7550 c7dbb0 7ce624 00b69b
9d2efa a85ca6 ea9add 962569 ca0d02 715f4b bbcd8e 8fee0f 00b82e 808f7f
abb3c6 c68dfe 8b7e90 6d4f75 cc12d7 f4cdc2 986809 8bea58 00b859 037b5b
5b887f c9e0ff 7a21f8 9d68fc 7b409b ea7bc2 dcb2ba c22c13 88c511 00b86a
00b8fd 5c76cf 59557d b7b3c4 888197 a05657 df680d f2da0c 74e990 71ab7e
3a6874 c1b3fd 7900e8 b441ca a889a5 f0c4a8 776f13 6dfb1a 00b916 6b8b6d
4eeff8 8590a9 7059ff b98efc 8e5073 b1032e fd0022 f8c527 c0e6cd 00b995
b7d3f6 81828f 7f14d9 834982 d34bcd ada58a ddd8be 00ba14 09f036 248240
1d74bc b296f4 af88a8 e0b3d3 972675 7c5d25 baf311 7b7f70 00bb38 57f5a4
8e989c 564bdf dfcbfb 766381 b476c6 81464e fdb8bf 97d121 518211 00bb6d
3ef5f3 00bbe6 3a7cf9 5d575f 958991 a11297 cd7d0f 8ae402 5b7e4e b4bcaf
4c5f5d 7f66c6 b68cfa e7b5eb b4809f 944323 33fa0c 759869 00bc0e b1c5aa
00bce1 1379f0 8d3d97 d8639f ab9a03 ddd9d7 49f605 2d6a1d 8dc17e 6f9067
a7a9f8 7e74f9 7739c1 9d8fa4 935972 c5c0bf b3f506 00bd16 378543 46fa95
00bda8 5d827e 8943de dfc0fa bd6fd5 84498a ec0e44 5b6306 a0b704 8df4c0
00bdab 216e7d dbcaf4 b36efe 9729e2 a8110a a06256 dd4504 92d114 59fe9d
00bea4 576365 27879e 9b8ef9 cdb8eb 802fb1 96591c 947f6c c7ac0c 19f697
a9b3b8 00befb 2a88e5 923a91 9e7a98 d57d7f 67574b d0bb43 587d22 90e4b3
b0e4da ae4deb df94f7 94119c c75da1 755863 f1e105 5d7e10 a0b296 00bf13
8c00fc 674f77 e830d9 fe8fe1 fdd0d9 92440e ae9a34 afe67d 00bf8d 3f8a78
a0c5d0 7281a6 4a4eef b196fb c07780 8c3f44 c03c0c dac0a1 caef0a 00c017
99b9b8 00c0ea 6f5ee3 5b585f 8c6e97 f6786f 85533a e7bb2f 309c00 7ff2a7
82b0aa 95e6eb 00c0eb ae5ce4 755888 973448 dd6974 dd221e d9a724 c8cea2
00c1e3 66686a 4b36f9 94909b b15ae9 8e388f bd3833 c58e2d e4c50b a1c9aa
53726d 7f9a9f 00c1e4 b705e1 9e3905 d08a11 fdda0e 968f65 b5c37c a7e1d1
598c8e c6c6ff 6f15f0 73518a eb1de1 eaced5 c51337 cba704 84fd5d 00c28f
b4c7c8 8497a7 8d5ccd e887f2 8e386b b37274 efd9ac 457034 52f721 00c34f
c9bdfc 9278e2 7c07f5 7e3894 9c749a f3d3e2 d39aaf cc3859 00c41b 7ef39e
91a2cd 7459be ded7e3 705676 973713 dab614 97840f 9ae89c 45836e 00c4a7
a0c1c0 406971 00c5ee 4d8cbf 8242f8 ba7c69 7a4c3b c64b0d f67b00 e8c274
076868 4e96b2 00c5fe ad1cc5 dbbcca cd3c2c cc9362 d0e6af 72f33c 7c8882
6788a4 445c8b 626063 9452e7 bd8bf6 eeb8ec ea7922 9e591d c9e603 00c698
9cbfc6 00c6fd 5f666f 8429a6 b855c5 d13642 f18e05 cec091 9b9687 c8ef42
0d907e 5b48d3 9187c5 c5b4eb 9d0579 d41556 d98404 97ea09 00c77e 3cfecc
a8a8a8 00c7e2 8b10e7 ce39b8 83426c ba9939 e0d9c9 5a7114 89ed46 178b6d
ace9e3 3a6a69 809197 3e89c5 9601e6 fc9bff bf6c33 864716 bac219 00c897
096a60 92f1f6 00c8ed 808fa7 a549cb b49e29 dddf32 646902 b0d5a8 0e9c6f
2c55da a38afe a387ad edaded 785d68 9f2410 c0da18 3f9b41 6efca0 00c990
00c9b3 86f2fd 85839a 6b07fc bd8de2 a943cd 6d566e db3608 a9c257 3f7e59
00cabd 2a8ec4 7f24e2 be3388 f47a93 774c51 f2d8a4 728145 a6ee1b 6eb80b
52726d 00cae3 128af2 2a46f8 903d94 b48ea5 7d743c d0e23b 72b52a b5ecd6
903fdf dbc9e6 8f4185 e061be d42117 00cb39 65fba0 a2baa6 3d956a 076b58
326474 cdb1db a718e4 ba76da 9e3744 92e53c 898b84 049c28 00cb7c 3dfcd0
00cbe9 1493d0 3f5cb8 a7638d e5c2c1 af978d 8e3e14 729c37 8eee6b 5e6859
869899 3e44ec 6d5aa3 d2b8e5 d16ee5 785468 ffb8c0 bdf005 427b2a 00cc62
479299 00cef1 37607b cb51fc 895413 968c12 b5d03e 697562 8ba386 a0eec1
6651cf 8776ac cda6da 725860 aa7f8a b4dd19 83af18 458d36 00cf85 8ef5d0
c4ddd7 6b17fb bf7bec 984ea5 ffaefc eb77ab 1a741f 00d039 6cff89 6e7a73
666f6c 5188f4 0654ec d0abe2 72477f 9970a1 ba173b 93998a 00d12e b1eda7
a4e7da 00d7fe 3c9df2 3c58d0 946391 c5ad98 869143 d6e96f 81c101 585e4e
d5dcf2 a3abce 4b559c 8964f1 786865 a73114 c66a04 ddc9ad a89872 00db2b
00dcf4 a7abb2 495c73 4167d3 7785b1 c1550d 7b543d c39a57 d9dbc0 8bf000
00dfde 830ffe a75feb a73c97 e5639c a82206 a38806 dedd53 86c179 308859
718483 00e2f4 4967e6 9a9aff 983c8e f098ba f0d6a6 5b5956 bae207 0fb74d
86a5b1 208efa 1e4bec f5d2e6 a64483 b01a04 f7a10a 8c945c 477050 00e488
00e4fe 2ba5c5 426b93 b90dfa 998a85 da864d 965e21 f1d751 5b6153 a8c1b6
c8ddf3 2755e6 6383e8 ab90b5 99098f 7b616f c77c7f c8d653 498423 00e6b5
00e6fe 3d81a9 6ca9f8 8021f8 715659 e3cccc ad421d 909477 c3f046 8ac45c
c8e1fd a9acbd 5c57ae ca7ffc ad6891 a32706 eac7a5 6e6d55 00e816 30ac59
afb7b4 2a9aa9 edbcf3 9f20a1 c01f03 695751 cc7c07 7b8870 00e94b b3edbc
c2e1e1 7792ff 5459ff 767294 bba2cc 7f4858 be1402 c9774f 00ee1a 92ad99
c5dad7 a1a6af e9abf8 ad09ba e543e6 754b70 ad7c72 5a6818 46b82f 00f165
99afaa 308390 d7daea 846fea d2a5fa 78534b a64208 d37a2b eab920 00f296
316290 8878dc 7622fe cbb0cd 80626b c38396 607c33 8ab963 a0f15d 00f4be
00f4fb 869ea1 0bb4e5 054fe3 6f68a9 7d5067 b7706c dc0114 72de1a c3cebf
8fa6e4 595674 a162fb e2cdf1 8926bd af789b f0a0a7 c63650 8bad01 00f562
acc9fb 729cf2 4f69da 777784 6b4b86 825225 cd7a1e d9e005 99a888 00f591
348097 a145f0 eeccfa e574ea 826417 a6df16 13b853 92948f 00f69f 54665e
256576 8989a8 6e36e7 cab0ea c165f5 c25416 efc40e 00f799 109c6a 93baae
5f21fb 8462dd 615d66 9a79a7 fa9bec b5b125 abf36b 357944 6db593 00f7c9
9bc1de 607f9e 389bf2 9827fd 962765 bca5a7 616823 dbdfb7 89af23 00f837
a6d4ca 5130fd 8164e5 eb78cb 98607b b43924 8d8d6f dce222 67b51e 00f89b
08b89f 4241ec a878ff 8b5ea9 e8aee7 984d5f b61a0a 97c00b 659854 00f8c7
91c0c2 3469e5 847f95 c996f8 983295 d1897c f65f26 6b592b dcd304 00f9b5
35959b 266294 abb1f7 b060f4 8b5053 c33417 d78000 f2bf64 a1a48e 00f9cb
00f9d6 65c0c2 5d4ae9 a697fa 836ebb 816266 904517 c68d0a bebc88 a8f664
70aff9 397bf0 576697 e4d1fc bb83ad d04c6d 9e291f 99ab24 00fa05 b0cfc1
4a61f5 9c85d7 dec0fc 7b4298 a23d08 cc7126 a0d55e 5b6d5d 35b685 00fad5
5d7b75 00faf6 8a1eed 9a429c ef58c9 9b3520 ae9f97 e4ccad 8de110 43ad3b
33958d ccc9cb 9c40ef 784582 cb87d1 b53302 e56f20 8db580 00fb5c 4d665d
5a5984 a98ec6 e2bdfe b308ef d48991 826762 42910c 4dc431 00fb7f bee4d8
3faed3 ded5f8 7e4dd7 823c7d e4acb6 685f5f cb402a 828b77 83bd5c 00fc11
dddbec 9b98ef 887f86 b4aeb0 6e526b b438b1 c51d43 b9913f 93e225 00fc9f
22665d 7557ff b781fc aa5da6 f29cd6 a83006 24ad27 83907e 00fe7d b1ccb4
00fef4 aeaab7 9048c1 f25ff4 8b3672 e94383 dfbe35 37932a 5b6c56 77d099
00fefc 50aab8 6816fa 9981fa 7647a3 9e4714 a5864a e9d30f 677262 b7cac0
254ff5 cbceef 9876ff 795fa8 af95cb a46718 d8bc33 8cb09c 2b735b 00ffc8
66e7f3 2f9afb 0148ff b01092 fe81b6 765d0d f2e032 a2a508 b5e7a1 537d62
7bcdde 18a1fe 014afd 5a62a8 a186ac 8a4a5e edb6ad fc7946 c15501 b8eb0d
01d8e8 014bef 587ae2 676577 a591a3 884b2a e5935e aa7903 f1cd00 bce4d6
919092 7b9cd5 014bfb eed1f9 6e5977 9e5e06 d09127 acc2a2 47f96e 3c7655
409798 014cef bf65dd 854a8f efaccf aa5813 acae92 d7e2b8 758666 6dd342
85e3f8 69b0c6 4c6491 014df3 9e7ef5 83777e f7d0bc d28353 a14e0d b0d41a
128af3 014ee7 8e4987 eeabd5 ca76a9 a5a227 a5dd6b 2c6e31 719c7a 60fcc8
c3d3e6 098eed 014ef4 8b8a9f 666171 c21900 d38d1b e0e28c 38834f 56c19e
4492ff 0150fc 475890 e8d1ed ad89b0 975f71 e38217 646d27 21ea7c 80b295
0b9c9f 91d1dc 0151e9 5c68a3 b17ced 665f5e c63a11 ed7645 f8d868 b6c1a4
51f9ea 93bef2 0152de 8282dd 877c87 8d4a8c e09e9f a1353c c0d048 04ad4a
0153e1 a9a6b3 735d90 be70f6 fa9bff fd6901 89530a e0e240 42a668 32e8b3
50dade 0154fe 747cd5 ca1b88 6f5552 f6955f e9e000 577a0b bad5b4 969e99
429bfc 0157ff 644e9d d2c6df a990b2 a2627b e37c86 fcc7b6 5f8d16 7ad744
04aa92 9bc4d4 0158e5 6c6586 ad85dd aa0100 b77c06 c9e26a 37804e 0df1bd
95d3d2 0aa0f8 0158e6 97118f ba609c cf0c14 a8a509 d6d983 81a488 3d7661
0158ec 565975 777dc8 dea6e8 7f7274 b42d39 bb8236 cbde05 98a08d 91dc91
3d8cf6 015ade 5d6c96 5c585d c8a7c4 ab634a fc5d08 fdba28 90f2a8 70b989
cfe1e8 015bdd afacbf db6de5 c84393 f5bea8 827338 26de0b 749d81 446153
4c8e8d a0bbd7 015dca ab8af0 9d4d4d bd0000 b3844a ddc557 5df2c5 20c09e
1a97f9 667c9e 015de0 e5b5d6 765f67 ec8996 d5574b 8b4008 ace90d 44fea5
13d0ee 1c98e4 8f949e 0161d0 902782 88646c bab51c d8e688 418d33 a7dac1
70f1ef 0162db 6391fb 8e79a4 794282 c1182e dd8d61 d1cb0b 8fc1ae 5a7d72
27fdf6 0163bc 6a86b4 922678 c0b3b8 b62300 e99600 72694f 889659 9be389
07ebff 89b0b6 1ca1f3 0163c7 7b80a2 6f4e72 d5110c a28179 cbb80f a4f49a
819a93 55707c 0163db cc82d9 f5c5f3 76513b 8f8339 95fd01 b4cba4 4ece30
0163f9 c5c9e0 65636d 9a0097 eb60b1 e6b4aa 89936c 3a8304 90f85e 4ac419
bcdbec 0164a8 5a6574 848ba2 fe66f7 b62c41 c0adaa ffd2a6 10f418 23b050
0164f0 8d8bff 714393 cea3cf b566ac 8b491b d8e870 2cbf16 6b736c 1aedc3
0166f7 7988bc c2a7ff 675194 eed0f2 fb9db5 b81d18 876a5d 84c25c 62f701
