# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0048f9 0292ee 0dcc0a 128836 656365 67fe05 81998e b75ba0 ccd197 f19dd1
007064 12beff 5aa90f 97340e 9d03f3 9deced abd52b b044a8 c6ae92 ed6ebb
00706d 1ec563 648e73 7a25cc a1ece0 a59ab9 b9e20b bb60dc c34a30 e1b8ff
0070fa 247855 645399 6faddd 95969c a4d21a a5e4e8 b49860 d53600 dcce9d
007147 16e14b 2ca624 7909e3 ad4bcf b02182 c3c8dd c590ea eacab9 f15996
00726d 0992db 31f3c4 8131ad 87b482 96909b a35732 aaef62 ccb6d8 e47a0f
007288 319fc7 45642e 81817f 8cb2b2 8cf5c9 a32de1 b17a03 b3d809 bfac80
00728b 5f9ae5 7c8f90 7d50f8 8ed4fd 9f2838 d4b189 d4e62a dc473d f38920
00730d 0da301 736566 983b86 9b32fd a7f827 aca084 c5d390 d064d9 febde1
00735e 658300 679dab 741ef0 87edb9 946dec 98ac4a a0378d d5d217 fe9afb
00740a 4697c6 714493 74b72a 7de5e8 8847fe 9f4761 d5e943 ee6888 eebe97
00747f 48ec49 665d4c 7d0cd9 9a68dc a16704 cb90cd d2e0d8 f9c0fb ff7e9a
007665 5181f7 6338e0 6bd0d3 9c4f9d a4a093 b94f23 c7f002 e89814 fcc79f
00770e 3db4ec 6a59e3 88ae17 a2699b a40e63 aef655 d26076 d7c5d7 f5999c
007811 5d32fe 6e8bce 803498 8df1b2 ab9fa3 bc427a bcbcf2 e99842 f20854
007881 25b530 4ad4fc 6933d3 7b8268 a4acb5 aa2425 abdec6 cfe958 d251c1
007887 7105f5 81f43f 8bb221 9b5ddd ab2d0e c0a6eb c97675 d5ddf5 f5a1b6
007924 52faf0 67527f 7d4cfd 9ddb96 a779df d4a7fa e84166 e97daa f6c92c
0079e1 3ea411 4ffeb9 5a7260 62b4fa 845182 a1d53e a8240b ae9caa e7c8e5
007a56 5efaa3 7f18f8 7fce3f 949993 9c52b7 ac1310 cd7deb d4c0fc e33e08
007a5c 33ae6d 765efc 7f3a94 9af5a7 9d9ae0 a17991 a33a13 c6c3cd d3aa0a
007a63 32b28f 672aed 81e5fd 885fbb b11722 b496e7 b97b34 c7e2d3 cccf6c
007ade 5c7151 6ead20 7a4d77 82e846 a41900 b8ab88 b97b93 dfd7dc f590ff
007c85 01b0a8 1ef66a 5a654e 6130e8 8682de 91b985 978125 bde6cf ccb9f6
007c99 39fde7 666246 72bec5 9c90f4 a18881 ad1cf6 b86d1b c5cc00 fab69b
007d20 07c6f1 138ee8 5b2cfb 7f515b 889d78 9ccbc7 ccdd9c d30697 e9a818
007df7 575e4e 8d5402 908e46 a7d7df b79ce6 c17a8e c50c93 cdb537 dddeb6
007e60 15d88f 535a71 7096c3 715c1b 9849d2 a0999d b57f25 bad6e3 f5d703
007f68 15bbf3 596311 5cffa9 88d543 8d50ee 8e9b5f 903f94 c88aaa dad1d9
008033 428aea 73ead3 747095 81ba51 8c04ca 9f9a9a aa1d67 bfec09 d8b5f6
00806c 45c5da 745f1d 799518 805bd2 9d1a83 b2969f c2e5dd dcdd00 f0ad7a
008082 24fdc5 52b287 666004 77940b 962a56 bd29fd be93d3 d9ccf3 e7c85c
008116 03fef4 575e55 6c8eda 758a6b 8545a9 85c2f8 a38da2 b4d824 d7b7b8
008281 5b7512 744296 7cb192 9e3f5a a088c8 b239f2 c2bdd2 e8912b fdd36d
0082a3 00c3ed 7142ef 923864 929fa2 a06f6a afd740 baa073 ea6403 ebd7b0
008355 685671 759b29 945dff b5140b bda0fc bf9891 c4daf6 e063b1 e2cbae
00841c 20b9e4 6c7afb 8522c3 9f3766 a5e4fb b3caab c3ab36 ce6088 e0e812
00848f 476605 6bc1fc 7248b5 7b7e66 86ad5c 8977f0 bca3b5 d1d8c2 f7c310
008506 0156f3 1df5e3 91d595 94a19b a50a58 b4528e c38dd5 cada28 fa3760
008594 69c985 7348b7 7d6b1a 9da7ad a368f9 a5095e c6c61d cadad1 fa8bf1
0085be 0cb6f5 45f702 702bf7 7f5d78 8e9597 943348 afc9d1 cf6f2c dfd9b3
0086fe 5749bf 6fff02 7091b3 964559 979693 b8cbec c53a1e d6924a e2d09d
00871c 49b592 61fdae 726665 90268e 93c955 a143fc ad8cb7 d6cbd7 f6a3ff
008751 6ab023 86dded 8f718a 9110b7 966fe5 bf2600 c4f110 d5c27c f98cb7
008878 6afadd 75511e 8c09fe 947e06 adc071 b3caf6 c599b0 d930c3 ffc600
0088e0 436984 56c5f9 6e949a 726d64 7819e3 a1a065 a3cbbf a56224 efbe4d
008909 615566 707f6e 74ce13 a233b2 a3ac82 c8ea90 da70ff e0c1ef f35bab
008b4c 1ff974 6a5672 8765f2 8ab988 9e2700 a09c1b b392f8 c171a3 d7c4d6
008b6f 18bb91 2df289 5d5b71 76612e 828ea5 c8dfd7 d4a0f0 d518db f98324
008dd3 03c1f6 4f40e0 677324 864f5a 909c8f 95d2c6 c24290 c39951 ded54b
008df2 596893 781be8 8096a9 8edce6 956566 baf216 c08e85 c75a29 cac179
009187 56fd89 6150bb 6dbae4 7ba366 895753 9c72f5 c03710 c7cfd0 c8b716
00937e 1de81a 734d77 80acb9 8819fa b3ab74 c52925 c851d5 cad5c9 f7c8fb
0093d7 11dcad 34795f 77778f 7c19fe 8ea7b4 942498 a88824 b4df30 e5c8f9
009462 713aee 7b8f0d 8d7ffa 902c8f 906887 90fc12 afa1cc d1d6e6 e2ac68
009587 13e3d1 544adb 736ba5 776a40 873c5d b2e220 b5b28b df6d01 e778f1
00969c 1846f8 2dfda6 78b792 846bd6 84742f a82a61 b79efa eac2e0 faab25
009706 05bfb1 74f214 786571 798f6f 8f3d31 a3affb b1b062 d620cb e7cfed
009987 08cd99 196689 6b6550 7efc96 9f9dca bf3907 c4b82e c708df ccccfb
009a03 1b66f8 62faaa 6c5b4a 8c8d72 9198ed b3078d bacccc e8b544 eb4ca6
009a37 01d176 7d5a54 8f8986 96286f 9a19f3 aae935 c3b6fc e6b9c6 eb3fb7
009ac3 1b7f2a 636366 67fca6 6da400 894bfb 9b0786 a4d22e a9989e e5c4d6
009b5a 2c6b60 2ecf90 705697 a2efe0 a378e8 be7f9d c4bbeb e6d34e f23613
009bf9 0b5fe7 5f6f9a 71523c 7fdf6e 848102 a4a3b4 be8a7f d3d6d9 edb6fe
009bfd 5c62ba 645464 71fac5 74b499 a03623 a394b6 ab7a51 c6d7eb e2cf33
009c71 55fec4 5f5942 719c14 74c4af 8a58cb ab8bb6 b31877 c7d6ed ffbe60
009ca3 56f5fd 72866f 883b5b 8ac5b1 a43bd8 ad1822 b297f6 c48939 fbb42b
009ce4 245ddd 2cf7f4 6d6892 814a1b 99e20c b7a7a5 d44165 d7884a f7c69e
009d45 03dcb4 4052fb 83c745 978a8c a17bff a25a9f a60b49 c6f00d f5a5e8
009d8e 4d6378 7fc9a3 916656 9797cf 985ae4 bf0508 c9c8e9 e1873f edd126
009fc2 52d2fc 76867d 7e50cc 7f4e75 99b5b3 b8553e bda241 c3e62f f4d6b4
00a032 4f6e5c 7d58ff 80eef1 8f9791 9dd202 9f4899 a12b10 d478cd d9d0a8
00a0fe 057916 1962fe 78cad8 80939f 877068 902f95 b8a28b d1e1b7 e79916
00a1e0 016ad8 545780 7f7887 845012 86e1a6 a2a4a2 ccd1e8 d1c249 e54a59
00a2d3 2e65ce 605e60 80492c 82aa92 907b91 a3e1df bd5903 c9aa51 dfe298
00a328 3967ed 76755f 94f2e1 97bfa3 a13087 af0214 ca65a9 cbafe7 f1c34e
00a37e 594ee4 71699c 86475e 8b8ee2 90e0ff a70c11 a7df4b c2622f f993b3
00a3ad 486346 65ecf4 7544c7 929b79 9ea9ff ac7d1f b02779 cfc6ae f6a70c
00a40c 4a6c87 7a7470 8c4700 9ceaa6 9e2be0 accc0b ae97a6 d25df5 faaeee
00a40d 2bd500 41724b 6723f3 7b516f 829687 945ee6 aae4f9 c2d991 d58dc8
00a492 226c03 6a5e80 6edab3 a205db c59c47 cfc7e5 e00755 f3d056 fc2cd2
00a505 5b6c9a 615b5e 7ae802 7f9974 8f4e21 943efa beb4b5 d7dcfd eb74e9
00a511 4dd72f 5a5e04 61728e 9b9add a12859 c527ed cc93a7 ccdad7 fed59a
00a55a 35dc26 466760 8053e0 896899 925a11 b0a2f0 bbdbee c68aa9 d6c9a2
00a5ec 3cfbf2 5f6665 695af0 80ba8e 984795 9f282a a280a0 c8e332 e38701
00a614 04cbd2 1b745d 8060fe 8ff3e7 9917a0 a7071e adab7f b6e481 c67a9a
00a74d 0ac4f8 457163 5b6216 8100ff 8473fa bfe5da c226a5 d1c844 d487b5
00a813 32f3f8 3642f1 57716c 81d64e a3341e b34cb0 b3abb0 da7edf dbe0c4
00a8f8 13e9b1 4971d2 705d1b 9b2058 a0a6b5 a3ee32 b99d1b cc5764 f7cff5
00a9ed 1348f3 4ea113 5b7160 75fa9f 9a3f10 9c6293 9dc3ae dacdfb e9c512
00ab29 0e7924 7c20cb 7d7c79 984e90 abbf98 ace4f6 ae4dfc d086bf edcc28
00ab86 454bd2 516d26 8177fe 8d6b9e 92a12c 95c6d8 b9096e c3d4a0 fad037
00abf6 6d5c87 7360ff 8f615d 91c4a1 aa0416 aa889f cfbbd9 ec3e22 fcc55d
00ac63 72d846 7b5763 9a9da0 a8092d b434dc bfd0aa ed70eb ef370b f9cde8
00ac92 54f9a2 5537ed 7f67ba 8f446b 9ec105 9f8947 bb1d01 c08cfd fa9bc8
00ac9e 06eb92 52702a 5746cb 8a578e 997cec a9c5da b29e0c d85272 ddd60b
00aca2 528c4f 67e6dd 765cac 7e5569 8ca702 aa1404 abf12f cdc198 d27ff0
00acdb 655e6d 6b63c9 84433c 879197 9be80e b6b86e ce6161 ef1405 f1b3c2
00ae57 546e49 76fba8 804072 8755d2 8fb6a4 af86fa bbe018 bd6da7 ddaee5
00ae8f 297b64 9350df 95a3d4 972078 9ed9e6 b20b1b c1e333 dc5a09 f8cfbd
00b101 3b6288 78f2e9 806a6f 8569db 97a0ef ac91a3 b53213 bcdb16 f99289
00b189 497786 6aebc4 6e45b4 837300 9975d9 a0b7c7 b1195a bba331 d8e55c
00b1ff 1c6a38 5b931b 7156ff 8a6ea4 8ee63a a1b26a b87782 e8d4fe eca7bb
00b2e7 4c6a10 744d5c 7f8855 8fb84f 9be5f9 b627da ea2d94 fadd0b fd89a9
00b35a 5e7c00 893290 8c6c86 97d916 a19c9f b12756 c52de8 d689da e1cfd0
00b372 2c6276 4eea09 638585 8151e3 8a4d24 919502 dad7fc e8cbb9 f275bd
00b3ad 218112 665790 6722f3 7b9d73 7c5d64 a6f01d c158f2 d09c31 d8c0f6
00b44d 21fa70 54815e 5d5960 984606 9a25ea ab75ef b5719a beacf5 e7c0d1
00b4a4 2f7e92 8219c7 94f10a b248f1 b9284c be6e16 c1bef4 de9e5b fbd0b3
00b4e5 1053f2 764a67 826ca9 829892 88e8fe a3d164 a48125 a5454c f9d2c5
00b52e 41e868 487522 827477 91a58a a1097d cacdc9 d490be df20cb f9c2fe
00b5ef 7165fc 843f97 9cc2a7 a291a2 b62d2a be7469 d6cfe3 d7bc5e f9490a
00b69b 6146e0 7ce624 835d97 903a20 a26eff ae7550 c59beb c7dbb0 f6ccf1
00b82e 715f4b 808f7f 8fee0f 962569 9d2efa a85ca6 bbcd8e ca0d02 ea9add
00b859 037b5b 6d4f75 8b7e90 8bea58 986809 abb3c6 c68dfe cc12d7 f4cdc2
00b86a 5b887f 7a21f8 7b409b 88c511 9d68fc c22c13 c9e0ff dcb2ba ea7bc2
00b8fd 59557d 5c76cf 71ab7e 74e990 888197 a05657 b7b3c4 df680d f2da0c
00b916 3a6874 6b8b6d 6dfb1a 776f13 7900e8 a889a5 b441ca c1b3fd f0c4a8
00b995 4eeff8 7059ff 8590a9 8e5073 b1032e b98efc c0e6cd f8c527 fd0022
00ba14 09f036 248240 7f14d9 81828f 834982 ada58a b7d3f6 d34bcd ddd8be
00bb38 1d74bc 57f5a4 7b7f70 7c5d25 972675 af88a8 b296f4 baf311 e0b3d3
00bb6d 518211 564bdf 766381 81464e 8e989c 97d121 b476c6 dfcbfb fdb8bf
00bbe6 3a7cf9 3ef5f3 5b7e4e 5d575f 8ae402 958991 a11297 b4bcaf cd7d0f
00bc0e 33fa0c 4c5f5d 759869 7f66c6 944323 b1c5aa b4809f b68cfa e7b5eb
00bce1 1379f0 2d6a1d 49f605 6f9067 8d3d97 8dc17e ab9a03 d8639f ddd9d7
00bd16 378543 46fa95 7739c1 7e74f9 935972 9d8fa4 a7a9f8 b3f506 c5c0bf
00bda8 5b6306 5d827e 84498a 8943de 8df4c0 a0b704 bd6fd5 dfc0fa ec0e44
00bdab 216e7d 59fe9d 92d114 9729e2 a06256 a8110a b36efe dbcaf4 dd4504
00bea4 19f697 27879e 576365 802fb1 947f6c 96591c 9b8ef9 c7ac0c cdb8eb
00befb 2a88e5 587d22 67574b 90e4b3 923a91 9e7a98 a9b3b8 d0bb43 d57d7f
00bf13 5d7e10 755863 94119c a0b296 ae4deb b0e4da c75da1 df94f7 f1e105
00bf8d 3f8a78 674f77 8c00fc 92440e ae9a34 afe67d e830d9 fdd0d9 fe8fe1
00c017 4a4eef 7281a6 8c3f44 a0c5d0 b196fb c03c0c c07780 caef0a dac0a1
00c0ea 309c00 5b585f 6f5ee3 7ff2a7 85533a 8c6e97 99b9b8 e7bb2f f6786f
00c0eb 755888 82b0aa 95e6eb 973448 ae5ce4 c8cea2 d9a724 dd221e dd6974
00c1e3 4b36f9 66686a 8e388f 94909b a1c9aa b15ae9 bd3833 c58e2d e4c50b
00c1e4 53726d 7f9a9f 968f65 9e3905 a7e1d1 b5c37c b705e1 d08a11 fdda0e
00c28f 598c8e 6f15f0 73518a 84fd5d c51337 c6c6ff cba704 eaced5 eb1de1
00c34f 457034 52f721 8497a7 8d5ccd 8e386b b37274 b4c7c8 e887f2 efd9ac
00c41b 7c07f5 7e3894 7ef39e 9278e2 9c749a c9bdfc cc3859 d39aaf f3d3e2
00c4a7 45836e 705676 7459be 91a2cd 973713 97840f 9ae89c dab614 ded7e3
00c5ee 406971 4d8cbf 7a4c3b 8242f8 a0c1c0 ba7c69 c64b0d e8c274 f67b00
00c5fe 076868 4e96b2 72f33c 7c8882 ad1cc5 cc9362 cd3c2c d0e6af dbbcca
00c698 445c8b 626063 6788a4 9452e7 9e591d bd8bf6 c9e603 ea7922 eeb8ec
00c6fd 5f666f 8429a6 9b9687 9cbfc6 b855c5 c8ef42 cec091 d13642 f18e05
00c77e 0d907e 3cfecc 5b48d3 9187c5 97ea09 9d0579 c5b4eb d41556 d98404
00c7e2 178b6d 5a7114 83426c 89ed46 8b10e7 a8a8a8 ba9939 ce39b8 e0d9c9
00c897 3a6a69 3e89c5 809197 864716 9601e6 ace9e3 bac219 bf6c33 fc9bff
00c8ed 096a60 0e9c6f 646902 808fa7 92f1f6 a549cb b0d5a8 b49e29 dddf32
00c990 2c55da 3f9b41 6efca0 785d68 9f2410 a387ad a38afe c0da18 edaded
00c9b3 3f7e59 6b07fc 6d566e 85839a 86f2fd a943cd a9c257 bd8de2 db3608
00cabd 2a8ec4 6eb80b 728145 774c51 7f24e2 a6ee1b be3388 f2d8a4 f47a93
00cae3 128af2 2a46f8 52726d 72b52a 7d743c 903d94 b48ea5 b5ecd6 d0e23b
00cb39 076b58 3d956a 65fba0 8f4185 903fdf a2baa6 d42117 dbc9e6 e061be
00cb7c 049c28 326474 3dfcd0 898b84 92e53c 9e3744 a718e4 ba76da cdb1db
00cbe9 1493d0 3f5cb8 5e6859 729c37 8e3e14 8eee6b a7638d af978d e5c2c1
00cc62 3e44ec 427b2a 6d5aa3 785468 869899 bdf005 d16ee5 d2b8e5 ffb8c0
00cef1 37607b 479299 697562 895413 8ba386 968c12 a0eec1 b5d03e cb51fc
00cf85 458d36 6651cf 725860 83af18 8776ac 8ef5d0 aa7f8a b4dd19 cda6da
00d039 1a741f 6b17fb 6cff89 6e7a73 984ea5 bf7bec c4ddd7 eb77ab ffaefc
00d12e 0654ec 5188f4 666f6c 72477f 93998a 9970a1 b1eda7 ba173b d0abe2
00d7fe 3c58d0 3c9df2 585e4e 81c101 869143 946391 a4e7da c5ad98 d6e96f
00db2b 4b559c 786865 8964f1 a3abce a73114 a89872 c66a04 d5dcf2 ddc9ad
00dcf4 4167d3 495c73 7785b1 7b543d 8bf000 a7abb2 c1550d c39a57 d9dbc0
00dfde 308859 830ffe 86c179 a38806 a73c97 a75feb a82206 dedd53 e5639c
00e2f4 0fb74d 4967e6 5b5956 718483 983c8e 9a9aff bae207 f098ba f0d6a6
00e488 1e4bec 208efa 477050 86a5b1 8c945c a64483 b01a04 f5d2e6 f7a10a
00e4fe 2ba5c5 426b93 5b6153 965e21 998a85 a8c1b6 b90dfa da864d f1d751
00e6b5 2755e6 498423 6383e8 7b616f 99098f ab90b5 c77c7f c8d653 c8ddf3
00e6fe 3d81a9 6ca9f8 715659 8021f8 8ac45c 909477 ad421d c3f046 e3cccc
00e816 30ac59 5c57ae 6e6d55 a32706 a9acbd ad6891 c8e1fd ca7ffc eac7a5
00e94b 2a9aa9 695751 7b8870 9f20a1 afb7b4 b3edbc c01f03 cc7c07 edbcf3
00ee1a 5459ff 767294 7792ff 7f4858 92ad99 bba2cc be1402 c2e1e1 c9774f
00f165 46b82f 5a6818 754b70 a1a6af ad09ba ad7c72 c5dad7 e543e6 e9abf8
00f296 308390 78534b 846fea 99afaa a64208 d2a5fa d37a2b d7daea eab920
00f4be 316290 607c33 7622fe 80626b 8878dc 8ab963 a0f15d c38396 cbb0cd
00f4fb 054fe3 0bb4e5 6f68a9 72de1a 7d5067 869ea1 b7706c c3cebf dc0114
00f562 595674 8926bd 8bad01 8fa6e4 a162fb af789b c63650 e2cdf1 f0a0a7
00f591 4f69da 6b4b86 729cf2 777784 825225 99a888 acc9fb cd7a1e d9e005
00f69f 13b853 348097 54665e 826417 92948f a145f0 a6df16 e574ea eeccfa
00f799 109c6a 256576 6e36e7 8989a8 93baae c165f5 c25416 cab0ea efc40e
00f7c9 357944 5f21fb 615d66 6db593 8462dd 9a79a7 abf36b b5b125 fa9bec
00f837 389bf2 607f9e 616823 89af23 962765 9827fd 9bc1de bca5a7 dbdfb7
00f89b 5130fd 67b51e 8164e5 8d8d6f 98607b a6d4ca b43924 dce222 eb78cb
00f8c7 08b89f 4241ec 659854 8b5ea9 97c00b 984d5f a878ff b61a0a e8aee7
00f9b5 3469e5 6b592b 847f95 91c0c2 983295 c996f8 d1897c dcd304 f65f26
00f9cb 266294 35959b 8b5053 a1a48e abb1f7 b060f4 c33417 d78000 f2bf64
00f9d6 5d4ae9 65c0c2 816266 836ebb 904517 a697fa a8f664 bebc88 c68d0a
00fa05 397bf0 576697 70aff9 99ab24 9e291f b0cfc1 bb83ad d04c6d e4d1fc
00fad5 35b685 4a61f5 5b6d5d 7b4298 9c85d7 a0d55e a23d08 cc7126 dec0fc
00faf6 43ad3b 5d7b75 8a1eed 8de110 9a429c 9b3520 ae9f97 e4ccad ef58c9
00fb5c 33958d 4d665d 784582 8db580 9c40ef b53302 cb87d1 ccc9cb e56f20
00fb7f 42910c 4dc431 5a5984 826762 a98ec6 b308ef bee4d8 d48991 e2bdfe
00fc11 3faed3 685f5f 7e4dd7 823c7d 828b77 83bd5c cb402a ded5f8 e4acb6
00fc9f 6e526b 887f86 93e225 9b98ef b438b1 b4aeb0 b9913f c51d43 dddbec
00fe7d 22665d 24ad27 7557ff 83907e a83006 aa5da6 b1ccb4 b781fc f29cd6
00fef4 37932a 5b6c56 77d099 8b3672 9048c1 aeaab7 dfbe35 e94383 f25ff4
00fefc 50aab8 677262 6816fa 7647a3 9981fa 9e4714 a5864a b7cac0 e9d30f
00ffc8 254ff5 2b735b 795fa8 8cb09c 9876ff a46718 af95cb cbceef d8bc33
0148ff 2f9afb 537d62 66e7f3 765d0d a2a508 b01092 b5e7a1 f2e032 fe81b6
014afd 18a1fe 5a62a8 7bcdde 8a4a5e a186ac b8eb0d c15501 edb6ad fc7946
014bef 01d8e8 587ae2 676577 884b2a a591a3 aa7903 bce4d6 e5935e f1cd00
014bfb 3c7655 47f96e 6e5977 7b9cd5 919092 9e5e06 acc2a2 d09127 eed1f9
014cef 409798 6dd342 758666 854a8f aa5813 acae92 bf65dd d7e2b8 efaccf
014df3 4c6491 69b0c6 83777e 85e3f8 9e7ef5 a14e0d b0d41a d28353 f7d0bc
014ee7 128af3 2c6e31 60fcc8 719c7a 8e4987 a5a227 a5dd6b ca76a9 eeabd5
014ef4 098eed 38834f 56c19e 666171 8b8a9f c21900 c3d3e6 d38d1b e0e28c
0150fc 21ea7c 4492ff 475890 646d27 80b295 975f71 ad89b0 e38217 e8d1ed
0151e9 0b9c9f 5c68a3 665f5e 91d1dc b17ced b6c1a4 c63a11 ed7645 f8d868
0152de 04ad4a 51f9ea 8282dd 877c87 8d4a8c 93bef2 a1353c c0d048 e09e9f
0153e1 32e8b3 42a668 735d90 89530a a9a6b3 be70f6 e0e240 fa9bff fd6901
0154fe 50dade 577a0b 6f5552 747cd5 969e99 bad5b4 ca1b88 e9e000 f6955f
0157ff 429bfc 5f8d16 644e9d 7ad744 a2627b a990b2 d2c6df e37c86 fcc7b6
0158e5 04aa92 0df1bd 37804e 6c6586 9bc4d4 aa0100 ad85dd b77c06 c9e26a
0158e6 0aa0f8 3d7661 81a488 95d3d2 97118f a8a509 ba609c cf0c14 d6d983
0158ec 565975 777dc8 7f7274 91dc91 98a08d b42d39 bb8236 cbde05 dea6e8
015ade 3d8cf6 5c585d 5d6c96 70b989 90f2a8 ab634a c8a7c4 fc5d08 fdba28
015bdd 26de0b 446153 749d81 827338 afacbf c84393 cfe1e8 db6de5 f5bea8
015dca 20c09e 4c8e8d 5df2c5 9d4d4d a0bbd7 ab8af0 b3844a bd0000 ddc557
015de0 1a97f9 44fea5 667c9e 765f67 8b4008 ace90d d5574b e5b5d6 ec8996
0161d0 13d0ee 1c98e4 418d33 88646c 8f949e 902782 a7dac1 bab51c d8e688
0162db 5a7d72 6391fb 70f1ef 794282 8e79a4 8fc1ae c1182e d1cb0b dd8d61
0163bc 27fdf6 6a86b4 72694f 889659 922678 9be389 b62300 c0b3b8 e99600
0163c7 07ebff 1ca1f3 6f4e72 7b80a2 89b0b6 a28179 a4f49a cbb80f d5110c
0163db 4ece30 55707c 76513b 819a93 8f8339 95fd01 b4cba4 cc82d9 f5c5f3
0163f9 3a8304 4ac419 65636d 89936c 90f85e 9a0097 c5c9e0 e6b4aa eb60b1
0164a8 10f418 23b050 5a6574 848ba2 b62c41 bcdbec c0adaa fe66f7 ffd2a6
0164f0 1aedc3 2cbf16 6b736c 714393 8b491b 8d8bff b566ac cea3cf d8e870
0166f7 62f701 675194 7988bc 84c25c 876a5d b81d18 c2a7ff eed0f2 fb9db5
016781 47c524 5bfc47 706018 7757fc a388fb aeca99 d45b61 dd98c9 efd5e2
0167cc 1498f6 1ceba1 565c7b 79a06f 7c6935 b39d1a ddd3f4 ee81b2 fac804
0168e8 06c37e 4f8a74 8e376b 8edd36 9390fb acaab5 af1f31 b17d24 e2dbd9
01697b 2199a3 6c52ce 90eae7 95706b af2026 b5ba9b be74fb e6ca0f f74529
