# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0045fe 5783de 65756e 88e0ce a62c23 c4b5f7 e2de3e e37a34
008cff 0458cd 6a6180 789daf 8ce1a7 a5c11e b75445 fdc2fb
008e21 672ffd 8079b3 81e3d1 a9aae9 ca0072 eae041 f69a83
008f62 73e92d 828ba9 883fdd 9a3911 bbc5bc c68400 fbb8fa
008f6b 12c5bf 68546c 6f3beb a072eb af6f0e bae0a5 d7b40c
008ff7 277c15 6b42af 7be3ec 977299 a3265f c2bf3b d5716a
0090fd 712ce5 85665b 8febe4 98a9a6 b7418e bd1006 d29e5c
00929b 6fc0a4 a62dfd aaf748 c48afc c7113a d6863a fbc2f7
0092e0 3c55c5 64ee13 70a82a 887687 a3373e d2ddf9 df99a0
00937e 1de81a 8416fc 942d83 c52925 c851d5 cad5c9 dda3e0
009403 0bc4ff 556154 7834f3 8dce0d 9c4994 ad8f8c e7c7c2
00957f 844095 9bc4a3 b18712 bf173e dfd7eb f2b739 fa60c3
009699 5359a9 7a9501 94baa7 975b57 97eef1 a277ff c1c15d
00969c 2dfda6 84742f 854cd4 a82a61 b79efa e4c3db faab25
0096a5 4c3bff 5d7565 73fd04 8fa004 a7421b c0d7a6 d499fe
009ae2 56611e 89ae0b 8d2cb4 937d88 b9e6eb d69f94 d7da76
009b5a 41fbc8 705697 794f0e a378e8 c086a2 c4bbeb e6d34e
009bec 4d605b 7ed6eb 8323ec 8a7798 b5e269 c50412 c67f73
009eee 07ffb0 8a3291 949ca3 b02654 bacdf5 e0b813 fd1a37
009ffc 157354 6a44bc 82edee 83b69e 8e7ea4 cccd3c d46d0f
00a032 3c40fb 43fcad 4f6e5c 9dd202 9f4899 aba293 d478cd
00a08b 3d6683 6d5250 71872c 7e45e8 acc6cb bbb93c e173de
00a14b 38696b 5f5b36 8e02f1 93cd39 b785fe e3aec0 f224a8
00a1e0 555dc0 6ae6b0 7f7887 845012 ccd1e8 f48057 f7dc1e
00a207 33fec9 575f82 745237 adc865 bf60f9 e27390 f9acef
00a3ad 65836e 65ecf4 7544c7 8d4120 ac7d1f cfc6ae f6a70c
00a3f8 295afa 4c6522 85aab4 958f40 b74774 c0c634 cbe2e1
00a5ac 086775 78755d 824aee a2b160 a92907 bee2e4 f8ce0e
00a5b7 2c690c 8642d4 8ee0b7 94a646 a91475 ab6a71 e1e05f
00a6d7 21f5c1 6b507c 7258d8 9a4e39 af8282 eee21f f08f48
00a8a6 20e79c 3b6a69 a6a330 a9452d bf43e3 cad4e5 f3e027
00a8d1 4651b7 55e986 78526e b37e87 c8322b cae1df f27c01
00a9dc 5065db 60666b 62f846 70550b b2bbab d17452 f4cef9
00a9e6 30edf0 3a59fa 588928 784678 cfe70f d56897 dfb08c
00aa21 2bf06e 2f61f7 3e653c 8c818d 972f92 a2acef eaafbf
00aa7d 327235 855a7a 856ece a2cecc c2a7fc ce8b14 f2c664
00aa93 1f6678 56ebda 744dda a7632d b0aaee b9a00e f1d63f
00aada 60e7ff 7059e7 706173 7acb0a 8e472f bc7661 c6c7ba
00aae6 5766cd 646266 8a9096 976d27 b7ee1b d29367 e2c6c8
00ab1b 4f6733 6248f8 a287f4 ac4486 add97e e8aed8 ef7198
00ac43 21e64a 2c690d 7559cf aa2b65 b2aaef e7c7d7 ee579a
00ad93 347d3a 6d0bf9 6f5488 9fea9f aa57fc b8bb00 fba3f0
00ade4 04f8ff 8319f3 888396 8ad71d b58127 c62760 dac3ba
00adf7 5462cb 635d64 8f8ea0 99def8 c13b2b e19977 ebdb00
00b1ae 6535fd 668668 71e9d4 875fa8 923d04 cd7608 f8ba61
00b1e4 705c7f 824af0 982e42 a78597 b6e4d9 da584c e2a932
00b1e8 586c5e 83f1fb 8fb5b4 963482 a53cef ce540f e9bb83
00b2e7 4c6a10 6b5359 8fb84f 9be5f9 a925de ea2d94 fadd0b
00b2f0 1364fb 30f5f9 765f1e 961494 9fcaa9 b9ae39 e554a7
00b35a 616a60 8e4284 97d916 a91812 d417e6 d689da e1cfd0
00b3d9 17fcab 6065f3 6c588b 913d03 9dbeb9 c8d623 f84975
00b501 1b69cd 666522 913367 91fb2c bfb4f5 d16691 ecc1b6
00b5e1 5d6f7d 8a29df 8ed261 a31c2c aa8d7a dbd6d7 eb4017
00b605 1b53f2 237a16 971f7b 9a9f99 ab6fbd bbcffb e4dabc
00b6c6 5562ff 70639a 933635 9a8377 c5dcd6 d53c07 e2a75d
00b82e 4e7c62 792cc3 98ec3b a85ca6 ab2b06 e5d8cd ea9add
00b8cd 05fafe 6d73c9 78476f 7fdc03 a13e39 b98e69 f0c0b6
00b916 3a6874 6dfb1a 88887b b441ca bd0c07 c1b3fd f0c4a8
00b948 5167fb 84958c 8e6a9e 9ad1ec aa3a2e caec62 eec8bb
00ba48 1662f1 3b6543 7f6490 8b9a94 91ec1a c49ce8 fdcbb0
00bb07 522ffc 7650a1 9a4f4c a39089 c8e198 ec77c6 fccfe3
00bc0e 33fa0c 3e6261 7f66c6 944323 b1c5aa b4809f e7b5eb
00bdae 117081 4affaf 6a7844 7929cd 8981f4 ddcdf5 fdb22b
00be95 15ffcd 508074 8f8a08 a22129 a9cbe6 c3bf09 cb3ab1
00bedf 458f22 5e625f 7c30fe 8f56a2 a3d771 a89988 e3d1d2
00befb 587d22 606eff 625751 923a91 abe7c5 d0bb43 d57d7f
00c017 4a4eef 7281a6 8c3f44 a4f410 ada4f2 bd7179 dac0a1
00c0ed 5e5f1f 6aa85f afe9f3 bee103 c039fb c8347c eaaeb1
00c1e4 53726d 9e3905 a7a48d a7e1d1 b705e1 d08a11 fdda0e
00c1ef 156b2a 1a7de8 65616e 799f96 998905 afe7e2 f5b326
00c1fd 014ff3 48876b 70588d 905b0b 9bc7af 9f8ba8 ecb759
00c2e0 477857 912b73 a52df5 ab7206 b1ded9 d0d12d f8968c
00c2e5 2d7710 817e8e 943058 a23fce a2d3c1 d6951d ffd202
00c318 138d14 174bed 775c6f 9678e3 ac897e b5ddae eeb0fa
00c566 7f54ae 804948 818a90 aed1c8 c0a3f1 c84d09 fdd802
00c698 557672 785c18 9452e7 a2f68c bf7abb ea7922 eeb8ec
00c73a 7029d6 707b0c 777cd2 99405b c1748e c4cfe1 f3d9a4
00c7d3 449e1b 706489 a29a88 a6eebc a81d3b af1dff dfc50d
00c7e2 178b6d 72497d 9a520c a9bea9 ba9939 c926ff face75
00cb39 076b58 7336f4 849885 8a6d0d b3e7a4 dbc9e6 e061be
00cda7 016ac7 737277 8b3e35 9f9bde b8d7f8 c67a4a d9c442
00cef1 479299 7140a0 895413 aaeae3 b5d03e cb51fc f6225f
00cf84 4e5a77 828186 995010 9a99fd a046d3 df9803 f4bff4
00cfc4 356e79 6c5343 a153e5 a85e0c b995ff d1e855 e8825a
00cfc6 5f604a 8362d4 a39dff c06e86 cbef0c ddb884 fc4001
00d142 516566 749785 9b5212 9f2ae8 b5cdaf e47fe3 f2caf1
00d444 1151dc 199056 983370 9b75be c4dec4 e91a07 f2a3e8
00db39 504ee2 526108 5f8f61 954a70 997fb2 cbb4f8 fdbfce
00dbfc 08a993 613ad4 765644 a768de b7e8df c48e27 e8d379
00dc88 2b4edd 695d5a a093e8 a24e11 a88e98 c8d2db f97908
00e2f4 0fb74d 6a10f9 718483 824f40 9957d0 a9b3b1 f0d6a6
00e633 026c6f 73a474 8334f7 8c6b11 c2e0fd d8cfbf e770cb
00e94b 26638f 2a9aa9 7f9f70 964742 9f49fe d2e2d0 edbcf3
00f054 01a82e 820efb 8b7776 914100 bbb1fc caa2ae ce43c5
00f0e7 636b42 7f2edb 9ab090 9d1a79 a86bd8 c47a0a d9c923
00f108 0c6a51 3a81e9 635a89 9a5b03 c683a1 c6e0b5 fab9ea
00f1fd 35767a 526119 70a03a 7e22f0 bad849 ef9cb7 fe33c9
00f3b6 137d74 31b498 a9ab3d b8c3df be150e d41ff5 e4e432
00f42d 516435 6c4ade 82607f 969d7c c3e5b2 d7731a de9dd2
00f4a4 238b8d 8d15f9 a41e22 aec628 bfddee cc6428 e680ee
00f6d0 0f7565 6c1ff0 8cb1d1 a153b9 b3f415 d24612 f9a381
00f6e5 1c6f26 6c9c01 7244fe 92607f ba90bd efe207 f4a371
00f7a2 41679d 85aeb5 af6273 af8cf2 ca1b12 dedafd ee9a18
00f7f1 0c74e1 6d7e86 85c8a4 8f4117 ba9afa cdd43e ce691e
00f8fe 4964f8 7e7b88 84a7f7 971990 bfe32b cc5c47 ffb5a6
00f9b5 3469e5 784583 847f95 91c0c2 b01928 dcd304 f65f26
00f9e1 4850c9 65886d 81597d 99e72d be97d7 e53b1e fea5a4
00fad5 35b685 455eff 5b6d5d 7b4298 9c85d7 a0d55e cc7126
00faf6 5d7b75 8a1eed 8de110 9b3520 ab8526 e4ccad ef58c9
00fcb1 247f7d 892fbf 899152 8c400c abc1c9 c573ce ddce3f
00fd9d 449855 525d4f 8f3eee b583e6 b5c4c6 d43090 feba03
00fdca 516262 526bde 64b458 8e8c8f 9e4b29 a7df24 d0a2d2
00fde7 0db80f 774e86 8077e0 a73d33 a7e26f c3a6f3 dc9394
00fdff 6f5875 89a0c6 8d52fe a02125 a7e3b8 b28a5e cece08
00fefd 446763 64d707 799478 876f1c 9355e0 c6c2a5 f273ba
00fefe 24bab6 7f4647 8260c5 9b826f bce4b2 c25400 daaa20
00ff42 157892 6e9fd2 78723a 811ae0 8ead23 cedff7 cfb8ad
00ffbe 18a9d9 2054f2 a2a888 b5d5e7 b73885 e6be1e fe1c25
0145fe 7060a9 91afff 963e45 998289 c2bac1 e5810f fadb22
0148f8 13b355 16f70f 5e619e 935754 a4bab1 e7d4fb f173d5
0148ff 2f9afb 537d62 66e7f3 a2a508 b01092 b1ee25 f3ae9d
014af6 1494d0 3dffb3 616b21 8b4278 8cce22 cd6a72 e5b3d4
014df1 1f96f7 569706 696640 79c6c4 ab6584 c5e8be d5c04a
0150f4 2f7512 5da483 72dad5 7d73b4 855b6e 9daa37 f5da1f
0150fb 13a783 6a647d 824818 89edcc a5acc9 c17409 d4ce4f
0151e9 0b9c9f 665f5e 93fa4b b6c1a4 c2030e ed7645 fda6f2
0152de 01fee8 8282dd 877c87 93bef2 9e5d06 c0d048 e09e9f
0152ff 5ef3be 60629f 948597 9a3402 b16e56 b2cf1e dd97e2
0153fb 5892f9 58dbf3 62647c a80b3e a8bfad af7742 f4d126
0156fa 26f3f3 4f875b 5d596d 66aed5 968f03 d3ec13 f9a0a9
0157df 6efab3 77aaf6 7a7b94 ba181b c87d67 d0d4e7 d2be16
0159f2 77f3fd 869189 8e3f57 a96baf c4070d eac296 eb6d0f
015af9 04a6e2 1cf4b1 778285 93b8bd a1018f ae7943 ddb232
015de0 2496fe 44d88c 667c9e 824657 ace90d d5574b e5b5d6
0160ac 2afda1 5e6161 848f8f bc1320 d0c7e0 e672e2 ff5f15
0161fb 506204 59a9e5 8b5998 b5dbf6 bec423 c54563 fe8c9e
0162d3 8894f5 937487 96e9fb 97361e c6adb3 dc6347 ffa64a
0163b1 0db01c 44740a 4cf6c1 8c7771 b0e32b e07eb9 fccbff
016490 2ac9a4 65878b 766141 b46bee b77200 d4c3fc dfb02f
0164a8 10f418 23b050 816868 848ba2 ba131b be78fa c6bcf6
0164f6 714a8b 778289 8cfa88 9cbda3 ab5443 dec3ef e48f34
0165ef 09f35e 57a75f 72737c 8c2a8d b21f11 d5def7 da83ca
0166df 02b6f6 617631 77e21d 982862 98a26d bf74a6 e2c4c7
0166ec 05ef50 54a1e5 656d93 9d2547 bdbcaa c5e2f1 c8703c
01676e 3ceaa3 6b8d82 895035 b5903a c3dce9 dcd51e eb27c5
01677d 44bd3f 66fb80 6d6f43 8a9499 cdaaff d637e7 ffbad2
016873 7587bc 7b40d4 8dd053 ac4540 bc988f cdbbf2 ffc8cf
0168ff 07b4fe 615297 78a39e 8f685a c5dde6 cac869 db5503
016961 2ba68a 617b2b 84ad3b 92ec02 c0a6e8 c449e9 fbcbba
016966 659687 7024ff 81622c 9eae11 ace7e9 c648be e291f8
016a6b 63c300 7642ef 9c89d8 a28670 bbe2f7 d5181a dcc4b6
016a93 46ebb6 728d69 894506 93d305 b097b4 d85bf1 fac1f6
016b8b 3efe30 7206f5 8b75e5 a6a99a c78c22 d11d4d efb9f9
016c29 3077fb 8df320 8f4e90 aaa8bd bd9612 ca5774 e6c7a8
016d32 26b992 6942e2 8a83e3 96668a b6bdef d49b0b e2d881
016d89 359de9 72f4bc 823dfd 9d2649 b7afbd eac250 ec062b
016ed3 1abbfe 5c585b 75839d 8deefc a15a1c aac299 e7b921
016f0a 1e59f6 6392db 827c74 8bb501 a43b89 b0efba f6b6f8
016f24 04a574 21e766 719300 9f31e8 a23475 cb6daf e5cbed
016ff3 526b18 6fa0e7 9f165b aca921 c8cff1 eed6a9 ef3490
0170c2 0cabed 6a5770 a8f3a3 e1d2de ec1539 f0b509 fc679c
017178 06a9ae 959f79 95cafa a55522 bf5afa d4d1c6 dbb313
0171e3 31e186 823884 88768c 899fdd a2351c c47933 d4cdde
0172c3 05b90d 615d11 9a8ea8 9f606c ab017c b1f1a2 d6c4de
017458 19f8f6 775006 81affc 9194a5 958300 b536c4 c9d467
017566 04fdb7 22bf9c 6841c8 9b88c5 a57a38 bbc6e1 e5cd48
0175fe 535783 648a95 76d7e7 7f5423 cbea4a dfad93 f66822
01776c 7202f8 72cd44 a0a58e a653e1 c24300 d6ddcb e7aadf
017842 12d02f 704b71 887f8c a39eeb b12cdb c4dffb e6bdae
01795f 0fdf83 717c20 882ca0 8caaa5 adf606 bf62b9 e0aefa
017a22 1ed354 5c595a 6d3adc 938774 9884f3 cb4d9e cdbbcd
017a79 01c309 25ff58 8f4607 a224fe a7cbab ac8ec6 dcc5e9
017b87 4fc217 62fb81 865a38 9a47e2 af8fe0 c3847d c3d6d3
017ce1 407619 5bbcdc 695470 959d9c d5dcd9 ecbb6e f84360
017ceb 3beea6 4f5787 838393 99441b a5d30b df7358 f2c4e6
017d77 674ca3 92ab9e a4f0bb a5393a b584d4 da6f37 e0da4f
017e00 1e97dd 615893 6fde10 83656c 92a29c d3e1c3 f5b3e3
017e02 2bb80a 6bf1b9 7a7375 902489 c3ef44 d9a2cc da38e2
017f79 11d58d 7b399e 867e47 888aff 93b502 9cfa2f ecb1da
018069 6cc68e 8e2d7d 941ee1 c5d0e2 d51026 d9bd12 ea4ab8
018133 12d6c9 615a62 819487 824ff9 ad66a9 c094ff ea9d57
0181ec 2d6c06 50fec5 735a80 a69d02 b7e303 c3636d fd9ef4
0182c2 7ab1e8 875175 9b9ea1 a0e928 aa120b c36658 e2d1e1
01832d 20ff26 5f6061 8e2b8e 95b2f9 9a8a83 ca33ef dcbdb4
0183f3 01f0df 2d710c 77add1 902c7f b6ec8d d74a70 df9e0e
018494 43bfd4 4a6a01 7d4653 9856ff 9ae342 a38d74 f6d3c7
018621 2cafc5 75f9d2 828284 87396a ab4ae1 b8d915 bf9d78
018839 40bbfc 525c59 863e8e 8b51f5 9a8ea3 abd26c ebd0e1
0189d7 2bf3f0 536b79 8101de b0ac25 d91539 ec8da4 efdc96
018b07 766662 7ab370 91307d abeab2 b93af1 df5a9f eba5e6
018b7b 7a4187 84d953 9933fc 9b3c1d aa98ff d5bdde e15804
018cc9 5644ca 666c58 a5b399 b41e07 bbe5e3 e7c41d f54d0a
018cfe 526f77 75e4c2 7e17ea 8fa3aa b55f27 d6ea0e f98f60
018efc 0b6c59 5ec9ed 757fa1 806412 a2968a cbd6b2 cd9008
018f14 23c39b 585f45 83f6e0 9864e5 99397b afaafa dcc250
018fad 5f831b 6e5d57 81d5e8 9e8885 a20ffc c4be9e f2a21f
01908b 5a4ab6 70bedb 73644e 839d30 9a71fb beddd3 d6d506
019105 50cd55 525e4f 9a8f8b aa2384 b146e1 d4d1ef fbd3b6
019538 7c5460 94b3f1 95829c a00486 b8f40c c13ee2 d6c3a2
0196f7 37e13c 395f99 6d666b 9c402f bb9593 c1cdfe e9d8c0
0199e7 1df627 567e45 6d489d 9a9caa ae950b cbe8b2 efcae4
0199f3 0b5ac9 66d545 766a89 904d4d aea2aa cd4905 e7d3e9
019a9a 59751a 6ae0e4 a107bc b18e68 b28ff7 d9e0b7 fba731
019b79 214eff 286922 928e1d ac298c c7c7cd db74f6 f4cf60
019ce2 654ee9 6e7f62 932d77 9ce2ec b598a5 cfe914 ef1504
019d88 3df2fe 7564b1 933953 9bd82f c885ff da2104 f6c0bb
019deb 367112 64575c 838d88 af0695 babedd dd8e12 e5c48c
019ec2 5ed0fe 5f55dd 6f577f aabcae b93e04 c7a339 e8dd8a
019efe 5a5eba 655766 6eac6e 83f7ca 94631e b4a4b5 fccd1a
019f00 30bef6 786656 7a06e2 b8338c cae3e1 ebd487 fb67ad
01a1f0 64eaf7 72581d 7848c0 98a8af bb586d e0c2a2 ec9624
01a218 42683e 76e7d8 802afe 8f6cb5 b2a5f0 bbf019 f49e7b
01a31e 2d664b 89f9ae 9758d5 98347d bcd516 f9b4fa fa6aaf
01a33b 2ddc4f 56667d 6a5445 922ffd b9ebbc be6fdf c8bdd9
01a3a2 4f50fb 5c645b 7ce2dc 983112 b89afe bceb49 bf8952
01a3de 567d85 685649 79fca2 8142e5 8b865a a3c430 eeb7cf
01a6a4 4fd8f9 533ae8 874f5c 8b6ed4 9ee011 c1955c f8c7bf
01a764 11fcd3 3e53fc 6a5a36 787b86 b2e440 c375da d8baf3
01a7ff 0b6cd6 6b5076 84b71c 9582a8 9a5f2c d0e476 f4a6be
01a854 5e6150 862df0 a61402 a995b1 af3591 bbccc4 e8d468
01a8d4 0a50e7 417d03 7b5b79 a0b24f b57173 bfed97 f0c6db
01a98b 5a623b 7160d5 72e56a 749628 a43a78 c39add dcd7ee
01a995 6258fe 6f5871 a3baf0 aa0c03 caa322 cb5453 d9dd94
01a9df 2f60fb 645a4a 93f0f4 af0c91 b9a198 c8780d cbde89
01aaf8 5769cc 59ecc6 655563 90afbc 9c6835 da8e09 f5d858
01abf0 5a5a7d 77ed7c a420e2 b38490 d82329 d8d3f0 fb7900
01ac00 675920 756ece 8defe3 ae6483 b3df07 bc9ee0 e9aa8b
01aca9 4249f5 537013 55def5 9079e1 ba2d6e bfa94d c0d7ba
01acd0 2661e3 6f4e66 7c866a b10715 bef23b c77707 e6ad99
01acfd 2269f0 69e6fc 836f90 93b4b0 bb1d44 cfe1b0 e8b129
01ad5e 4759ea 7d6395 8a4f20 8e9da3 9af2b7 d0baf1 ffc032
01add0 40629f 874156 917b27 a0dff1 aaab90 d1e7a7 ffb91b
01b083 067266 83def2 a91a14 b14fc0 c7e5b5 e44b11 eebd11
01b378 08786c 40f3b6 764ba6 8ac700 ad70f7 c1591c d78fba
01b38d 454bf7 8074b9 83474c 97eec3 b2b2ed dc573d e7c159
01b437 7c4d3b 7c877f 8900e9 a0fa0d c8cf91 d544c7 f79ae0
01b444 387628 4c33fe 61ea09 7f6cdb 826179 bea9bf d3e0cf
01b4db 207308 6666fe 6decf8 828d79 9f4b86 cfe4c3 dfbc13
01b5e4 306a0b 3874d5 3efae4 7d9c20 9b7b7d b8cf3b dfaa9c
01b8a6 066fb2 617478 94d542 978926 a60c3f bc9ffd f5c5e5
01b8b0 3f667d 7f00e2 897afa 955116 b4ebbc cd882c e0cd02
01b8fa 3d7bb3 596466 765313 859303 8af20f b5b8c3 c18581
01b93c 1d8216 69f222 6f4cd5 8a3b73 8f7779 d5b7d1 ef74fe
01b99f 34f3c8 457c69 892ec6 b46abb b6c0f0 c54f14 f3c244
01ba9a 0654f6 40fdce 476e70 b575dc b5c1fb bd3d1e d9cc22
01bbad 5c2fef 616727 797cb9 adc5ff bb3374 dfdd1a eb8d60
01bbf8 6f8765 753ca4 a53504 a6ebe5 b085a6 e4d498 eb8210
01bc10 416266 4572e8 98dc89 a5362c afa0f0 b97e9d e8c7dc
01bcb2 5151ab 51fbbd 655e65 7d7fd4 bb2203 bbd437 bf7959
01bcdd 1759ff 69699d 969f19 a22720 a2696c a5eae4 e4ce14
01bd0c 317a61 743eec 925d9f ad1800 adb7c5 ec74fd efcfad
01bda0 288480 7af7da 7b6a21 a79f02 bce451 ce06dc f09cf1
01bdfe 106edc 5d5b5c 8ea49f a8e7ec b21900 cb6751 d1c50d
01bf58 348414 56f790 7b7881 96108f c4bcff cea5b5 d047c6
01c0c5 187722 6127f5 797cfa 8bac50 927076 9aefdf cbdb05
01c10e 24fb73 3a62b4 848ca1 8f7b60 acbff6 c21201 ddc8c6
01c285 4bfeb7 5463b4 616140 a38de1 ad8c02 ccd0e4 dec329
01c2d0 0e8721 8cf3e8 8f75da 943765 94b018 e9d18e ee6898
01c396 3e6567 899a03 92eee8 a244b6 a3aadf b11e12 cbda3e
01c3d8 4b7f19 503df8 886ea9 92d161 b31169 c38e95 eecfc8
01c4fd 45992b 585f6f 6e542a 9ed464 ac20e2 ae90ad e1d5d5
01c5bb 0970ab 6e7169 8d480e 9194f3 a2f1c7 a6892b d5c54b
01c5fe 4867c6 894c50 94fa72 a183a6 c74214 cdc4b3 ec8651
01c60e 4e52da 5b8441 77627e a584f8 c0eb99 c88a9a ebc5fc
01c6c9 446b4e 72487c 9a848b badbba c21ddf d0b82a d95200
