# colors_mcd20_mld2_nc6_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
05d274 0046ff dddae2 7a5396 e088db c62b45
923a2b 929c7e 68e504 007680 b74cfe fdb5d4
e3a271 007716 a9ecd5 49b8c8 9b44bc d3527a
02b60e 007840 cddbdf 9b9da1 d744f7 9d2482
ceb13c 00784a 1be9e3 816fe3 675879 f37294
c37d58 7d4c00 ebd683 5e6362 aac5d2 0078bc
be8801 e5d500 56725b 0078dc aab6e3 853e7b
ae9487 fabe4a 00792c 99cbe8 8e6bff 8d547f
fec97b 84c7fd 0079dd acaeb0 83457b c95067
8f4d07 d88020 86cb95 007a78 8152fb b591d1
9b3316 a7d38a 72f7f1 007a79 9044f4 ac94c1
5e712c b9f25b 007bed 84b6ec a0146c dc7b7e
be4d03 efb344 7e9582 007c92 c0d8f0 c171fc
596311 88d543 007f68 e0daf0 8d50ee c88aaa
f5a419 c7dcae 008030 7596f8 8c22de ad4888
5a5f13 c0c682 799518 00806c 45c5da 9e20b7
56611f cce2bf 2ece4d 0080dc f0bceb b86b80
c9cc89 00822d 8feff3 5c5f65 ac20ee ea68c9
3fc93a b8ebb9 008240 d9c5e2 8f08ba b173b4
d1d8c2 476605 86ad5c 00848f 6bc1fc 774be8
954827 f0c34a 93ebdf 0084d2 62546b a09799
c9b80e 008502 82f1f3 30a8e8 8a1dc4 8c878b
7d6b1a dfdf1d 69c985 008594 8507ed fd4ef6
cf6f2c dfd9b3 45f702 8e9597 0085be 943348
e42301 a0c16a 6efad9 00866b 7349bc cc93c8
886710 bab039 a6f2b2 82aaa3 0087a2 7731e7
d5b1a6 bb6b04 7ce511 585d5a 0087cc dedafa
a07f21 22f067 0087e8 5f7384 ddced2 982e33
bfc65f 00882e 85b7e1 b25afe 9f0f72 e96091
74ce13 008909 646065 a233b2 e5d1e5 f35bab
d16522 8bf691 829ba0 4b6570 0089cc dfb8f3
e0d5b7 60892d 71e322 0089f6 7d4185 d17495
bfe1b4 0ed32b 008b41 a288ff 6c5a9f d48aad
546412 7f9e1a aaeca5 008bfe e9aef1 b84e86
d6d9a7 79bc0b 008d47 763cd6 b08bda 904e7d
a8d17a 009145 5ceef9 8f72e4 91456d d587a2
c8b716 526202 02f6c5 009187 a09ce6 b213c0
ac2806 d6863a 79e8a9 00929b a62dfd fbc2f7
70a82a 64ee13 027041 0092e0 6f5e81 df99a0
c52925 cad5c9 1de81a 00937e c851d5 dda3e0
ab1b07 fcb833 909c87 c3ded1 4f6973 0094db
bbf028 009502 5dd89d 6c47d6 df89de a75975
905a46 ed9c51 009590 adc5ca 7b5ae6 c593f6
abeb81 5d9937 0095fb 6134e0 8b7082 d1a1c0
975b57 c1c15d 009699 97eef1 5d35e2 a277ff
ace83a 009a28 75b5fe 7a5ce7 a4789a a60e53
9bc549 009ac3 5f49b0 e5c4d6 a7587b e2013f
e6d34e 009b5a 41fbc8 b6c0e3 695393 a378e8
c5cb56 6c8e5c 9bdcc9 009cd9 325aa3 6f5b65
7eee46 009eee 949ca3 8a3291 fbc8fe fd1a37
c0534c dfb844 a0edf3 009ef5 a0a5a8 4f609e
f48057 845012 00a1e0 ccd1e8 663ff7 7f7887
ac7d1f cfc6ae 9ff70a 00a3ad 7544c7 a0154c
525f31 b6e481 00a614 c396fc 9917a0 c67a9a
9a4e39 f08f48 21f5c1 00a6d7 6c777d 1964b5
4d6e0e 88b74d 00a6fa 2569ca d2bacd 946675
81601c b8aa2d 036f67 00a7b3 d9d8e5 805bd1
ad2a19 bfca1c 00a868 9bddd4 7f7a8f e45ef3
6e8812 88d568 00a9b1 dfdae3 a13ae7 993973
973324 bc7661 c6c7ba 00aada 7059e7 706173
e6ca00 776e01 c8e2e2 00aaf1 5758bb d55e85
4f6733 add97e 00ab1b a287f4 e8aed8 ac4486
99774c c2b463 016676 00adca d3dee2 9340f6
e2a932 989a84 b6e4d9 00b1e4 824af0 982e42
326810 10f47c 00b35a d1d6d6 d689da 8e4284
e3912c 856302 4d615d 00b395 8779e0 e1d4e7
ecc1b6 666522 00b501 1b69cd bfb4f5 d16691
eb4017 fdbe5f 00b5e1 5d6f7d 8a29df dbd6d7
e4dabc 237a16 00b605 bbcffb 7336c2 ab6fbd
825144 c4e297 00b63a 899395 4d50b2 eb67e9
e2a75d 996b20 a3e7da 00b6c6 2a44f9 70639a
5c690a acd5a4 00b82e 2a46f3 a85ca6 ea9add
cfaaaa 036f10 00b839 b8d5fe cf01f8 826983
a23007 f0c4a8 00b916 546862 c1b3fd b441ca
abcd16 00b987 6f4af7 a268a6 fba7f9 a42835
91ec1a 3b6543 00ba48 1662f1 c49ce8 7f6490
615f20 8bf75a 00bd54 7e71b8 bfb7cd b21670
a3d771 458f22 00bedf 8f56a2 a11252 de6f8e
d9c89b 758f90 00beea 3d58d2 5f5673 e51949
dac0a1 00c017 b9e0ed 7281a6 9535ee 8c3f44
986327 f7bd0e 00c192 cbdde9 596472 e959ca
bd3833 e4c50b a1c9aa 748882 00c1e3 8e388f
67781f aaee81 00c203 7021eb bb4f9f ed94c0
cfb3a8 9ce703 2d7710 00c2e5 817e8e a23fce
a89a11 e4e50c 456811 00c5b0 7774fb ab4272
ea7922 00c698 557672 9452e7 eeb8ec aa142c
9a520c ba9939 93f81b 178b6d 00c7e2 685880
af8a31 bbc09f 96ef37 75867d 00c7fa 0a6c9a
bf6c33 bac219 00c897 3a6a69 8692b6 9342c2
8a6d0d 00cb39 076b58 881ef9 dbc9e6 e061be
9a8b40 b5d03e 479299 00cef1 844cdb 9c2b49
a85e0c d1e855 82927b 00cfc4 356e79 a153e5
8b9e8e 00d12e 0654ec d0abe2 9970a1 ba173b
de8f2e ccc7a4 00d1e7 0748f8 8c74c9 a14450
b02215 e56a5d cbd98b 00d4fa 5e86f6 5b585f
f59b16 157c12 b3e3bc 00d8e5 c218c1 9e8995
a12902 5f8f61 00db39 504ee2 997fb2 fdbfce
d39857 326815 7e817e c3d9c4 00dfff 217fc6
79573b ce9336 f0d6a6 718483 00e2f4 146eca
798a51 00e61c bdd3c9 0f55f7 d69ae2 a33775
6a9c11 b8beb4 00eb49 476cfa d98fd6 8b5457
6f9310 00f054 129af7 68549a caa2ae 8c5256
945a2b 98c61f 00f0ab 14aca2 7b68c4 f5c8fc
d9c923 636b42 9ab090 00f0e7 a86bd8 9d1a79
1ca011 00f108 aca9fb 635a89 c683a1 7c484d
ba471f 969d7c 00f42d 6c4ade de9dd2 6e5668
6b5749 d5b612 809588 00f4cc 085fef c2bcfd
d3b6b5 7a8e18 00f83e 356567 bcc6ff c521d7
959929 00fa21 40807c 9fbac4 c24bda ab0a19
cf4a09 a0d55e 5b6d5d 00fad5 9c85d7 7b4298
d76e5f 00fb27 3dacda 7753ec 9d1282 fecdce
b13d00 00fc83 88a7a2 3a7ae1 5e5b79 f2b3f5
c74e23 00fd36 b8c4c6 7640fc c37ecc 7c5175
637625 9edd8e 00fefa bf93e3 9211a4 e45389
935320 b9b722 00ffba 85b2be 8742f8 f0447d
f5b292 53732d 94e8f0 1f96f7 014df1 ab6584
c17409 d4ce4f 89edcc 0150fb a5acc9 6a647d
e6ab95 a87956 d3ec13 66aed5 0156fa 5d596d
b6a134 77743c b6c7ba 396264 0156fc 7893d8
c07c62 d0bf2f 85d6df 015abe 6b86ac 8e4253
68582c c2b73a cfdddc 84c7fd 015af6 f22388
fe3625 f5bea8 afe2f0 47a7fd 015bdd 667294
dcd01e 6e8c3b 34a4e5 015ec1 825b69 e9869a
97361e ffa64a 0162d3 8894f5 937487 c6adb3
ab5443 e48f34 9cbda3 778289 0164f6 dec3ef
bae116 818380 1fab1a 8df4d3 0166d7 e59bda
d4c508 779d44 95edb1 20b6a5 01686f a13ceb
d29d8c bf4e00 9eef2e 016960 c9bce3 814fd3
976434 b3c608 94d3bc 74968e 016986 d066fc
b66646 f3bf11 4ff6de 0169c2 a0aef3 70707b
ed3410 d3bd87 65856f 0169c7 a4b8e0 9b1873
cddb43 709921 016a4d 12b8ef 9050c3 ff859f
dcc4b6 837500 63c300 016a6b 9c89d8 832ded
cdd317 05a836 9ae4d1 016b6b 960ed5 d682ee
e6c7a8 d2850e 016c29 3077fb aaa8bd 8f4e90
aa4510 c0a18c ade864 016c70 48cbf3 807aec
9f774c e7b313 adceb6 016c7a 4aa7bd 8242f2
aa582a ad9789 30d513 016d8c 9485e9 fac1f7
016f24 21e766 02a669 923cfc e5cbed cb6daf
b2a61e 6a7a52 09ffaf 016f7b 90b4b9 be02f3
ad1200 807461 d3e38b 7ea828 10b4c0 0170a8
615d11 b1f1a2 05b90d 0172c3 d6c4de a47083
576309 07b320 55f7a6 017466 b7a2db c033ca
a97705 b3eb09 73a898 017469 8958cd c6aae6
d39f93 cfeb0d 01762c 9ad4e2 7500f7 a152b0
bc1c0e a08571 63d40e 0177ed 605c7d f8a9e6
c8e5c0 12d02f 017842 887f8c b12cdb e5bbe9
017a22 1ed354 a39bfe 9732f9 cdbbcd cb4d9e
d41515 25ff58 baccc4 017a79 7b1aff ac8ec6
f0d6d3 a87d18 85d81f 5b7360 017cf1 aaa2b7
998d8b 23dd15 017e1b 674e84 dc66f3 f9cdde
b06e48 95cf8a 017ebc 596066 9e9a9e f3c9eb
73781b 91e91c 017f79 888aff 711fec ecb1da
d9bd12 6cc68e 018069 941ee1 ea4ab8 ad070d
a69d02 2d6c06 50fec5 0181ec 735a80 c3636d
f1cfc2 786e03 a0e928 0182c2 9b9ea1 93315a
dcbdb4 bfec4d 01832d 95b2f9 7047dd 836893
ef7730 9f450b fdd2af 01836f abbdda 916bd4
994233 e07120 9adaa6 01868d 923ce0 da82f3
e4d26f 01882b 77f6f2 6d44ce a88ebd 65575b
959891 018b07 abeab2 bf57e7 eba5e6 91307d
9b3c1d fbb61f b0e3c1 018b7b aa98ff 9933fc
806a2b a49d80 8ecc14 1de3d1 018cb0 942d62
c24a2b b8b778 819697 018cce 416072 8bc3ff
f98f60 b55f27 526f77 8fa3aa 018cfe eecafe
42da1a 018d44 b1acbf 7233d3 c962f7 b1387b
a0de0f 018f14 23c39b 9864e5 ec96e1 99397b
9e4a02 b7a22e 019172 b4cdde a86bf8 764c90
fd5005 b6d291 01917f 803cbd e97dd4 af333d
84b51b 5fe7a0 019256 e0cafd ce53ff 962682
7b9131 aaf34b 019493 604fa0 b79afe 875355
ff8e04 356a0b 7d9887 7ae0c4 0194ed 7a5e81
d6c3a2 b8f40c 019538 94b3f1 7f57d8 7c5460
897257 97d350 0196ef 566078 124cea ed99af
bb9593 9c402f e9d8c0 37e13c 0196f7 395f99
8b935b 585c45 85dc17 0197b0 782cea ebc8d9
c4452f d0d74a 8ac3a4 0197fe 664a9f a2728c
db5d31 f1b92b 8fddd0 019891 8662f9 7a4a4f
cd4905 66d545 0199f3 0652dd 766a89 aea2aa
b37f09 96f18e 019a98 c7bee9 7a4eed 9d383b
c1cf4d 667411 019c79 50ebe6 9d4af3 9d0683
da2104 9bd82f 019d88 3df2fe 7564b1 ad94fa
e5c48c 367112 838d88 8dd2d5 019deb 8c1df9
c7a339 74661f aabcae 019ec2 77dcfa 6b45bb
786656 ebd487 019f00 0cccf8 7a06e2 fb67ad
e0c2a2 7dfd03 01a1f0 4156b7 bb586d fe1621
d91b10 80ed4d 01a276 3749de ae92de 736082
bcd516 01a31e 2d664b 7ce5fd 904cd4 fa6aaf
9c4d30 c7a251 01a395 a8c2e4 535a7a 9173d6
7b514d be961b 8bedc5 01a6f0 255be6 858090
d49b3b 656718 70faca 01a9aa 7b4ef0 974b6a
77ed7c 01abf0 5a5a7d 4e4ef8 b38490 d82329
765e10 baab31 a9dabe 01acd1 675ced ef4189
8a4f20 9af2b7 01ad5e 4759ea d0baf1 9f80a4
ffb91b 917b27 b6e4bc 01add0 40629f a11850
98d510 01b06b 2e6d7c dc7bf8 ead1ea a12336
7f5b3c db9b03 01b07d 556e8e dadce3 b26bfd
e44b11 eebd11 01b083 067266 83def2 b14fc0
b33122 cc9101 bee07e 01b085 6e6ca4 b291fa
b1543f c9c01d a2e3d5 01b2d1 265fe0 83607e
b4ef59 196d23 01b444 7f6cdb bea9bf 826179
80f961 187027 01b469 ae96e4 a833db f1c4c5
c8e028 576509 01b558 a6e9f6 be90da 9e24a9
b8cf3b 306a0b a2e3e4 01b5e4 7263f4 9b7b7d
efd2c2 60642c 01b81a bbcbf0 5f6da7 af8690
e3b512 486820 b3e7d3 01b8f2 5e6cec ee5174
8f3d03 01b93c 51f787 6f4cd5 d5b7d1 8f7779
c3d1ae 01b947 3f68de f9a2e2 9a7588 ac373c
aa2e01 eb8210 6f8765 a6ebe5 01bbf8 753ca4
bf7959 bbd437 01bcb2 5151ab ae82f9 78545e
74832e 9bd082 0c7f81 01bcef a43cd9 e5d6df
ad1800 efcfad 01bd0c 317a61 adb7c5 925d9f
c2b62a b5c9c7 01bdf7 1e62e6 787c89 933549
c8e38c 748361 01be1b 7b37d2 c463b3 d9abc3
d47316 a1e99b 11806a 01bee9 9a50fb 794887
db3c1a d7ba73 b2e9d6 096d63 01bff6 8b57ce
b82815 8bac50 8cf647 01c0c5 6127f5 927076
efb124 8dab7e 0e8721 01c2d0 8f52f9 7a5a68
e87604 cdd193 558a70 01c4c8 7948a2 bc0c10
397c35 01c578 811bfe b279c1 7e4e67 ded4d6
ec8651 01c5fe 4867c6 a68199 dfc3c9 894c50
d6e41a 14781f 01c66d 902bea f298ed ae538a
ccb242 616620 8ea596 067879 01c6da ca2bdc
a3600e dedbd6 01c85e 4f655d a262d7 fd91e8
da3803 686054 b7a77c 9cf709 01c9ee 2b78ba
f6bc0e bfc1bc 6c984e 01cafd 334afd 866682
f6cfce 7f4d19 9f937f 01cc21 1e72ea 60616a
e8684d 903b05 a8e70c 01ccc4 41767e a472ec
b4382c bec626 4d8576 01cdcc 63537c bb4feb
7c6322 01d15c 4b5f80 347ffc e4d6f7 d483ac
eebfb5 01d628 4d67e7 a6a5f4 893b7f da325d
b47304 01d66f cfe1db 465ee4 a09ed7 7c6684
c8e7c1 01d82a 565ace deb1f7 fc589f b82d51
387c23 c0e8b6 01d833 9e7bf3 cfb2cc 993c8b
ae6e1e 01e571 367565 a4a1ff 8d4dd7 b39cad
0c9811 01e975 9997bb 68666b b121ea daced3
657305 b1ee53 01eaff a92ff6 972d6f e18e94
ba2319 01ec1a 738efb 3855dc 796f7a b7a1b2
854802 01ed7c 0a6ba2 9d9ac0 d9d6e2 d24d68
d93014 b3f322 01eea3 715d94 f069ef 9d979b
9ed864 01eef7 6876d9 873a6e be023a d6708a
01f620 28987d d0d6de 905eac d394ea a71a1c
d5ac56 0b7305 78baac 01fafc 9255e5 ad357c
a07978 6d9b0e 156b1f 01fb70 764be2 caabdf
217624 21b84b 7e8783 01fb9d b232a1 ffabf2
c6cb63 818b15 01fdeb 6f5cf8 c67bb5 8e4f57
b8d1b8 01fe20 4aa1b9 7254bc a3294f ff1e3b
d9d940 32832e 4ae3af 024df9 b66ec0 ad246d
596831 88bb39 0250f0 a17eec c0337f edacbd
cb851f e0d429 c6dee0 4999da 616872 0250f7
708907 a9f353 5d94bd 0251e2 804c68 e08387
e1c9b4 93c208 42700c 0e9ddb 0252dc bb677b
f53713 e3ad84 c1d9e6 0254ee 8b8cf7 9f6988
ed8131 5e8877 0254f0 b982d8 fecbe0 c6001b
d4aa1a 4b7c4e 9fe3a8 2cb0f4 0254f1 f844a4
12b480 0255f4 5c5871 d6cdee c886ea c71d1f
cdd07d 77a717 417411 94cbf5 0258dd b5547f
c5d38f 3d8407 72c0ff 0259f6 84779d a7035f
ab2e05 ac7f68 dde171 a5e1dc 6a9bb0 025bd0
556625 69a92d 65ef2b 025cf0 bfa4cf b34b89
cee79b 025dcd a07aa6 edabed a13a5d f34d4f
d29781 a95826 bfe236 4e9dd2 025ddc 6b687c
b41203 ebae36 b2e3c9 54b0d2 75797c 025fad
fa6d50 efde3e 42eae6 679dcc 0263ea ca0b3b
b6461b d1eb50 737c79 026498 7088fd f79ac7
a1cd08 667b33 07c187 0265b5 d4a2d9 754b59
8f4e2c d39260 026678 ac8ce2 a123f7 f4d0e3
ae6b1c bac917 04f6b9 47a894 0266b4 dd82ee
b2221d e47a37 bcec0e 026868 67c2c5 8d41dc
c1240a c7b45c 595b58 749882 19c6d6 026aa7
7d9315 bde094 026b4f 0ce7dd 832de8 b8539e
b9af4f 026c1b 4efeb7 737878 bcc8e1 c54bbf
d8cfbf e6a60e 8c6b11 026c6f 74ade9 8e55f0
9a3d24 bfde1f 05bf86 026cea d892cc 645460
f28d4a 7d6830 a6ebdb 026d71 69aaf9 844fec
aac001 02700d 4ba869 7ed5fc 9767f5 983f76
9f7f60 7e4b07 eec703 a1e5b1 027074 17a1ce
879a04 cbe85f 46ddba 027081 9d30ff d788d4
63fe1c d0d2d1 027143 3ba77b fa85f8 865080
a36637 f2ae57 a8b6b5 4e646d 2db6f9 0271de
e6dc99 655e23 96b71c 91e4e4 0271ee b66b7f
df4009 d5ba58 0273e8 9ccaff 837689 904349
8ad618 027528 c053f4 980394 787076 ecc6d7
ff4b00 c4b08b 5f5e50 abf702 0bbcea 0276b0
bf2f26 f96f03 768077 2de78b 0276e4 d3aeec
e2a924 3b7630 56b68b 0276f9 c8bcee 997ba0
83ab3a 027711 58f69a 31a7af 9048e6 744d5d
be9537 e3da70 02774f 95aba5 4fbafc b40ce6
cd6004 f6ad2b 027761 849fa3 d1c3f3 8d40e3
9c9e49 9bf251 0277a2 9298ff feacd2 8f4849
ddc508 72840e 59f8bf 91b5c1 0277be 99275d
8b413d bae232 74a40c 40b3ef 0277c8 887582
77563e bda96a c4ea31 80def4 7f9ba2 0277d4
5b5f1a 84f144 95ad87 027c6b 9338a6 e3a8e2
f3443d f7d45a 99aea4 027c7e 75e6fe b27ae1
746766 e3dacb d3a321 027df9 7e8da9 b2c8fb
5c6511 9cfa24 60b53e 027e6a b97dc4 dfcbdc
df5611 d3c16f 027f70 a7b7d4 b547eb a60e19
d57605 19fd64 b9d5c3 0284c0 e8acf3 914e66
8c4e24 76a438 028683 04c1fe 6b44ab c1b8bd
e4ca5a 028709 acdfd2 8517ee a567ae fb5774
c67b6e 7b5d18 e3c762 b9c6cd 0289e6 525b7e
92ec80 028a53 575963 907ea9 8d26b5 ebb7d3
d6cb6e 687a22 1dfedb 028a8c babefc c940fc
b07d61 844826 66d12c 028aca 676370 c9c2c8
dcc65e c2e6da 028c83 0fd3fd 834ee6 e7151c
85481f d9912e fad788 5b6567 0291b8 55d0f7
02931b aae6ba 565a70 d1b6f3 dd41e5 998183
df9266 7f6c25 98bdb9 0293df 5735f8 c73789
c9bb0c 9bf2a9 02984c ad8dec 8d32e3 a54a88
e97f0b 745f11 e5daaf 0298a6 a5d0df 8a41f4
66655c 9dc76f 02990c e629e3 99098b f0a7dd
c2d145 576d51 83a78b b2e2e9 0299ed 903e81
cdb719 4e7615 029a8a bebde7 b068df 73458b
e3a109 029af8 b3daf3 485aaa a790a4 b24a61
b5e582 029d1b 1dd9f0 86899c 842fc3 a2154b
9b4c0c 26e79b 029e87 0b53de ac91f2 f6cdec
d9cc29 029f37 8fc0b4 7c3dc8 f15fe1 873f4e
faa31d 91967b 1b7a04 7de5e8 029fc7 8d3863
d8df7f 676f60 02a129 81d2d9 9886f3 8d1fb4
934f13 8e9f07 41eeec 02a1a1 465e80 d603f6
b01e0f f5aa15 02a368 07fab5 78768a bfa9c6
c7952d 627756 c1e5c7 14e9fb 02a5d8 1860b6
deb148 136f12 cddfe4 02a5f7 705c9a a16b75
69f94b 02a653 6d43f3 d373cd 7f677a dcc6c7
e6932a 796a4f c0dfa5 02a7b7 0e52f9 922879
bc620a eaad6d 596e65 abd0db 02a7fe 1952e5
804a0e a3e282 02a819 8d49d5 d9a2ef c85a88
ca5b34 b2c72f 74edc3 02a89f 575a5f 9b48d3
02a92f 77ecd4 b0b0e9 7335df 946bad b51465
e53126 84dd16 497470 02aae4 8b2dca eca3a5
f6a402 366f1c b6cfae 02abb0 2df0fc 8d6dfe
eec917 668f0a afc6c2 02abe2 2f67aa 80495d
992f27 02ac06 1bfe39 b6bebf 7c7e86 d18dee
efd3ba 9ee304 3c7829 02ace9 783f8f c66485
8f3e1b adef46 02ae5d 625e6a b248dd c8a6c2
bccf99 196d1d 02af35 8b41f1 c57dc7 834c7c
a25520 e1a52a 7f8c82 b1eec0 02b1d5 7b4ea6
9f7c28 fbc53d acb69e 02b1f2 4065bd 5f5668
bc2626 e68d15 a9c1af 02b3d2 60727a b32ce8
b08d77 adda32 267a19 02b4db 8a49e0 784d61
9b8c70 e4a108 5a661e 02b4f4 cfd8dd 7254fb
934719 a9d621 54fdb2 02b589 3c6d8e e17df1
715445 c56105 d7bc17 74f7e2 02b5a0 485bc7
fdb2ae 6c582d aab726 02b7f9 4d62b2 db6182
9ad64f 2d7837 02ba8a 8872f7 de9ad5 bd3294
ee4620 fdad89 84837d 02badb 8442a3 a41d1e
02bc69 35fda8 9b6fe7 72507e d1b4d9 9f3e43
7c7a09 96f237 02bc88 245dd4 ffb5e7 ab3e70
8bb24f 2c804e 02bdfe 6f25eb a95198 dec0cb
f69f71 6a7b28 bfd8cf 167264 02c0de 9145ac
02c10b 6ffd8e 546e5c dbd2df 8d1cbe d056bb
a81111 cc853f cfd68f 02c1b9 516968 9f35d5
eeaf9f b7d708 248315 02c2f1 9550f7 c96788
dae807 5f6913 9bac42 288e85 02c2f4 9540bc
8c4008 e5cb1b a2cbaf 239763 02c4f2 875dc1
97fb28 1b802a 02c862 8560bf c2b7d2 ae7288
94a30d 516616 adf07e 02c8de 6d6fd9 d4698c
c88c37 845c22 e4d604 02c99c 46787b a45aec
b2f201 637358 02cc89 766cfc cdb4df 873889
b7ef47 02ccb1 6e7dac 1949fc cfa1ff e44856
954206 e5dd86 8ab00c 68736c 02cdcd a64dcb
963427 d37f0e c7ea03 02cea1 346cac 9ca6ce
a74c3b fd5803 cae731 02d09e 7d7f82 5a64ec
bbe800 02d0a3 702ad9 b082e8 a05d8b ca060e
e9d440 0d8750 02d0a4 c0cdf7 7d0ffd bd4fa6
af9788 a4f566 187b34 02d3e2 dd34f4 a51180
f1ba83 73633a 43ac09 07686b 02d5f4 8162d0
827830 02d653 919ea3 3771cd b5106b fbcde6
02da14 c0d1cd 8958f9 bf96e1 be6c78 b61019
e07367 9b5009 c8e744 02e2e9 319cc1 3e6180
c1a891 9f6a1b bcee73 02e6ef 2b9db6 5052be
559820 02e819 a793da 942aad a3084d bd8794
d75701 99d404 02e8aa 2e6660 5e999a 9051f6
b03108 02ea1a 4ca06b 4c665c d2deef c737e3
858e0d bee943 02ebf1 1e70da a42d79 e777a5
cec638 597772 02efce 8403f7 d348bf dc0721
b68c61 6b6128 02f449 47949b c2c5c9 8a43ed
e8b34d 6c7f18 0f6a55 02f7c1 95adba a754e7
d79393 bd523f 02fa55 3260f1 abb1d4 7a576f
dbc215 6b825f 02fdd6 4467cc aab5f6 7f4a70
8b5133 cc7a0a 02ff34 187cf8 94b3da 535883
c89e0c 696529 36af89 a5ecf7 0346ff a198d4
b79c84 a96817 2a98de 566d7e 034de9 ccd0f9
f1d2ab 7d6947 4cd300 0352fc c0b5ef f26298
b8563a b0ba00 9cd0b5 0354ec 715d80 dd7bdf
e29c80 78695d b45608 0357fd 7a83b9 e4cdf7
b49b58 706d05 b5ec6c 679291 28cae3 035eb5
696834 41f273 035ec9 6793f1 c1608a cfbbc0
c65906 d6cc33 57ad7e cbdef2 035fd4 e67be4
81772c 48d115 035ffa dac9f4 f749a3 9c2a60
7e5337 d6e826 0cae5b aacddb 0361e6 8a7fa7
ca940c 797560 4bf793 0362a8 6c94b8 e6d5ff
a9a33e 48ffa7 28ad94 0364a6 feb6f0 c21547
e6e51f 6e7b2d 9fad91 0367ff c784c3 95407b
8b4241 e5664c ebbe1f 71bed0 5f7280 0369df
f1c645 3ea871 036a4e 58fae4 724d92 ca75e5
938603 c9c20e 036b3a a5eee3 43a69b 8549d6
e7986b 78781a 98cdd3 036ca8 b691f7 a50254
8b8e0c 1ee376 036d38 7775cf 8b4777 daa2c4
cfcc63 6b9346 036d54 a0c3d8 cf6dfc 844f96
5fc158 d4dbd7 036df7 904379 a59299 bc1a27
748c16 89e988 036e46 4ca8cf 943c92 edd2e4
d5d12b 036f02 a1d1c2 0da8d0 7850c0 b96176
bae83f 4b7302 78ae50 0ec7f9 036ffb d670a6
4fc902 037004 ebceee c812d8 bb8cb4 815c75
a76e1f bcb76c 84aba6 bae7f5 697073 0371ff
ec9b16 037215 12a584 c9d8e3 c97ffc ad0db0
847973 d1d3cb 5be860 037509 b321e3 e386c7
a3ef22 48b83c 03751e 7f6dcb d1b8de ac7885
