# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
004ffa 447c62 9593e5 a0edfd a7ae0d af3108 e69f97 f81ca2
00adff 27f27f 536264 8921a5 938e56 bd0204 cad5f4 d36aae
00b08e 2349ef 7f4e73 83fc82 967ded cb1514 efb2d5 ff6927
00b0a7 693dfc 70e9cb 714693 917df5 b8724a c5c1f7 f0b013
00b0f7 2661f0 46f5bd 8e7244 982181 b8b20b cfdbfc ef5698
00b0fe 24feaa 2b76d8 883c6c 92acb4 b11338 d3a832 e56079
00b0ff 19fb65 5a4fb0 a29613 a7ccb2 ab243d e8d2fa ed5daf
00b21b 246dd7 6ff155 91306f 987364 a3a6f3 b6100c ffccc4
00b22e 2efdc9 6555c3 745a14 94a797 b2e912 b8316b f295d9
00b231 6833ed 6df00d 8a6062 a499d2 af2b13 ba8e90 fad1c5
00b2fe 54f8f9 674fd3 8d7c78 a90b1e addb0f ce792e dba5b1
00b4a0 47fea4 647293 8c4019 ac32f8 e2d802 fd90f9 ff6753
00b4f1 1dfdbf 286f46 758d19 8519c5 c0d6ea eac83d f131a0
00b5a7 097a0d 29eaf6 99c703 9b0a80 9f1cf7 ce61e7 e94d5e
00b5d4 6a4fb5 8bb391 8deed5 9d6378 a4172f d9cc26 fc3b33
00b695 605855 68fb9e 7881ae a72d08 ae1efa d27b44 fdaee0
00b8f9 306fc2 7d8419 819e9b 87434e 92e1b7 dddbf7 feaa25
00bcda 68a201 745a48 8a55e1 97207c a2cfb8 d45488 d7d20e
00bcf8 287c25 7008f7 7e75a3 8c4564 8eeffb b2ccb6 e2a006
00bcff 7b6cce 8ab21e 936b21 ac0660 cee760 da5e82 e5b3a7
00bfca 19fcf5 4c6221 559f2f b5d61e bc3adc c2027a e1b096
00c0f7 117110 7d8d5e 8768fc a2cc9d cb0ba2 d6ce11 e473af
00c1f9 5a8a4b 75fa18 7e5062 9722ff b2a00b b5cca7 d437a8
00c3c2 5f30f1 7b6cb1 85f5e2 914b05 bd9d04 d5db7a da4860
00c5dc 076a48 6e851c a3d332 ac16ef ad2a81 dd7e89 e6d2c3
00c5fe 486964 97ee71 9ca2aa be8c58 c90d0a cb2eaf fdcdd2
00c741 15ffe1 506f76 849d84 8d09b7 b84009 bf4fea c2a2f2
00c741 6efba1 7b23dc 904388 c56ff9 d4120c da6787 faadfe
00c744 327859 7810f8 becafe c03aad c68ba6 d32307 f1ccb7
00ca66 1f4ff9 2f930a 9284f2 985f7e a6f800 bd94af dbd4d6
00ce3e 5e6362 98a9bc a08873 ae0011 bc30c5 c5e3f9 eecfb4
00cef4 1b7f6e 94a95d 9df500 a80a35 c608bc c67fa7 fcb5bf
00d52e 4c40e6 95751c a1324d b895ff dde1ae f5179d fdb4da
00d59b 53a009 6b5c5f 968cb8 a2e744 a51b13 c414f4 ffc6fe
00d684 179787 2d6a30 81459e b680f9 bacadf c28106 fbdc1f
00d6f7 1c863b 65585d 7eba85 978b98 aa0f9b c739fe e9d713
00d73e 0e7469 8312cc 966bf7 af9e8c c02a0b e5d2c3 f89bd5
00d7b0 586e73 8c17a9 918918 a22d33 aedb1a e926e6 f89ef1
00d8b0 3b67b8 794a5b 9990fb 9ad45b b50204 ee4827 fdc8fb
00dbcf 4da579 5541ec 82781c a8e69f ac2c87 e55afc e9c313
00de30 068d25 5930f6 994f6b 9b75c0 d1869e d6cdfb ffcdc7
00dff7 159bad 7432f6 744778 b8ea2f bd5061 cd9c61 f8d3c1
00e297 69597d a2979f ad08ff bbf341 ea0b3b ecc7e7 fb72f9
00e4ec 6547c4 6e8dc8 7a4e05 afe83e b56c4c b7046a bdb799
00e51d 4f8b93 8b1ccc 8f9c7c a4172f c7cecb ed77e9 f41d00
00e583 4e6b7b 5ea67c 7c8601 7e18d0 914146 d847d3 fbcfeb
00e5b5 34a452 516a05 9335e3 a92e63 c6e3fa df62e1 f7cd19
00e5d0 2865e9 516d55 745278 7d8cc7 a6e744 a7968e b15607
00e5fd 248c68 850df6 8b8d06 8fd12f 93439b e268ab fcc3bc
00e65c 167c34 695d75 6f9f0e 9f8f8f b629e0 c5d0c7 e082da
00e727 78a4aa 8a59e5 918635 b40f69 b79afc beddb7 f2d0f9
00e8c3 4445ee 4b9d95 7b548d a4523d a49f41 e175f1 f6d226
00e9e3 125bfc 3f693f 6c9c26 a3e934 b74b97 bab885 de7ef9
00ea9e 6c558c 7b77e7 978891 a12204 b7b2d7 d47253 e9e12f
00eafe 01b3b1 315dc1 7b5876 b66260 e4df16 efa57a f73c0c
00ebc7 136972 809c9c 966037 bfbffd d09b64 d6e823 ee08d7
00ebed 018531 666065 6e09fe 76a6a2 c5ee25 c6b36e d14bd9
00ec57 29725c 7a862a 912995 c0eac7 c452f2 e9cafb fd62ab
00eca7 1344fe 1eae96 547290 95672f a36df5 c0b1f7 f98b21
00ecfb 0f6e18 9ca3a3 b30e6f c14ecd e0dfaf f93762 f9a903
00ed43 3a686c 64979f 8d7712 9aa87d c807f4 dbc7e8 e183f5
00eef3 6253e7 66a9ae 857373 9c2079 be7805 c9ad7d cae83a
00f1bf 25a190 6426ff 775ba5 b58dea d4172a d6dafe f3ab38
00f248 0c713f 4a9b91 6e03f8 a99440 b8b3fd d234c7 f2d4dc
00f387 23a5cd 3f787e 7717ed 974447 b79382 d9421a efc8da
00f3c0 4c42ec 8baaec 8f5081 96ac23 ca272a d9e059 e86c89
00f59e 228a79 5f5380 825d03 90b6c8 969f38 b6f201 d03beb
00f5c6 4eb379 573df1 806398 a078fd c49abe e9df2f f42e16
00f6c7 078218 662df0 66b93c 963e86 99989d c46dd5 f7de09
00f739 3f730d 8154f9 ab8ce8 ad3684 d89fbb dad8b5 f35c65
00f764 44b224 78627b 96463f a9a08e dd14fe ddd1e8 f08eff
00f891 1e6b1d 3aa114 414af7 9a476a 9a68b2 a3b1ff c2a3ab
00f89e 3551ed 5895c5 929d96 a7415a d6bee3 e0a52c e2240a
00f8f7 3856f4 937dab 9baeff 9d6537 a5015c d6d141 dd827e
00f8f8 18710d 5d5477 90c5af a300ed cb6fe0 cfd875 df4f68
00f978 4e8f28 7d28f7 7e3f8d a6b2eb a96dee c55b80 debabf
00faa6 456666 72a3f8 819581 b304e3 bacbd4 c31410 d3ac2f
00fafe 407006 50b1f5 9245fc 95a41b a5065e ace177 d844a0
00fba3 0a916d 7702ea 9c49a3 a8c0d0 b98dff c98017 f9bf14
00fc48 228578 878f07 8fc089 90433a a205e4 d975c0 e9d2ea
00fcf4 14780c 20b235 5b5964 9d4fcc 9f9c95 c6d99a f973f1
00fcf4 26c430 5f7c3c 8c3176 9f56e1 b4a6f1 bf6491 d6b4b3
00fd2f 756057 899e3c ad0a02 c020db cd8bc7 cdc9a3 f62c90
00fe61 28b4d1 725234 7f8679 a8087a b5cab8 c014ed db5e13
00ff66 06676e 4c9a1d 5f633f a105f5 b8b39c e946bb f9a5dd
0148f7 027220 02a275 38e686 829b01 87539d b1bbcd c88af9
0152e0 6f9bf0 7c515f 9f7f96 b1d2e5 b82c1d d78d50 fdcf17
0153fd 1bdabc 7575b1 9f1752 a8f37c bc8272 c697f8 fa7a03
0154e9 0d93fa 268110 55ddb1 afb9e4 c77f67 d32282 dfd62a
0155d0 01acff 4fedfa 635b81 9193a9 c4d49b cf254b e98827
0158e6 0bf0f1 5b5577 63af98 8c5602 997fc6 bde7b0 eda939
015bca 49f550 7d87fa 837537 9f2f72 c5e4c9 c9aee5 f6728f
015cf7 45d6ad 7998ad 952a5e a57372 cddefb dbd352 e74529
015ecc 1ce8f9 3e97e3 5b6381 a66558 a6d71c f09e99 f20400
015fca 0f96ef 16eec2 898684 8cb0c6 ad3040 ed583c fbd461
0160c2 78978b 85f2f0 9e1f43 aec8a3 b089cc e54616 edcc50
0164b5 2fd273 8788f5 a27419 bfb7f0 c0255f e977a8 f0de09
0164f6 20ae76 2f685a 71eff3 7f879f 91c633 c25d09 cf88ff
0168c2 2bbf06 744a6b 81f169 ac4b34 b1b3f1 d5798c eed4db
0168f3 15f8c5 2ab39c 506268 8484ba bdaf55 c8c7f8 d14a10
0169b2 17e454 77606c 97a8c8 9a9189 9c292f bc7a21 cfdee8
0169d6 04b75e 0cf0fd 972480 9ada22 a793f7 c32c0b f1a4b8
016a4d 18caa7 7e9319 9459ed b3d138 bb88d2 c1388a f4bdf8
016a57 2bfca9 4aa9f3 7d9e88 92779b a209bc d2cb0d dd5604
016a6c 01efec 9595e9 9b3e31 a903e2 b5ce13 cf9a9b e0510c
016aa2 2cecc3 7792ec 8bd21b a10b61 ac92a0 e25949 efc2ff
016d41 47ccd6 767dff 89a57d 8c7182 9f13a1 c2e7c5 db981e
016d52 50a6ed 68f72d 777a8f 9244ce b6aaa1 d16e10 d1e0e5
016d79 22a39d 28dfb3 7923d0 7b6642 8078d3 aa9e05 c4dd36
016de1 66a074 77e2bf 846789 a82d20 a994ca d6cbfb dfae3a
016ecb 1fd1b5 545b78 7892b9 ac2a09 b0656b cfdd20 f8633a
016ed8 41cd64 496055 798d9f 8c7c0d acf73a d8cddd f886fa
016f34 25d369 6d9300 aa03fe c2f115 e10489 efc4cd f47bc5
016f79 3ff8bd 49a2a3 a45fea c71e41 cccee9 dcca39 f07062
016ff1 50f98f 5babf8 76b021 85461d b2a2b3 ccdeff e40c79
016ff6 37fd0b 69ad9f 6e555d ac0b98 cddeef e988ee f21e31
01701c 2faba5 57e8ee a81c83 b04dd9 ce940d d4ea07 ea2263
017077 02a3ba 7ad3d4 7f17de a24520 acb004 d17874 d4ec1f
01707e 03d8b4 549d9b 728303 a02148 bcb424 cec6f7 ee2cee
017142 41b7d2 658809 6a5069 82ed47 a91ac8 d77384 fed0d4
0171f4 53b123 7d4a90 aa9ef0 b5e5a1 b81547 e2b1c8 e5598a
0171fe 4fdded 566310 719aaf 973395 c9ad5b cbe6c4 e34576
01727d 26b0b8 42faf2 605b40 aaac82 b415f1 be5d04 f2c432
01730f 3dac31 51deda 804da8 a58bfb b56683 cae81a f69498
017328 0c8ffd 6029f2 67f698 a04698 a98b88 d5c0e5 e8841e
017375 3bc81e 8f2ef3 a098e9 aa5c0f b18c7d bcddfb f1b7ba
0173db 5ed52d 5f597d ad9eeb b4142e c2eba6 de6c84 e8ccea
01740e 2eba29 6e06fe 72f2c3 c1f20f c20e77 cf4ee6 f59ff1
017410 60c716 8b576b 8b5ff8 ac9aae c0d7a2 c87671 fdcae9
017424 2eea3d 5e94d3 7d45d9 896476 919f7a c4caff f4cec2
01745f 49f8d3 54660d 7cacec 9ba63c b5e240 c38398 c406a5
01747a 1c99f6 6bed1f 7435c7 bf2d22 bfb9d0 f86154 f9c5b3
01750c 26af1f 363ffc 7972b4 a5e0f1 aa3065 e4e27a f287a0
0175f8 2ddbf1 5a6079 8a9198 a71040 bfe35a e7bdb1 f13607
017606 40e3b5 744f5c 89ac2b b51fbf b781a6 cae43b f1b5ee
01765d 5fa596 71e6d2 9a3abb a22f05 b1a8e5 f77a01 fdda14
01771d 0299ff 05f1ed 8000df 8bd22d a83280 c08b75 e3ddae
01783d 49a85e 7d4468 8346e5 a5ecd7 a69aa3 efc927 fa68fe
017869 739ba8 73f63d 843a93 ca9570 d91223 dc07ff dddce6
017973 04fd47 8410cc 9b95b2 a23a36 b08b4e c1cdea edb6b0
0179fd 7097b2 71468d 77d5fe b4746d d41306 f5d1a0 fe8235
017a02 16af14 723cc3 847cd7 a4df97 aa3a71 db6f90 efaaf7
017b71 1fe9a7 a31729 ab0ced abe624 b684fa e6591a eacbff
017d3e 32def6 773aa6 90b91d adf608 c864ed d7ccaf dd518d
017ea4 20c1f3 7d13e2 8c555f 9aefee c0e732 e15812 f09d83
017f7e 1fdd10 8c09f5 8f83d0 903945 bebff9 d4a693 d8431f
0181a9 29eccd 666663 7703ea 9d3e17 b1b5fc d66a07 dedf08
01847c 27fd42 68b3c0 800fee a65fce bb033b d7dedc de750d
0184d9 4d5c7f 74f70d 7e868f 914645 a9b6c7 d22601 ef8166
01865d 49b985 64f5a9 7d5300 8317fc 83a509 ea31ad ecbaed
01880e 44a7d8 53fb46 666967 930a9f dddaea e7aaa2 fb259c
01882e 16fcbd 6dcc33 7e5b73 870af3 9277fd 9c929c d8c9eb
0188bd 60f8c8 69576b 91540c a5a2a3 c4ceef dcb216 eb5a5d
01895d 50c81c 7a1fd9 8c4582 c90b06 d4e4a0 deb1c2 fd21f5
018987 446d03 779c3a 85eeba 8b11bc bfd64c eca7d6 f64be8
018ce2 5736f5 716685 944650 96e7b4 b69472 d12a17 fdb248
018d55 0fd709 7929fa 942f75 bed9ed d7c3a7 e70403 fe37b2
0191e6 2be1ff 567f4d 6440c2 84b209 b35389 bfea50 fa89a7
019297 5df840 63575a 94913d 9799fc a223df b40203 bec2a5
0193ed 7716ff 8b6589 9ea1b2 ba5535 bcdefb e9c7b8 f58237
019432 7e08f8 89f4d0 a11557 a37e8d bfc3e9 c9bf2e ee27cc
019505 37e602 5d26f9 8f6bdd a5176a c0aece c5e7bd df877d
019ba5 505598 6a5e66 8c977a 99d5bc b63e2c d3a009 e2bef7
019c74 1ae091 8f8bbf 963907 9919d0 d57d0a dbccea f8c308
019f52 17dffc 296c08 874e63 8c3ef6 968ce8 c3d96d dba0a5
019f93 186977 5ad5b7 9455f0 a59cfb af300a b4940c d0e607
01a016 1b5eee 2eee36 6d524a b08be9 c8408d cbd3f1 fd96a1
01a0e0 1a53fb 358139 6eda1b 921797 d1d6f6 db7280 e7c6b6
01a2f9 136e62 5adfc0 61a155 6a01ff 7b5aa3 a8ce47 be0405
01a411 68f22b 6d0efb 757d6d 91398f d5def9 e46aaf e9d1b2
01a419 48d68d 636141 9d136e aa9afb b13acd ea61a4 fad52b
01a514 41690d 5c42f9 906e75 a8c5f8 ac72fe c4df3e e8938e
01a53a 456961 61f513 784288 994aef adb397 dc70c7 fec4e0
01a6c9 15fb77 64507e 7450ea 79b42c a03e1e b58f8b d9dcf2
01a7e4 156b4f 2bf78b 7128fa 745d92 879092 cfbfc6 f17507
01a7f8 0d6ec3 767c6d 7dd840 923e20 a7ac8c c0740c f0ced6
01a983 4cf97f 696b79 852baa a43a42 d8c5e8 da81ff e83e1b
01a987 126b55 16eb35 9909df be82d4 bed9c2 c76b27 f2d1ff
01aa07 1ecefa 436617 8869ff a99096 b1dd99 c022a0 fad407
01ab39 05f644 730ef0 865743 b686ff cf0a9a f3c8ef f47ea8
01ac87 67557f 7afab5 8475e1 b83212 cbe43f d3a4d7 db892f
01adf4 0f54f0 21f4fe 677d2c 7bd63d 9b1a65 c85897 cca1a8
01ae24 4b36fe 7e68ce 8ddad5 ac3740 c89ff8 ec6594 f6cb8b
01ae6a 2b6d68 44f8c1 9215f0 b68cc6 c44d01 d5ddfa f4b222
01ae84 18eff9 7224ec 886eb3 95cf25 af7d2a b01a4f ecdba8
01af80 1be7c6 4f8310 86be27 a2124e b53fc1 caec80 dca6fb
01afcc 4438f9 59fbe9 6e5ba4 8fb2a3 af1610 e6d25e f90a58
01b0f6 10f8a1 5862cd 785268 b68b71 c5c80a c6e1f9 e8170a
01b139 51e835 7140d1 826077 ab042e b49fb9 c3d6c9 db68f3
01b2d5 02f4d5 278d11 5b5e45 7449f5 8fc436 a2357a ba7e88
01b4ea 556004 62f1bc 6e2cf2 993a8e d26ca1 f2154c f8dd1b
01b6c3 2359ba 877cfe 8deaff b1696a c3d7c4 d90d0c e9ae32
01bc9a 0bfdd7 6760e6 6c8e02 8f6d96 9a4352 a1d363 cca7fb
01bcdb 37809d 764c5d 8039fc 8bcc5f 998680 b42524 eac9c9
01bd33 07fb13 4e41e7 5c7b1d af6ba1 b61067 bccf9a e5aed0
01be4c 1fecfa 7a5638 921af9 9ff83e c3c9b0 c469fe e42481
01bf15 61fe8b 783ca7 a82849 aa5eff b3cac4 d2a2f3 dd559b
01c095 3f7f72 42fdd4 6830e5 819e09 95542b b0d45c c87ee8
01c0c0 395ed6 8e316e 90ec23 988cfa aa9100 c6c898 cc345c
01c1e2 415e78 5da721 76614d 8b8793 a7e120 c801d0 f5a4a5
01c23e 3552f4 72ff69 826524 9584d2 d1bde4 d91c81 f9a2aa
01c251 7b6c5b 82fc7a 838f9b 9d1493 da0c04 e4b6df f908eb
01c454 1c6851 77ff09 9817ca 9a8b88 cf2802 eb52e4 f0aae7
01c4fd 5e7d96 883e5b 923dda 9ecf83 b6786f ba1c13 eddf09
01c5ce 5d9e02 6a613f 8e2c80 a0e41e a168db e5d8b6 ff388b
01c629 21807b 69f1f7 9625e0 aa2b10 b0db9d b5a8ad e266f3
01ca96 3f6443 8385fc 8a00ef 957f00 a1e862 ae389a f4a6dd
01cb28 0e61eb 5b605c 5e849a a55c15 c6a7f3 cee2ed fdb9a2
01cca9 179418 695e4b 8c02fe 9b028b b6bf00 c0d1fe f04ccd
01ce69 1d6c90 535e59 9c878c ace9d8 c5100d cc1cfd ec97f1
01ce82 3e653d 4f67f5 7f7d12 a31e77 ccec46 ce669d eb9bfc
01cf47 068c89 6d30f4 6f468e ac6ada b33d57 d0e2cc e8a4fa
01cffa 3f7665 4eae3c a4e11e b91217 bd47d2 f871b0 fbd1d1
01d0ac 25859f 635755 812ff6 9df64f c82210 d3c7f3 db7a5f
01d1fc 0d54e1 419a27 927ef8 97e53b c6237e f1d7b8 fd7db0
01d25d 7c9687 aa0c7a b113f9 cacff9 e11f1e ee5acb f1d6d1
01d3f2 1d93c2 5d4dad 7fb089 ac8a09 aeedb4 be2b4f d8c118
01d4f7 1147fc 41832d 5683fc 9c6799 9ff733 a6b03c f5caad
01d750 096769 7f5412 8900ff 8e8164 d1e1ba e525b8 eba3ea
01d796 558122 9ba0f8 a32482 ac3de7 bce4f2 d9d40c db5aa8
01d8e8 3d98ba 5d776d 8043ab a7210f aee3b4 d77844 e3c535
01d91d 1f91a3 6724f0 835152 b9bdf0 c6897a d2340e f2c3af
01d9f3 7c4c43 b8237d c417f7 c4e715 d2ac89 f167ab f22800
01daea 1d8190 7cad88 a32158 b0dd19 bf22ef e4511b efd8c2
01dbb1 6431e1 89a4bb 973f7b a364dc bcdcf9 d3222c fbc204
01dddd 5e62af 7f6d79 a4303f ae8ef7 bb732d bfe221 d5a88c
01ddff 3497e2 6f30f1 788e21 794e33 95e250 d4188e f58699
01de32 4d5d72 5955f9 867062 ab3b0d d8d5ff f05fb4 f1c5c6
01dfed 4a62eb 6d655e 7d90c7 a30b8d babfa7 bb9705 f7da28
01dff4 08b737 788088 7f26ba a76ecb c2e939 c40853 e8c6bb
01e0ab 1f5bbc 5e726c 9984b9 b71c0e d2defa d5753e e2d009
01e26e 42849b 885159 9aa69a 9b3fed ccdde8 d79aff f14927
01e341 19a580 5b646c 838e17 88482a d127b6 f57de8 f7c7df
01e3bb 4393b0 6b7066 7f33ab a09131 a53617 b2b9fd fac74e
01e9c3 27a695 5641d3 937adb a2b7e6 ba3359 f1df1c fd5c0c
01e9df 479789 4e6279 790ae6 a7b808 ace79a ce003a ef27cd
01ea69 15ac80 766684 a22532 b49bc8 bc46de dd5a1b e0dce3
01ec12 5845d3 746192 7d93e2 9b5a65 c1ccf9 e84c03 f392a2
01eede 5eab10 752ef7 766b3a 922e80 a4f44f bb99ed fd6697
01ef87 469c57 506278 824929 901ce1 a28aaa f046fd ffc1df
01f0d1 666877 689a6e 885204 9945e6 d483fb eb800e fcd56d
01f0fd 0d9de5 0e62be 8f768f adf292 cdb0b8 d91d2c e5901e
01f11f 6faa97 7e5069 a60634 c1e5b5 cd09c6 e194eb f81d39
01f1ba 0fabd3 2e6750 6b7d22 9722a3 aad11c ee3f97 f0d2ff
01f3d9 1d6b3d 297ee2 88accb 8c4b76 908e07 acef5f d8a393
01f4a6 1c9f46 5842d5 6b5c59 97a89f c7ba0d c7dfea d876c9
01f4fe 8c8182 980fdd 992e77 9cd449 d37af6 dec6b6 e2202c
01f5fd 048288 73a001 7a25f2 7d6530 93d74b b094de f19bb2
01f6c4 63565c 97b7df 9805fb b20822 b545a8 d5e94f f26f7a
01f771 11abde 547b6a 93aa79 b20fa4 b3061c e5dae2 fc3a10
01f779 4d597e 77b195 7a8f00 8908e2 994d56 cddded e066bc
