# colors_mcd16.0_mld2_nc10_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0046fc 01815f 0ec584 67fae8 7ab508 85790b a11196 b6ec41 cab0ff ff1eb5
009b8d 1ed19a 507159 684e85 95902a a632ec a72d00 d1d7e2 d9cf45 f15cdd
009c31 48632c 75efdb 7c7171 8acb0e 9155fd b5279d b69af4 f06ba3 f7ab9b
009c7f 2d6b37 53ff45 6f5a6b 727ca8 a302cb ad9cf9 bd7d1a c7d4bc d2a3c2
009e21 1f6d20 62ecb7 6a53cb 88b8b2 8d6e73 aa017e c2f03c f267e1 fbc1f5
009e83 18feec 676883 6fc574 9201ad af48fd d21746 d386bf ead607 ef6d01
009ed7 276d5f 3fec8b 8ac305 8b23e7 9c2c0f a37640 abf806 e0cedf ff4695
00a0b5 13dfea 4c42dc 725990 844c5a 8872fe b5e2c3 bf5738 c5da28 c88c83
00a0fd 7008f7 729a71 8afb6d 8d4644 9247ba c7c9fd cf6522 d193b0 f2cac7
00a170 28d3a8 7d5042 8ac250 9421e1 b3347a cbed1e daaded e347dc f30d01
00a2e8 026ed5 2d760c 31e350 51a205 9a2088 b8a3b4 beeac7 db2867 f8bfff
00a313 09b9f7 1e4ee8 656300 8eec18 a4619a aeb7bf b5245b b89b7e ecd6af
00a34f 6cd078 80524c 8348dc 9d80ff 9f0a76 a681b0 bd0b00 d6e112 faa7d4
00a3cb 25f72e 5a4cc3 87b9b4 935b24 94a60f b0146e c2e8bc e83f7c f2c3fe
00a4a6 0457fd 11f3d9 6e8512 7bd114 8e2aa2 b278f0 ba4463 c79075 cfb2ff
00a4cb 597382 5edfff 8144b7 8c3d53 978174 aac29c c8361a fddb39 ff8649
00a592 3bf4e3 63769e 8520ba 993766 a6a8d4 b8f42d c70e3f eaa76a eb2dfd
00a59b 267a5a 64527c 77f846 9d3bd1 a43e0b a6b884 cd69df dcaef6 f47f01
00a5ba 4cd8ba 586452 5a64e2 868202 9a107d d8bdfe e68e74 ec2b87 f4ce66
00a6a0 30faf5 3d64dd 615766 6ada14 8da172 964130 c46e00 c884fb e1d3ae
00a89a 39682f 6a62f3 7a5381 97a2ed b1a126 b1deea c9ec05 e3215c eec594
00a8d4 4a44f8 5d738a 893f4d 94d3f4 bd967b bec2c0 c9402a eed970 fa7f19
00a919 327106 44fde2 7e6a86 88c3da 989d9c 9a2755 9e1fc1 c6de5d d757db
00aa5b 78e461 7b07f6 94188b ad6589 c42910 cfcbfa d594b5 ecced0 f619f4
00ab62 375db9 41f7f2 6b635d 838c94 981b74 aad065 db3506 dbacac f25af9
00ad7f 426f8f 4dd2ee 5f6251 8d4ae8 a2b310 a887fa c04f17 cfee07 face97
00ae82 42e7aa 8006ff 90809a 9743b1 9f1569 ac9df7 bcba48 d5dcff d82e08
00ae9e 3d8736 6ee9dd 715a73 9800ad b3cd91 b5a40c d605fe f1e115 f77bf5
00b103 367a09 575c47 7637d6 7d8692 acc3cc bf60cf caa6ff e2086d e4c879
00b190 2e7a83 55f3e9 834153 a0e10d a42c12 db01d3 e7dfa3 e986f8 fb2b4e
00b1de 15fe96 566a77 5c29fc 6f989a 8c5ff2 97c911 b3a77c db1623 fccef1
00b1fa 106b62 68e721 7168e4 9e6d9d b2a2b8 be2a24 d6deec e16f5e e8d3a9
00b21f 4a782d 6ef516 745d66 7d11db 992989 a28bf8 b965a1 deaddf fb959b
00b2a6 4de88a 685f93 9b9cea a23320 b713fd c9cefa f1920a f9446d fedb0c
00b2ae 08ee53 1e4fff 7a71ba 7d5976 a88675 bce2e9 c1392f c7a4fc d37b0a
00b2fe 0ef2d4 318d7d 5c5574 8ab0c1 adde36 b521e0 b6944c ba3427 ffa09d
00b349 217c63 51610b 6cfe0c a2157d b74fe5 b7becb d099f6 f04092 ffac9a
00b34a 1bf7f5 347e2c 572bff 7edf03 9294ec a1299c a3759d b6abb7 f6b99b
00b4f1 33f2fe 574ae5 7a627e a0b1bb a21842 ab5e1a ab8e84 c1eaaa d6c205
00b64b 10850c 705a73 72e52a 778878 8f1ca5 a9b0de c7b8b3 cce9a5 d94bf2
00b6ff 047a1c 75e805 8661e5 929d02 9d1d7e b5c68d d278b7 e5456d f8ccf2
00b9ad 03fb1c 6a56f9 8271af 9e7a06 ad3748 b8aafc c3e4dd caa460 de5b7f
00b9ca 03743c 4ff9ff 76ab34 8e03be a861ea a8e412 b40f76 c6a19c dcd7a1
00ba83 6a1bf9 6c8c8d 6debba 9457b8 a84759 bbc0d3 bf8ee9 ea5206 f1bf08
00baf6 057175 66f7ff 8049bf 8aa991 a61b46 b7e3ba be82b0 f14f44 f2be40
00bafd 25a82f 30731c 44f322 76736b 853f6f a4cd8b ac8cb3 ca15c3 dfd1eb
00bcfc 3e760c 5c67e5 74e433 766386 959eb4 a21053 dad6ed f91547 f99b98
00bdfb 286d68 2ba169 8f2ef0 9ba2a6 a1e1f5 a761b5 bc082d c8b02f d2e78f
00be8d 1cff32 5e508d 705661 7462e6 789e0c 9a4831 a86d96 c4e6e1 d0b7f7
00c1ec 018fb6 5f50be 7d7673 874530 92f6a7 a0a5ad be7a0b cad5d7 f2a34d
00c5ac 23fbcf 335f95 6e7bed 845a67 a5de09 b60633 cea4f6 e37377 ed3f0d
00c5d0 3c7059 7e72f4 8fee5f ad021b c332a0 d09871 e6d6c5 fc58a4 fe2415
00c5fc 2e87df 377530 67ac0f 7205fb 85f52b d0e6b8 d1b8c6 d51b93 f67c88
00c851 2f7772 61f6b8 751efc 799575 9b68b9 a50243 af5929 b2aad7 ccee3a
00cd3c 73520b 77f7c7 7f8440 a0385f aa0bf7 cb7bf6 e98193 eabef5 f60d9e
00cd84 8292ea 8e4b83 91847f 972bff 97efed a8d538 bd2839 cb96b6 d0701b
00cef7 0765fb 5e90bc 7d7857 a7c98e a7edea ae086b b5a0a9 f3d416 f93f00
00cefc 5c8293 79f64f 863695 8b09ee b4b1af b752ee bc2b4b cfe6ba d97446
00cefd 825efd 93258a 9aa8af ad7216 bc074c c0f228 dec4a2 e09d0b f4587e
00cf71 187156 728c41 89460e 8e12fa 9bfb40 a9badc cc169f e744fe fbc9c2
00cf95 48976b 8313df a0efe4 a33378 afab37 bee619 e10724 f218cb fc91f1
00cfed 3451f2 6ba1a1 796caa 83470d a6b417 ac6f3c b80a6a bfd5c2 e8e304
00d038 0a63d3 4f8fe8 8c5a7a ad0c1c b5f18d be859a e0bffd e33d57 faadc0
00d0f8 4d715e 623cf9 929e8a 9b0599 a3d9b0 a96fbf c5ab07 cc1202 fbda60
00d3f1 5695cd 5d6b5a 81ea09 834f0e 998000 a60cff d59570 ddd7cc e03e92
00d482 34860a 6c5576 782cfd 868c7d 923443 a8eed1 d3c3e7 ef34cb fece20
00d4ea 446178 8a7767 8c0fe0 a0fa35 a6b94e a85014 a974f5 fb60a9 fccba9
00d8fe 791def 88c72a 960f8f a26912 aeebe7 b296a9 c01a59 df39c7 efc2a2
00dbd2 137216 52aa23 684bec 936aa6 999d95 a5f43e c7056c d7c999 d87bf9
00e038 04a038 2668fa 507452 97a6e8 9d259f a82006 c3ceb8 f25d95 fbccfe
00e0b0 428054 5333ff 5ca8a5 9359c4 94ab60 adf611 bb0c09 f3bfea f57cf5
00e0e1 0f7071 4cb28e 7206f8 988ab9 9a5337 a5e2a3 ac4be8 d79f04 e9e423
00e268 396982 59a810 7b2ec2 897ae4 986a60 9daeff af3610 d2dbf5 dfa5b8
00e4fa 2f683d 51be4e 7f49cb 837911 943773 a3ed1f aa88fa ddddb8 e256a7
00e52a 06a3fd 5b9758 745a6a 973c0c 9910f8 b27cac b7c5f4 ddd5d8 fa8898
00e5cd 5f77cb 6b2be8 78aa92 8b859d 933b78 be0137 cfe31b d1a8fc fb4c4b
00e754 386074 3b93a6 8133bc b39b81 c82442 d0d3f0 e06e00 f481f8 fdcec6
00e7e6 84adf6 8d1cdf 9b8d7e 9dc350 a70d4f ba68a8 cb5808 dde909 fb98b9
00e7f0 595d54 65818d 68b1a1 872dc8 9d8263 a2ca04 ba1a0a e4ddbc ec56da
00eaa0 187206 2fb46f 826a64 9359f9 981584 9d9cf6 bab316 eed2fc fa31a1
00ebf2 03865e 4e5d64 7124fc 98ab33 a14b10 a1a3f8 b0ec9f d4a3ab f915aa
00ec56 1fa5a5 7a2de6 7d6b04 8d337e 999f28 a8a8f5 ad5fe7 c34a74 d4cbd1
00eccf 26a3a2 504de1 7a4c3f 7b7f0f 87b314 a6f082 aa2287 e23f73 f47df1
00ed92 3bb1a1 6a5d7b 6e4af7 6f8860 af70cd c3f003 c74e05 d0acf6 ee8b23
00ed99 2ab49f 5c6487 a05962 ab031c bfdadf d8e929 e318d8 e62d15 ec8cfd
00ef18 3283fa 5b736b 84502d 95a7e5 bca9a3 ca7e0a ce13a7 d2d0e8 fbd5ac
00efba 0a88e2 7b09ff 81b1dd a21342 a4d509 a7977d a84c90 e3d9f6 f74431
00f06b 658f99 724f9b 8e4f65 b6a3dc c04439 c59a84 d8dec9 db33fc eb7b01
00f0fe 1a9290 5548e9 628117 73b30f 903a4e abf43f d4c7b2 e278f9 ff108d
00f138 2f7552 57b209 9d077c b82af1 cc0100 d090d7 e82a97 ff8ea2 ffc8f1
00f1ee 4c6752 75d212 8432f5 868a15 874609 c00e8f c79a84 e3e0a5 e759ce
00f217 40aced 5c7679 84a194 9d381f a216cb b27e41 b2be81 c6d5f9 f1d2d1
00f25a 0358f7 587e73 65b18b 736819 947ecd 971b9e b0960f c1e4c5 d1b9e3
00f323 0b6cfb 2eb848 8a2996 956d87 9ea7ee aa1a46 aba097 bfe1f9 e0d1b8
00f39a 3d7c69 6e47dd 6f9fdc 97b20e 9e1483 a26927 d0ec0b dfb4cd ed519b
00f4a7 51b588 54675d 7a09ec 867292 a0b20d a45914 cceb06 dd3be5 fca0f2
00f508 447c26 6cb418 6e6561 7007f8 a74cf7 ac4694 b29ebe cfd8db f2a590
00f508 686366 6c9692 903188 9bab52 9c5cfa be2430 c7e2ea e489d5 e7d1b3
00f524 258538 2ebb27 850bfd 9a1e6b 9a789a a7af8c c3e2da e49dd7 f224e4
00f561 2f6afd 42635b 94a9db a17198 a19e98 a72fa9 bc101c f6cad3 f94817
00f5e6 256b00 3f5bfa 4aaff1 705288 80839d 93d693 a79c4a a95e5b eae220
00f62b 7882dc 821bdc 827a5f 86a949 964887 b1c4fa d41908 dadab7 f37ea6
00f6de 456f59 4ece17 800ae3 809b98 a957e2 ad2c90 b0c593 dc1d0f fb82f4
00f7a0 26b793 417261 6b01fe 8933a6 8a809b ab531d becde9 c2cc25 d465e9
00f81e 097f05 1cb92e 70544c 850ffd a7b196 b83884 be6ad5 c0e5d3 eaaded
00f871 4c741b 50a305 8f00e1 9d1284 b0c5f6 bf83b6 ddd5da e52b74 ec24fe
00f8c4 0a7301 4fa17c 704f5b ab46f1 af188f c1ed70 c8a3cd f00139 f98502
00f8fc 0d8bf5 1a57d3 6eb8e1 839e82 88647d b20c51 b26536 bcd8c2 e0b545
00f9ac 04a3a9 325aeb 918bf8 9c1693 9eb241 aa6e00 b0c3fc c2174f f2dc25
00fb18 265ec4 409d78 575c58 8379a3 87b21f 886a20 c3e5a2 c4b4b5 f56cfc
00fb51 41895e 5d5861 858295 a414f7 a43208 b5ccac d686ee f6790b fac6f4
00fc22 2798e5 754dff 87728a 8f9a90 a3c2d0 a6159f aa0a00 cd5e4c e2bb98
00fcd5 17a3f7 2264d8 5a7c4c 88739d 8edc38 9e1364 b78607 c0a1bf fc6c89
00fcef 358c7a 70b6a7 8301fd a22ba3 a91714 b78640 d2db96 f044d2 f5ab21
00fcfe 0fbff1 399976 6b49d6 826e8d 923347 b3e787 c32513 d07e01 dab1bd
00fcff 2bb1bb 5c6c85 77df5a 871ac0 a77301 ad2b3d b655f4 f35770 ffc1c0
00fd6f 33b762 745e63 9c0cf7 a10694 a70723 aa9fa8 c154cb c7520a f4b1eb
00fd85 1bb0a9 1e7e17 6b5c61 904ae7 9d0b85 a290fb a3ae33 a9806a eeb1e7
00fdc4 20a41e 556953 7eda19 81977e 865cfc a41d14 b13796 eb61bc ebb0fc
00fdcd 656a7c 7a94b4 92cf4e 9317c3 9c2637 a964fe ac9180 d8ccf3 da140f
00fdf7 177b64 19bf58 684c8d 78819c a4e20c a75820 afa1eb db00f9 fcc4b8
00fe15 146d30 5a89be 6d8709 8819fa 99b957 a71c70 bf7073 c7e3c5 e5acd5
00fe9a 41836b 4fade8 785314 7b28f5 9eb5ba be7823 d21c9e d9b60f efd3fa
00fed7 5854d2 962f40 976e08 9891fa a6cdef aea609 e30178 f0d05c fb7f9d
00ff0e 16800b 5181ff 771afe 779879 88424f a5ce80 afa303 ce3190 ec8dcc
00ffca 5144f1 5eb155 6d6560 90e05a 99908f b72d97 d52803 f2c2fd f865c8
0145fe 4883ea 4ddfe7 4f6642 8c730d 8f9292 a2317f a3f738 b99d22 e2cba1
0146fe 48f1d3 4e7345 7a7de2 84a408 9c179a afbbf7 ca8fad fe0875 fed67c
0147fa 15fcc2 6a5d9e 83d467 846d59 899a18 954106 ccccf1 d48bfa e46f90
0147ff 05b631 27f16b 73818d 8c55ac 9a4f08 a3b2a5 cf1f65 de73e6 eac8ec
014cf4 529dfb 52fcd9 5e63ac 8c7583 a45627 adc3f6 b3a0a9 c2d875 d9845f
0154d7 01f796 66be9d 766d8c 96af2c b20a0e b870fe be575d cbe70f e1b4e8
0155f9 4fea34 52879d 96521c a09b78 bc8004 c30f6a ddd8ec f8c2b5 fb5ffa
0155fe 03ee30 067c2e 39ae16 9709a9 98a49c b4ddb8 db46af e67bfc f1c9f9
0156cf 0dd62e 30906b 7a6a8e 8778fc abd5c6 b2021b b48fad c16a00 f8a1f4
0156fa 4dfec7 60548a 648579 7dbd9b a47dad b63003 cbe356 e26b39 e6affc
0158da 029b76 3bf8b3 716996 77c542 97482c 9b97ac ca80f4 d3ec09 f2baeb
015aeb 34fec1 3fa89e 6b70ab 8b6133 a11459 a1e534 ae9af3 b29a60 d6bedb
015bf8 2ca679 725057 77ddb2 92a7b2 ad84e1 c6298e c9ccf3 d3bc2c f41d00
015bfb 0bd6a9 418303 6e5b56 7bb61a 9019a1 aa8eb6 bd7b69 c5e06b f6b5ec
015bfd 2defed 497475 5c97dc 96a6a6 9b13aa a30f46 d4ad69 d4e52f df212c
015cbc 0d9fe9 81fc82 98b9b0 a1739b b23759 d6b204 e4ccf1 e8090d ef6f6f
015cd9 11f3e2 28abc9 376453 689087 7a6294 875c09 a2f45e b3b8a6 cb9054
0161fc 15f4d8 2eb8bf 6b7497 864c5f 908df8 a90c18 ae8436 beee3f ebab90
01648b 0ae3b4 817d7c 900afd 92c35b 946327 9efb02 c78fb6 e9c5f4 f348e9
0165d8 0fe387 339737 4b6134 817773 9a218d a2a6a4 a3f604 b773b1 e3b4f2
0165fa 735d19 73bdc0 86f3fa afe331 b03e90 d182f7 d98909 e1d5b9 e33858
0165fe 08aad4 537b7d 61eae8 a70aab a91b09 aba89d c9e7b5 e3613f fdb93f
0165fe 607296 62cef2 678fed 9b9294 b00344 bcc8bf cf582e e6db17 f08f65
016776 4abd7d 626049 708981 925903 b2991a b3ea94 d017bd e4c5ce ff80f7
0167e8 1d9f6f 4e6174 7ec9c7 858e9f c1dea4 ce93fd d34929 f6dc24 fa8007
016862 3d69fe 59acdc 6d5d2d 76924e 84fa96 88c335 af27aa cc7a97 d2d1d3
0168f3 13694e 4ba0d4 6def52 727e0c a02082 a0a54d aa7789 b1c7b2 fbc6ef
016970 65e1e2 6f4bc7 6f95a2 9fd349 aa906f ab4440 e74707 ecd7b3 ef61fb
016a59 40e752 457ee2 74a242 885e92 a53b18 b1ab97 c582ad cfcbf8 f0d9bd
016b41 29f7fc 30aefd 618a12 6cbd4e 9708ee a27282 a32178 f1c3aa ff3dbc
016b5a 1cd6c1 489627 911fd1 a877ed c44292 c5eb8d cab4ff cbb302 fd7478
016b5b 01a1ea 43e7e1 6c4cfe 914c03 a9bc9d acf39c b97a2f d1ca02 e60892
016b80 1ee4b9 27a721 657c76 96d14a ab3040 c69cf5 c784ab d70bd3 ddd8f6
016d01 399a59 8645cf 89417a a37bf7 a5dbf2 b0b203 c8eb57 e277ac f4b5b7
016d63 1e97d1 4ff395 657716 7543d8 99b6bb abab1b c28377 dee007 df268e
016d91 2ff946 71550c 7eb2c1 9251fb 948389 b5694e cca883 d5dad3 f5720a
016e30 2cfd36 54bd67 86978f 8b8403 ad226d bdcfc2 c1a1cb d639e4 f1d1fe
017000 17d10f 4f9817 8d4d60 978b76 9e2be6 b0eeb0 b8008b f1a7c8 f651d2
01705b 27e426 4a9c17 8945ed 8f448f 96351c bce4f2 bda8f1 f45097 febcb5
017362 18e5be 61ae82 8911c9 8b6b10 8fb104 b484af bab3ff dedc0e e420fd
0173db 0ad80b 1bfdfc 6a990f 7b5e2c 909af2 a0007e b45b84 b99f9e dcd5bd
017424 622ceb 766367 7bd0b5 839872 b25cfd c6ea85 cab022 d4b8fe e3159e
017503 3b66fc 60b6ee 714f52 8fecb6 997f9d a5b7b5 aa08a5 e55d65 eec848
01756b 62ed77 79a36d 887313 931495 9a82bb 9c07fb aeb6fb d1960e dad2e6
017606 87bcfd 8816b9 b34eba baa1b3 c31a69 c5daed dae901 ed7655 f3bc9d
017827 08f9ee 48c37d 669c1d 744391 7b3ef1 9c5370 acabf8 bbdb05 f16bb6
017865 5fa596 7dfbb2 800afc a791d5 a8002d b51a9d d3c4d8 f12405 f3b125
017887 740ffb 76d1a1 9958dd a3391a a497f0 a96e60 bbeb2f e75c0d ecb5de
017901 02d2ed 6147cc 6189ff 89a10c 991d6c 9fd64d b45f84 c1a1a9 f1d8bd
017910 57d51b 744d63 ad93a5 af1db4 b6f09c df4cfd e1d1d8 eb5371 f39cf7
017a00 37e5c9 3dbb0e 7f398d a22b58 a742f2 acb6fd c57aac d9dc71 e44f71
017a68 40e03b 595b89 639e71 b791b0 c426f5 c7dabd c8182d f57efb fdc6fb
017af7 06d57b 37693c 549633 b689bf bc0696 c2d5d3 c96f85 dab6ff fada23
017b86 1ef4fd 6399c8 864a22 918a76 a7cbbe b61cf3 c26514 f39d63 ffda27
017bf9 38fccb 6c5c07 7e9b1c ad8bc5 b16f85 b72198 c7c1f1 e1d90a f0a678
