# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
a62c23 e37a34 e2de3e 65756e 88e0ce 5783de 0045fe c4b5f7
59b109 b3cfb0 1afd04 006d0f 9755d4 c68fca fac9f2 a94c72
de8a63 e9cc27 b8cebe 006d44 81eaff 8097f6 a719fc d32a92
c7b840 858948 48f5c0 006d5f 0b9f9b b5c0e3 9a34b2 d865f1
877f1b c1b83c 3cf3ac 006f4f b7cbe5 8397b9 8b38d9 e33a83
f6c3b3 7c987a 08d402 006f5f d9dbf0 864897 c87fb6 c91116
2ca624 16e14b 007147 c5c7d5 c590ea ad4bcf 942477 f15996
baf12c 638a26 64ca67 00714f ceb2f2 751adf c24df2 805781
776900 a2990c ccdf5d 53a189 007365 94dae8 b29cff bd31d0
faba37 838a16 b8e2ac 007444 2efbf8 72a8c5 9e3ddb c46e85
968a23 ced837 356a4a 36d296 c8e1ee 0074e6 8495ad 9e2f89
999a96 b0e29d 0cc02f 007645 7b07f2 815da1 d387ea e3d3e6
956248 b49c74 68e504 d1dfd9 007680 988fcc a342fc eebdff
e59182 968605 1ffa27 007682 a89fd4 dbd7ed b030e4 ae2240
e3a271 d2e622 007716 a8e0d8 49b8c8 9b44bc 9f1d67 df4a7a
c37d58 ced80a 0ffcac aac5d2 0078bc 2badff 888c97 bd0c5b
a12f04 be8801 e5d500 56725b 50e9ad 0078dc aab6e3 93879b
c38b64 ded362 007903 b7e7d1 27c3cb 8986f4 776f88 8524b1
948f8d d79a60 c5ee57 00792c 99cbe8 8e6bff 7c0fda 8d547f
757411 cfe38c 90a88c 0bca13 007960 6b2ff2 b85edb f0ade4
963422 969222 d2da8d 48bba8 4afae7 00797e a046d3 e89afd
dfd61f 86a506 c9e3c6 84c7fd 0079dd 83457b ae81a4 c95067
fb280e fdbe81 91f4de 007b6b d3bcfc ae22de a68aac 963133
b9f25b 3e7a21 007bed 84b6ec 827a98 8e3a5c f2bcc4 dc7b7e
d8c6b0 988343 0ed40b 007c83 b9daf7 9101f9 f439ca 8a444a
978125 5a654e 1ef66a 01b0a8 007c85 8682de ccb9f6 8921f6
cfe050 7c8f3b 14c1a3 87f2ec 007ce1 a9aff2 765383 9f2344
bbdb15 007d15 2faf4d 76f6ca 9661fd eca1e1 be2c98 927276
e9a818 e3dea1 889d78 007d20 9ccbc7 138ee8 6625fd d30697
596311 87963e 88d543 007f68 05c3fa 8d50ee dad1d9 c88aaa
b49881 f5a419 c7dcae 008030 97d6fd 7596f8 7d7b87 8c22de
95ea02 0d760c 5e9e66 0080fe e39df1 a645a0 ddd8db 70686b
c9cc89 5bb10b 00822d c3e0ec 7c51fd 8a2e92 7f757f ea68c9
f9c2bb 8d938c 3fc93a 008240 60606e c6b4f9 8f08ba b173b4
ffc0ad 78eb07 00852f 6a43b5 a084cd d0bce8 85526f fe5375
d5c27c 739e0a 008751 69f7fa 966fe5 7703e9 6b5673 f98cb7
886710 72b232 a6f2b2 0087a2 04bbfc 6e3dbf bcb7bf b42163
af361e b2885f d9ca74 28fed4 008888 93c1d2 b383ff ae0dd0
b08d6f 74ce13 008909 11fbc2 e0c1ef 646065 a233b2 f35bab
938781 9eb978 71ea08 3a881f 0089fa 575a5f d3acd4 d41ba8
d87268 c62706 6c534d d2b531 aed5ba 08c8ec 008ac5 732af5
56d874 008b3e d0dce2 a065f4 7040a8 cc9dfd b37c96 8a4764
b75445 a5c11e 8ce1a7 789daf 008cff 0458cd 6a6180 fdc2fb
f69a83 eae041 008e21 81e3d1 a9aae9 8079b3 672ffd ca0072
9a3911 c68400 73e92d bbc5bc 008f62 828ba9 883fdd fbb8fa
af6f0e d7b40c bae0a5 008f6b 12c5bf 6f3beb a072eb 68546c
d5716a c2bf3b 277c15 7be3ec 008ff7 6b42af 977299 a3265f
bd1006 85665b d29e5c 98a9a6 8febe4 0090fd 712ce5 b7418e
d6863a aaf748 6fc0a4 00929b c48afc a62dfd fbc2f7 c7113a
70a82a 64ee13 0092e0 d2ddf9 3c55c5 887687 df99a0 a3373e
c52925 cad5c9 1de81a 00937e 8416fc c851d5 dda3e0 942d83
ad8f8c e7c7c2 8dce0d 556154 009403 0bc4ff 7834f3 9c4994
f2b739 b18712 9bc4a3 00957f dfd7eb 844095 fa60c3 bf173e
975b57 c1c15d 7a9501 94baa7 009699 97eef1 5359a9 a277ff
faab25 84742f 2dfda6 00969c b79efa 854cd4 e4c3db a82a61
a7421b 8fa004 c0d7a6 73fd04 5d7565 0096a5 4c3bff d499fe
d69f94 d7da76 56611e 89ae0b b9e6eb 009ae2 8d2cb4 937d88
794f0e e6d34e 009b5a 41fbc8 c4bbeb a378e8 705697 c086a2
c67f73 b5e269 4d605b 7ed6eb 009bec 8323ec 8a7798 c50412
e0b813 07ffb0 009eee 949ca3 bacdf5 8a3291 b02654 fd1a37
d46d0f cccd3c 83b69e 157354 82edee 009ffc 6a44bc 8e7ea4
aba293 9dd202 00a032 4f6e5c 43fcad 3c40fb 9f4899 d478cd
6d5250 bbb93c 71872c 00a08b acc6cb 3d6683 7e45e8 e173de
5f5b36 93cd39 00a14b 38696b b785fe 8e02f1 f224a8 e3aec0
f48057 845012 f7dc1e 6ae6b0 00a1e0 ccd1e8 555dc0 7f7887
745237 adc865 00a207 33fec9 575f82 bf60f9 f9acef e27390
8d4120 f6a70c ac7d1f cfc6ae 65836e 65ecf4 00a3ad 7544c7
958f40 c0c634 4c6522 cbe2e1 85aab4 00a3f8 295afa b74774
a92907 f8ce0e 78755d a2b160 00a5ac bee2e4 086775 824aee
e1e05f 94a646 2c690c 8ee0b7 00a5b7 8642d4 a91475 ab6a71
af8282 9a4e39 f08f48 eee21f 21f5c1 00a6d7 7258d8 6b507c
a9452d f3e027 a6a330 20e79c 3b6a69 00a8a6 cad4e5 bf43e3
c8322b f27c01 55e986 cae1df 00a8d1 4651b7 78526e b37e87
d17452 70550b b2bbab 62f846 00a9dc 60666b 5065db f4cef9
dfb08c cfe70f 588928 30edf0 00a9e6 3a59fa 784678 d56897
3e653c 00aa21 2bf06e 2f61f7 a2acef 8c818d 972f92 eaafbf
ce8b14 f2c664 327235 00aa7d a2cecc 856ece c2a7fc 855a7a
a7632d f1d63f b9a00e 00aa93 56ebda 1f6678 b0aaee 744dda
bc7661 8e472f c6c7ba 7acb0a 60e7ff 00aada 7059e7 706173
d29367 976d27 b7ee1b 00aae6 8a9096 5766cd 646266 e2c6c8
4f6733 add97e 00ab1b 6248f8 a287f4 e8aed8 ac4486 ef7198
2c690d 21e64a 00ac43 b2aaef 7559cf e7c7d7 aa2b65 ee579a
b8bb00 9fea9f 347d3a 00ad93 6d0bf9 aa57fc 6f5488 fba3f0
dac3ba b58127 8ad71d 04f8ff 00ade4 888396 8319f3 c62760
c13b2b e19977 ebdb00 99def8 00adf7 5462cb 8f8ea0 635d64
923d04 cd7608 f8ba61 668668 71e9d4 00b1ae 6535fd 875fa8
da584c e2a932 b6e4d9 00b1e4 824af0 705c7f a78597 982e42
ce540f e9bb83 586c5e 8fb5b4 83f1fb 00b1e8 a53cef 963482
fadd0b 4c6a10 8fb84f 9be5f9 00b2e7 a925de ea2d94 6b5359
765f1e b9ae39 9fcaa9 30f5f9 00b2f0 1364fb 961494 e554a7
a91812 97d916 616a60 00b35a d417e6 d689da 8e4284 e1cfd0
913d03 c8d623 17fcab 9dbeb9 00b3d9 6065f3 6c588b f84975
ecc1b6 666522 91fb2c 00b501 1b69cd bfb4f5 913367 d16691
eb4017 aa8d7a 8ed261 00b5e1 5d6f7d 8a29df dbd6d7 a31c2c
e4dabc 9a9f99 237a16 00b605 bbcffb 1b53f2 ab6fbd 971f7b
933635 d53c07 9a8377 e2a75d c5dcd6 00b6c6 5562ff 70639a
ab2b06 e5d8cd 98ec3b 00b82e 4e7c62 792cc3 a85ca6 ea9add
a13e39 f0c0b6 b98e69 7fdc03 05fafe 00b8cd 6d73c9 78476f
bd0c07 f0c4a8 88887b 6dfb1a 00b916 3a6874 c1b3fd b441ca
aa3a2e eec8bb caec62 00b948 84958c 9ad1ec 5167fb 8e6a9e
fdcbb0 91ec1a 3b6543 00ba48 8b9a94 1662f1 c49ce8 7f6490
9a4f4c a39089 c8e198 00bb07 522ffc 7650a1 ec77c6 fccfe3
944323 b1c5aa 33fa0c 00bc0e 3e6261 7f66c6 e7b5eb b4809f
fdb22b 6a7844 4affaf 00bdae 117081 8981f4 ddcdf5 7929cd
8f8a08 c3bf09 508074 00be95 15ffcd a9cbe6 cb3ab1 a22129
a89988 a3d771 458f22 5e625f 00bedf 7c30fe 8f56a2 e3d1d2
625751 d0bb43 587d22 abe7c5 00befb 606eff 923a91 d57d7f
dac0a1 a4f410 00c017 7281a6 4a4eef ada4f2 bd7179 8c3f44
5e5f1f bee103 6aa85f afe9f3 00c0ed c039fb c8347c eaaeb1
9e3905 d08a11 fdda0e a7a48d a7e1d1 53726d 00c1e4 b705e1
f5b326 998905 156b2a 799f96 afe7e2 00c1ef 1a7de8 65616e
905b0b ecb759 9bc7af 48876b 00c1fd 014ff3 70588d 9f8ba8
f8968c ab7206 d0d12d 477857 b1ded9 00c2e0 a52df5 912b73
d6951d ffd202 2d7710 a2d3c1 00c2e5 817e8e a23fce 943058
ac897e b5ddae 138d14 00c318 174bed 9678e3 eeb0fa 775c6f
804948 c84d09 fdd802 00c566 aed1c8 818a90 c0a3f1 7f54ae
ea7922 785c18 a2f68c 00c698 557672 9452e7 eeb8ec bf7abb
f3d9a4 707b0c 00c73a c4cfe1 777cd2 7029d6 c1748e 99405b
a29a88 dfc50d 449e1b a6eebc 00c7d3 706489 af1dff a81d3b
9a520c face75 ba9939 a9bea9 178b6d 00c7e2 c926ff 72497d
8a6d0d b3e7a4 849885 00cb39 076b58 7336f4 dbc9e6 e061be
8b3e35 c67a4a d9c442 00cda7 016ac7 b8d7f8 9f9bde 737277
895413 b5d03e aaeae3 479299 00cef1 7140a0 cb51fc f6225f
995010 df9803 00cf84 4e5a77 9a99fd 828186 a046d3 f4bff4
e8825a 6c5343 a85e0c d1e855 00cfc4 356e79 b995ff a153e5
fc4001 ddb884 5f604a cbef0c 00cfc6 a39dff 8362d4 c06e86
9b5212 b5cdaf 00d142 749785 516566 9f2ae8 e47fe3 f2caf1
e91a07 c4dec4 00d444 199056 1151dc 9b75be f2a3e8 983370
526108 5f8f61 00db39 504ee2 cbb4f8 997fb2 954a70 fdbfce
765644 c48e27 e8d379 b7e8df 08a993 00dbfc 613ad4 a768de
695d5a a24e11 f97908 00dc88 c8d2db 2b4edd a093e8 a88e98
824f40 f0d6a6 0fb74d a9b3b1 718483 00e2f4 6a10f9 9957d0
d8cfbf 8c6b11 73a474 00e633 026c6f c2e0fd 8334f7 e770cb
964742 7f9f70 d2e2d0 00e94b 2a9aa9 26638f 9f49fe edbcf3
8b7776 914100 01a82e 00f054 bbb1fc 820efb ce43c5 caa2ae
c47a0a d9c923 636b42 9ab090 00f0e7 7f2edb a86bd8 9d1a79
9a5b03 c6e0b5 00f108 0c6a51 3a81e9 635a89 fab9ea c683a1
526119 bad849 70a03a 00f1fd 35767a 7e22f0 fe33c9 ef9cb7
be150e e4e432 a9ab3d 00f3b6 31b498 137d74 b8c3df d41ff5
d7731a 969d7c 516435 c3e5b2 00f42d 6c4ade 82607f de9dd2
cc6428 aec628 00f4a4 238b8d bfddee 8d15f9 e680ee a41e22
d24612 f9a381 b3f415 0f7565 00f6d0 8cb1d1 6c1ff0 a153b9
f4a371 efe207 6c9c01 1c6f26 00f6e5 7244fe ba90bd 92607f
ca1b12 ee9a18 00f7a2 85aeb5 41679d dedafd af8cf2 af6273
8f4117 ce691e cdd43e 85c8a4 00f7f1 6d7e86 0c74e1 ba9afa
cc5c47 ffb5a6 bfe32b 00f8fe 84a7f7 4964f8 7e7b88 971990
f65f26 dcd304 00f9b5 91c0c2 3469e5 847f95 784583 b01928
fea5a4 e53b1e 99e72d 65886d 00f9e1 4850c9 be97d7 81597d
cc7126 a0d55e 5b6d5d 35b685 00fad5 455eff 9c85d7 7b4298
9b3520 e4ccad ab8526 8de110 5d7b75 00faf6 8a1eed ef58c9
8c400c ddce3f 899152 00fcb1 247f7d abc1c9 892fbf c573ce
feba03 525d4f 449855 00fd9d b5c4c6 8f3eee b583e6 d43090
9e4b29 a7df24 64b458 00fdca 516262 526bde 8e8c8f d0a2d2
a73d33 a7e26f 0db80f 00fde7 8077e0 c3a6f3 774e86 dc9394
b28a5e cece08 a7e3b8 00fdff 89a0c6 8d52fe 6f5875 a02125
876f1c c6c2a5 64d707 799478 446763 00fefd 9355e0 f273ba
9b826f c25400 daaa20 bce4b2 24bab6 00fefe 8260c5 7f4647
cfb8ad 78723a 8ead23 00ff42 157892 6e9fd2 cedff7 811ae0
e6be1e a2a888 00ffbe 18a9d9 b5d5e7 2054f2 b73885 fe1c25
e5810f fadb22 91afff 0145fe 7060a9 c2bac1 998289 963e45
935754 16f70f 13b355 a4bab1 0148f8 5e619e e7d4fb f173d5
f3ae9d a2a508 b1ee25 537d62 66e7f3 2f9afb 0148ff b01092
616b21 8cce22 3dffb3 1494d0 014af6 8b4278 e5b3d4 cd6a72
d5c04a 696640 569706 c5e8be 79c6c4 1f96f7 014df1 ab6584
f5da1f 9daa37 2f7512 5da483 72dad5 0150f4 7d73b4 855b6e
824818 c17409 d4ce4f 89edcc 13a783 0150fb a5acc9 6a647d
665f5e ed7645 b6c1a4 93fa4b 0b9c9f 0151e9 fda6f2 c2030e
9e5d06 c0d048 01fee8 93bef2 0152de 8282dd 877c87 e09e9f
b16e56 9a3402 b2cf1e 5ef3be 0152ff 60629f 948597 dd97e2
af7742 f4d126 a8bfad 58dbf3 5892f9 0153fb 62647c a80b3e
968f03 d3ec13 4f875b 26f3f3 66aed5 0156fa 5d596d f9a0a9
c87d67 d2be16 6efab3 77aaf6 0157df d0d4e7 7a7b94 ba181b
eb6d0f eac296 869189 77f3fd 0159f2 a96baf 8e3f57 c4070d
ae7943 ddb232 1cf4b1 93b8bd 778285 04a6e2 015af9 a1018f
d5574b ace90d 44d88c 2496fe 015de0 667c9e e5b5d6 824657
ff5f15 2afda1 5e6161 848f8f 0160ac d0c7e0 e672e2 bc1320
bec423 506204 b5dbf6 59a9e5 0161fb 8b5998 c54563 fe8c9e
dc6347 97361e ffa64a 96e9fb 0162d3 8894f5 937487 c6adb3
8c7771 b0e32b 44740a 0db01c 4cf6c1 0163b1 fccbff e07eb9
766141 b77200 dfb02f 2ac9a4 65878b 016490 d4c3fc b46bee
816868 10f418 23b050 0164a8 848ba2 c6bcf6 be78fa ba131b
ab5443 e48f34 8cfa88 9cbda3 778289 0164f6 714a8b dec3ef
b21f11 57a75f 09f35e 0165ef d5def7 72737c 8c2a8d da83ca
98a26d 617631 77e21d 02b6f6 0166df bf74a6 982862 e2c4c7
c8703c bdbcaa 05ef50 c5e2f1 54a1e5 0166ec 656d93 9d2547
895035 b5903a dcd51e 3ceaa3 6b8d82 01676e c3dce9 eb27c5
6d6f43 44bd3f 66fb80 01677d 8a9499 cdaaff d637e7 ffbad2
ac4540 bc988f 8dd053 016873 7587bc cdbbf2 7b40d4 ffc8cf
8f685a db5503 cac869 78a39e c5dde6 07b4fe 0168ff 615297
fbcbba 617b2b 84ad3b 92ec02 2ba68a 016961 c0a6e8 c449e9
81622c 9eae11 659687 016966 ace7e9 7024ff e291f8 c648be
dcc4b6 a28670 63c300 016a6b bbe2f7 9c89d8 7642ef d5181a
894506 93d305 728d69 46ebb6 016a93 d85bf1 b097b4 fac1f6
c78c22 a6a99a 3efe30 016b8b 8b75e5 7206f5 efb9f9 d11d4d
e6c7a8 bd9612 8df320 016c29 3077fb aaa8bd 8f4e90 ca5774
d49b0b e2d881 016d32 26b992 b6bdef 8a83e3 6942e2 96668a
eac250 72f4bc 016d89 359de9 823dfd b7afbd 9d2649 ec062b
a15a1c e7b921 aac299 8deefc 1abbfe 016ed3 75839d 5c585b
827c74 8bb501 016f0a b0efba 6392db 1e59f6 f6b6f8 a43b89
719300 016f24 21e766 04a574 9f31e8 e5cbed cb6daf a23475
eed6a9 aca921 526b18 016ff3 6fa0e7 c8cff1 9f165b ef3490
f0b509 a8f3a3 0cabed 0170c2 6a5770 e1d2de fc679c ec1539
a55522 d4d1c6 dbb313 959f79 06a9ae 017178 95cafa bf5afa
a2351c c47933 31e186 0171e3 899fdd d4cdde 88768c 823884
615d11 b1f1a2 05b90d 0172c3 9a8ea8 d6c4de ab017c 9f606c
775006 958300 c9d467 017458 19f8f6 81affc 9194a5 b536c4
a57a38 e5cd48 04fdb7 22bf9c 017566 bbc6e1 6841c8 9b88c5
f66822 dfad93 7f5423 cbea4a 76d7e7 648a95 0175fe 535783
c24300 a0a58e d6ddcb 72cd44 01776c 7202f8 a653e1 e7aadf
e6bdae 12d02f 017842 c4dffb a39eeb 887f8c b12cdb 704b71
717c20 adf606 0fdf83 01795f 8caaa5 e0aefa 882ca0 bf62b9
938774 017a22 1ed354 9884f3 6d3adc cdbbcd cb4d9e 5c595a
8f4607 01c309 a7cbab 25ff58 017a79 ac8ec6 a224fe dcc5e9
c3847d 865a38 4fc217 62fb81 c3d6d3 017b87 af8fe0 9a47e2
ecbb6e 407619 d5dcd9 959d9c 5bbcdc 017ce1 695470 f84360
df7358 99441b a5d30b 3beea6 017ceb 4f5787 838393 f2c4e6
da6f37 e0da4f a4f0bb 92ab9e 017d77 674ca3 b584d4 a5393a
d3e1c3 6fde10 017e00 92a29c 1e97dd 615893 f5b3e3 83656c
c3ef44 2bb80a 017e02 6bf1b9 da38e2 902489 d9a2cc 7a7375
867e47 93b502 9cfa2f 11d58d 017f79 888aff 7b399e ecb1da
d9bd12 6cc68e 018069 c5d0e2 941ee1 8e2d7d ea4ab8 d51026
ea9d57 819487 018133 12d6c9 824ff9 c094ff 615a62 ad66a9
a69d02 b7e303 2d6c06 50fec5 0181ec 735a80 fd9ef4 c3636d
aa120b c36658 a0e928 0182c2 9b9ea1 7ab1e8 e2d1e1 875175
dcbdb4 9a8a83 20ff26 01832d 5f6061 95b2f9 ca33ef 8e2b8e
df9e0e b6ec8d 2d710c 01f0df 77add1 0183f3 902c7f d74a70
f6d3c7 a38d74 4a6a01 9ae342 018494 43bfd4 9856ff 7d4653
bf9d78 b8d915 018621 75f9d2 2cafc5 828284 ab4ae1 87396a
abd26c 018839 525c59 40bbfc 8b51f5 9a8ea3 863e8e ebd0e1
efdc96 b0ac25 2bf3f0 0189d7 536b79 8101de ec8da4 d91539
766662 7ab370 018b07 abeab2 b93af1 eba5e6 91307d df5a9f
9b3c1d e15804 84d953 018b7b aa98ff 9933fc d5bdde 7a4187
b41e07 f54d0a e7c41d 666c58 a5b399 bbe5e3 018cc9 5644ca
f98f60 b55f27 d6ea0e 75e4c2 526f77 8fa3aa 018cfe 7e17ea
a2968a cd9008 806412 cbd6b2 0b6c59 5ec9ed 018efc 757fa1
dcc250 585f45 018f14 23c39b 83f6e0 afaafa 9864e5 99397b
9e8885 6e5d57 f2a21f c4be9e 5f831b 018fad 81d5e8 a20ffc
73644e d6d506 839d30 beddd3 01908b 70bedb 5a4ab6 9a71fb
9a8f8b fbd3b6 525e4f 019105 50cd55 d4d1ef b146e1 aa2384
d6c3a2 b8f40c 019538 94b3f1 95829c c13ee2 a00486 7c5460
bb9593 9c402f e9d8c0 37e13c 0196f7 395f99 c1cdfe 6d666b
ae950b cbe8b2 567e45 1df627 0199e7 9a9caa 6d489d efcae4
904d4d cd4905 66d545 0199f3 0b5ac9 766a89 e7d3e9 aea2aa
b18e68 fba731 d9e0b7 59751a 019a9a 6ae0e4 b28ff7 a107bc
f4cf60 928e1d 286922 019b79 214eff c7c7cd db74f6 ac298c
ef1504 cfe914 6e7f62 9ce2ec 019ce2 654ee9 932d77 b598a5
f6c0bb da2104 9bd82f 019d88 3df2fe 7564b1 c885ff 933953
dd8e12 e5c48c 367112 838d88 019deb babedd af0695 64575c
b93e04 c7a339 e8dd8a aabcae 019ec2 5ed0fe 5f55dd 6f577f
94631e fccd1a 6eac6e 83f7ca 019efe 5a5eba 655766 b4a4b5
786656 ebd487 019f00 cae3e1 30bef6 7a06e2 b8338c fb67ad
e0c2a2 ec9624 72581d 64eaf7 98a8af 01a1f0 7848c0 bb586d
f49e7b bbf019 42683e 01a218 76e7d8 b2a5f0 802afe 8f6cb5
bcd516 01a31e 89f9ae 2d664b 9758d5 f9b4fa 98347d fa6aaf
6a5445 b9ebbc 2ddc4f 01a33b 56667d c8bdd9 922ffd be6fdf
983112 bf8952 bceb49 5c645b 7ce2dc 01a3a2 4f50fb b89afe
685649 8b865a a3c430 79fca2 567d85 01a3de 8142e5 eeb7cf
f8c7bf c1955c 9ee011 01a6a4 4fd8f9 533ae8 8b6ed4 874f5c
6a5a36 b2e440 01a764 11fcd3 787b86 3e53fc d8baf3 c375da
9a5f2c d0e476 84b71c 01a7ff 0b6cd6 9582a8 6b5076 f4a6be
a61402 e8d468 5e6150 01a854 bbccc4 862df0 a995b1 af3591
a0b24f 417d03 bfed97 01a8d4 0a50e7 7b5b79 f0c6db b57173
5a623b 749628 72e56a 01a98b 7160d5 dcd7ee c39add a43a78
cb5453 aa0c03 caa322 d9dd94 01a995 a3baf0 6258fe 6f5871
b9a198 c8780d 645a4a cbde89 93f0f4 01a9df 2f60fb af0c91
9c6835 da8e09 f5d858 59ecc6 90afbc 01aaf8 5769cc 655563
fb7900 77ed7c 01abf0 5a5a7d d8d3f0 a420e2 b38490 d82329
e9aa8b 675920 b3df07 01ac00 8defe3 756ece bc9ee0 ae6483
bfa94d 537013 c0d7ba 01aca9 55def5 4249f5 9079e1 ba2d6e
e6ad99 c77707 bef23b 7c866a 01acd0 2661e3 6f4e66 b10715
e8b129 cfe1b0 93b4b0 69e6fc 01acfd 2269f0 836f90 bb1d44
8a4f20 ffc032 9af2b7 01ad5e 8e9da3 4759ea d0baf1 7d6395
ffb91b 917b27 aaab90 d1e7a7 01add0 a0dff1 40629f 874156
a91a14 e44b11 eebd11 c7e5b5 01b083 067266 83def2 b14fc0
c1591c 8ac700 40f3b6 01b378 08786c ad70f7 764ba6 d78fba
dc573d e7c159 97eec3 01b38d 454bf7 b2b2ed 8074b9 83474c
7c4d3b c8cf91 a0fa0d 7c877f 01b437 8900e9 d544c7 f79ae0
61ea09 d3e0cf 387628 01b444 4c33fe 7f6cdb bea9bf 826179
dfbc13 828d79 cfe4c3 207308 6decf8 01b4db 6666fe 9f4b86
dfaa9c b8cf3b 7d9c20 306a0b 3efae4 01b5e4 3874d5 9b7b7d
978926 94d542 01b8a6 617478 066fb2 bc9ffd f5c5e5 a60c3f
955116 cd882c e0cd02 b4ebbc 01b8b0 3f667d 897afa 7f00e2
c18581 765313 859303 8af20f 596466 01b8fa 3d7bb3 b5b8c3
69f222 1d8216 01b93c 6f4cd5 ef74fe d5b7d1 8a3b73 8f7779
c54f14 f3c244 457c69 34f3c8 01b99f b6c0f0 892ec6 b46abb
bd3d1e d9cc22 40fdce 01ba9a 476e70 0654f6 b5c1fb b575dc
eb8d60 dfdd1a 616727 01bbad adc5ff 797cb9 5c2fef bb3374
a53504 eb8210 e4d498 6f8765 a6ebe5 01bbf8 753ca4 b085a6
a5362c 98dc89 01bc10 416266 4572e8 afa0f0 e8c7dc b97e9d
bb2203 bf7959 bbd437 51fbbd 01bcb2 7d7fd4 5151ab 655e65
a22720 e4ce14 969f19 a5eae4 01bcdd 1759ff 69699d a2696c
ad1800 efcfad 01bd0c 317a61 adb7c5 743eec 925d9f ec74fd
7b6a21 a79f02 bce451 7af7da 01bda0 288480 ce06dc f09cf1
b21900 cb6751 d1c50d 8ea49f a8e7ec 01bdfe 106edc 5d5b5c
348414 56f790 01bf58 c4bcff 7b7881 96108f d047c6 cea5b5
cbdb05 8bac50 187722 9aefdf 01c0c5 797cfa 6127f5 927076
ddc8c6 c21201 8f7b60 01c10e 24fb73 3a62b4 848ca1 acbff6
ad8c02 dec329 616140 4bfeb7 01c285 ccd0e4 5463b4 a38de1
e9d18e 94b018 0e8721 8cf3e8 01c2d0 8f75da 943765 ee6898
b11e12 cbda3e 899a03 01c396 92eee8 3e6567 a3aadf a244b6
eecfc8 4b7f19 92d161 01c3d8 503df8 886ea9 b31169 c38e95
e1d5d5 6e542a 9ed464 45992b 01c4fd 585f6f ac20e2 ae90ad
8d480e a6892b d5c54b 6e7169 a2f1c7 01c5bb 0970ab 9194f3
c74214 ec8651 cdc4b3 94fa72 01c5fe 4867c6 a183a6 894c50
