# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
ccd197 67fe05 0dcc0a 128836 81998e 0292ee 0048f9 656365 b75ba0 f19dd1
7b5655 f6c181 bc9c0a 687c25 229a86 46f2d7 006880 a3a8c9 764cf0 b177ee
f9aaa2 954d0e 76d51b 666f63 5b9b4f 006880 d1d3e9 a1a2b5 a336df d369f3
a4806d cc5b06 e39d51 3ce0a7 95a4af 0068be 2a96fd 5d7086 d5ccf6 aa014d
f7da59 796a26 aead2e 7dd7a3 529c7c 006959 777590 cdc7e6 a952e0 e786ff
e9a207 688962 006c26 77d59d 0198ff c3c6e6 662dfb 9548aa 6a646b ac8db1
d02b19 eb886c d0d905 55feb6 a8c9d9 006cf8 8294f8 a00793 af7c89 764c4e
f9aa1d e3dbbc 09bd7a 5f8b7e 76ebf3 95afb2 006e84 9635f0 d294ff cf313d
a62905 ffc894 d7eb04 5f6753 14a901 97c6dd 006ee3 918ece cd4c8c da8a93
9a2c23 e9cc5a 50a003 c4ddd1 2d7270 7cd7fa 26aae4 006eff 7c43a0 ed8082
d1c4c1 eca473 9bf422 29a21e 006f01 5ed4fa 8c92c3 763bf5 ab0676 b95d7a
e3d9d9 f26633 af4104 fec907 84cd89 5e997c 006f4e 626379 b790f0 a538e2
877f1b c1b83c 3cf3ac 006f4f b7cbe5 8397b9 a96fff 8b38d9 a91a82 e23479
bf5605 cdcfad 78d025 90988c 5c6e58 38fbf5 006f79 9d62f1 722cd2 ce93e5
97340e c6ae92 abd52b 5aa90f 007064 9deced 12beff 9d03f3 b044a8 ed6ebb
c34a30 b9e20b 648e73 1ec563 a1ece0 00706d a59ab9 7a25cc e1b8ff bb60dc
d53600 b49860 dcce9d a4d21a 247855 a5e4e8 6faddd 0070fa 95969c 645399
eacab9 2ca624 16e14b 007147 c3c8dd 7909e3 c590ea ad4bcf b02182 f15996
a35732 e47a0f aaef62 87b482 31f3c4 00726d 0992db 96909b 8131ad ccb6d8
b17a03 bfac80 81817f b3d809 45642e 8cf5c9 8cb2b2 007288 319fc7 a32de1
dc473d f38920 d4b189 d4e62a 7c8f90 00728b 8ed4fd 5f9ae5 7d50f8 9f2838
aca084 c5d390 a7f827 0da301 00730d 9b32fd d064d9 983b86 febde1 736566
d5d217 98ac4a 658300 87edb9 00735e 679dab 946dec 741ef0 fe9afb a0378d
eebe97 d5e943 74b72a 00740a 7de5e8 4697c6 8847fe 714493 9f4761 ee6888
a16704 665d4c 48ec49 d2e0d8 00747f 9a68dc 7d0cd9 f9c0fb cb90cd ff7e9a
b94f23 fcc79f e89814 a4a093 c7f002 007665 6bd0d3 5181f7 6338e0 9c4f9d
88ae17 aef655 00770e 3db4ec 6a59e3 d7c5d7 a2699b a40e63 d26076 f5999c
e99842 007811 8df1b2 6e8bce bcbcf2 5d32fe 803498 bc427a ab9fa3 f20854
cfe958 7b8268 25b530 abdec6 007881 4ad4fc a4acb5 6933d3 d251c1 aa2425
c97675 ab2d0e 8bb221 81f43f 007887 d5ddf5 c0a6eb 7105f5 9b5ddd f5a1b6
f6c92c 9ddb96 007924 52faf0 7d4cfd a779df 67527f d4a7fa e97daa e84166
a8240b a1d53e 3ea411 5a7260 4ffeb9 62b4fa 0079e1 845182 e7c8e5 ae9caa
ac1310 e33e08 7fce3f 949993 5efaa3 007a56 d4c0fc 7f18f8 cd7deb 9c52b7
a33a13 d3aa0a 9af5a7 33ae6d 007a5c 9d9ae0 765efc c6c3cd 7f3a94 a17991
b97b34 cccf6c c7e2d3 32b28f 007a63 81e5fd 672aed b496e7 885fbb b11722
a41900 b8ab88 6ead20 82e846 5c7151 007ade f590ff 7a4d77 dfd7dc b97b93
978125 5a654e 91b985 1ef66a bde6cf 01b0a8 007c85 8682de 6130e8 ccb9f6
a18881 fab69b b86d1b 666246 c5cc00 39fde7 72bec5 007c99 9c90f4 ad1cf6
e9a818 ccdd9c 889d78 007d20 9ccbc7 07c6f1 138ee8 5b2cfb d30697 7f515b
8d5402 cdb537 908e46 dddeb6 575e4e a7d7df 007df7 b79ce6 c50c93 c17a8e
b57f25 715c1b f5d703 15d88f 007e60 bad6e3 7096c3 535a71 9849d2 a0999d
596311 8e9b5f 88d543 5cffa9 007f68 15bbf3 8d50ee 903f94 dad1d9 c88aaa
9f9a9a bfec09 81ba51 008033 73ead3 428aea 747095 d8b5f6 8c04ca aa1d67
f0ad7a 745f1d dcdd00 799518 c2e5dd 00806c 45c5da 805bd2 9d1a83 b2969f
e7c85c 666004 77940b 52b287 24fdc5 008082 d9ccf3 be93d3 bd29fd 962a56
b4d824 758a6b 575e55 008116 03fef4 85c2f8 6c8eda 8545a9 a38da2 d7b7b8
e8912b fdd36d 5b7512 7cb192 008281 c2bdd2 a088c8 744296 b239f2 9e3f5a
a06f6a ea6403 baa073 ebd7b0 afd740 00c3ed 929fa2 0082a3 7142ef 923864
b5140b bf9891 e2cbae 759b29 008355 c4daf6 bda0fc 945dff 685671 e063b1
c3ab36 e0e812 b3caab 00841c 20b9e4 a5e4fb 6c7afb 8522c3 9f3766 ce6088
f7c310 7b7e66 d1d8c2 476605 86ad5c 00848f 6bc1fc 8977f0 7248b5 bca3b5
cada28 008506 91d595 94a19b 1df5e3 0156f3 c38dd5 b4528e a50a58 fa3760
7d6b1a c6c61d 69c985 cadad1 008594 9da7ad 7348b7 a368f9 fa8bf1 a5095e
cf6f2c dfd9b3 45f702 8e9597 afc9d1 0cb6f5 0085be 702bf7 7f5d78 943348
c53a1e d6924a e2d09d 979693 6fff02 0086fe 7091b3 b8cbec 5749bf 964559
726665 93c955 00871c 61fdae 49b592 a143fc ad8cb7 f6a3ff d6cbd7 90268e
bf2600 d5c27c c4f110 6ab023 008751 86dded 966fe5 9110b7 8f718a f98cb7
75511e ffc600 947e06 adc071 6afadd 008878 b3caf6 8c09fe d930c3 c599b0
a56224 726d64 efbe4d a1a065 a3cbbf 6e949a 56c5f9 0088e0 436984 7819e3
a3ac82 c8ea90 74ce13 707f6e 008909 e0c1ef 615566 da70ff a233b2 f35bab
9e2700 a09c1b 8ab988 1ff974 008b4c 8765f2 b392f8 6a5672 d7c4d6 c171a3
f98324 76612e 2df289 c8dfd7 18bb91 008b6f 828ea5 5d5b71 d4a0f0 d518db
c39951 ded54b 677324 909c8f 95d2c6 03c1f6 008dd3 4f40e0 c24290 864f5a
c08e85 c75a29 cac179 baf216 8edce6 008df2 8096a9 596893 781be8 956566
895753 c03710 c8b716 7ba366 56fd89 009187 c7cfd0 6dbae4 6150bb 9c72f5
c52925 b3ab74 cad5c9 1de81a 00937e 80acb9 8819fa c851d5 734d77 f7c8fb
a88824 b4df30 34795f 11dcad 0093d7 8ea7b4 77778f 7c19fe e5c8f9 942498
e2ac68 7b8f0d 90fc12 009462 d1d6e6 8d7ffa 713aee afa1cc 902c8f 906887
df6d01 776a40 b5b28b b2e220 009587 13e3d1 544adb 736ba5 e778f1 873c5d
faab25 84742f 78b792 2dfda6 00969c 1846f8 846bd6 b79efa eac2e0 a82a61
8f3d31 b1b062 74f214 798f6f 009706 05bfb1 a3affb e7cfed d620cb 786571
bf3907 6b6550 c4b82e 7efc96 08cd99 009987 196689 ccccfb 9f9dca c708df
6c5b4a e8b544 8c8d72 009a03 62faaa bacccc 1b66f8 9198ed b3078d eb4ca6
7d5a54 8f8986 aae935 009a37 01d176 c3b6fc 9a19f3 eb3fb7 96286f e6b9c6
a4d22e 6da400 1b7f2a 67fca6 009ac3 636366 894bfb 9b0786 e5c4d6 a9989e
f23613 e6d34e 009b5a 2ecf90 a2efe0 2c6b60 c4bbeb a378e8 705697 be7f9d
be8a7f 71523c 848102 7fdf6e 009bf9 d3d6d9 0b5fe7 5f6f9a a4a3b4 edb6fe
a03623 ab7a51 e2cf33 74b499 71fac5 009bfd c6d7eb 5c62ba a394b6 645464
ffbe60 5f5942 719c14 55fec4 009c71 74c4af c7d6ed 8a58cb ab8bb6 b31877
c48939 fbb42b 72866f 8ac5b1 009ca3 56f5fd b297f6 a43bd8 883b5b ad1822
b7a7a5 d7884a f7c69e 814a1b 99e20c 2cf7f4 009ce4 245ddd 6d6892 d44165
c6f00d 83c745 009d45 03dcb4 4052fb a17bff a25a9f f5a5e8 a60b49 978a8c
916656 e1873f edd126 7fc9a3 009d8e 4d6378 9797cf c9c8e9 985ae4 bf0508
b8553e f4d6b4 bda241 c3e62f 76867d 99b5b3 009fc2 52d2fc 7e50cc 7f4e75
a12b10 d9d0a8 9dd202 8f9791 00a032 4f6e5c 80eef1 7d58ff 9f4899 d478cd
877068 b8a28b e79916 d1e1b7 057916 78cad8 00a0fe 80939f 1962fe 902f95
845012 d1c249 a2a4a2 86e1a6 00a1e0 016ad8 ccd1e8 545780 7f7887 e54a59
80492c bd5903 c9aa51 dfe298 82aa92 a3e1df 00a2d3 2e65ce 907b91 605e60
f1c34e 76755f 00a328 97bfa3 94f2e1 3967ed cbafe7 a13087 ca65a9 af0214
c2622f a7df4b 00a37e 90e0ff 8b8ee2 594ee4 71699c 86475e f993b3 a70c11
f6a70c ac7d1f cfc6ae 929b79 486346 65ecf4 00a3ad 9ea9ff 7544c7 b02779
7a7470 8c4700 accc0b 00a40c 9ceaa6 4a6c87 9e2be0 d25df5 faaeee ae97a6
c2d991 2bd500 00a40d 41724b 829687 aae4f9 6723f3 945ee6 d58dc8 7b516f
c59c47 f3d056 226c03 6edab3 00a492 cfc7e5 6a5e80 a205db fc2cd2 e00755
8f4e21 7ae802 7f9974 00a505 5b6c9a d7dcfd 943efa eb74e9 615b5e beb4b5
fed59a 5a5e04 4dd72f 00a511 ccdad7 61728e 9b9add c527ed a12859 cc93a7
925a11 d6c9a2 35dc26 00a55a 466760 bbdbee b0a2f0 8053e0 896899 c68aa9
e38701 c8e332 80ba8e 5f6665 3cfbf2 00a5ec 695af0 984795 a280a0 9f282a
adab7f b6e481 00a614 1b745d 8ff3e7 04cbd2 8060fe 9917a0 c67a9a a7071e
d1c844 5b6216 00a74d 457163 bfe5da 0ac4f8 8473fa 8100ff c226a5 d487b5
a3341e dbe0c4 81d64e 00a813 57716c 32f3f8 3642f1 da7edf b34cb0 b3abb0
705d1b b99d1b a3ee32 13e9b1 00a8f8 4971d2 a0a6b5 f7cff5 9b2058 cc5764
9a3f10 e9c512 4ea113 5b7160 75fa9f 9dc3ae 00a9ed 1348f3 dacdfb 9c6293
7d7c79 edcc28 abbf98 0e7924 00ab29 ace4f6 7c20cb ae4dfc 984e90 d086bf
fad037 92a12c c3d4a0 516d26 00ab86 95c6d8 454bd2 8177fe 8d6b9e b9096e
8f615d ec3e22 fcc55d 91c4a1 00abf6 7360ff 6d5c87 cfbbd9 aa889f aa0416
ef370b bfd0aa 72d846 00ac63 9a9da0 b434dc ed70eb f9cde8 7b5763 a8092d
bb1d01 9f8947 9ec105 54f9a2 00ac92 5537ed 7f67ba c08cfd 8f446b fa9bc8
b29e0c ddd60b 52702a 06eb92 00ac9e a9c5da 5746cb 997cec 8a578e d85272
aa1404 cdc198 8ca702 abf12f 528c4f 67e6dd 00aca2 765cac d27ff0 7e5569
ce6161 ef1405 84433c b6b86e 9be80e 00acdb 879197 6b63c9 655e6d f1b3c2
bbe018 546e49 76fba8 00ae57 8fb6a4 af86fa 8755d2 ddaee5 804072 bd6da7
f8cfbd dc5a09 c1e333 297b64 00ae8f 9ed9e6 95a3d4 9350df 972078 b20b1b
f99289 b53213 bcdb16 00b101 78f2e9 3b6288 97a0ef 8569db ac91a3 806a6f
bba331 837300 d8e55c 6aebc4 00b189 497786 a0b7c7 9975d9 6e45b4 b1195a
a1b26a 5b931b 8ee63a 1c6a38 00b1ff 7156ff e8d4fe 8a6ea4 eca7bb b87782
fadd0b 7f8855 4c6a10 8fb84f 9be5f9 00b2e7 b627da ea2d94 744d5c fd89a9
5e7c00 97d916 00b35a c52de8 893290 d689da 8c6c86 a19c9f b12756 e1cfd0
e8cbb9 8a4d24 919502 4eea09 00b372 638585 2c6276 dad7fc 8151e3 f275bd
d09c31 a6f01d 7b9d73 218112 00b3ad 665790 6722f3 d8c0f6 c158f2 7c5d64
984606 54815e 21fa70 00b44d beacf5 ab75ef 5d5960 9a25ea b5719a e7c0d1
fbd0b3 de9e5b be6e16 94f10a 00b4a4 2f7e92 c1bef4 8219c7 b248f1 b9284c
f9d2c5 a48125 a3d164 829892 88e8fe 00b4e5 1053f2 826ca9 764a67 a5454c
487522 91a58a cacdc9 41e868 00b52e f9c2fe df20cb a1097d d490be 827477
b62d2a be7469 f9490a d7bc5e 9cc2a7 00b5ef 7165fc d6cfe3 843f97 a291a2
903a20 ae7550 c7dbb0 7ce624 00b69b 6146e0 a26eff c59beb 835d97 f6ccf1
ca0d02 715f4b bbcd8e 8fee0f 808f7f 00b82e 9d2efa a85ca6 ea9add 962569
f4cdc2 986809 8bea58 00b859 037b5b abb3c6 c68dfe 8b7e90 6d4f75 cc12d7
c22c13 88c511 00b86a 5b887f c9e0ff 9d68fc 7a21f8 7b409b ea7bc2 dcb2ba
df680d f2da0c 71ab7e 74e990 00b8fd 5c76cf 59557d b7b3c4 888197 a05657
f0c4a8 776f13 6dfb1a 6b8b6d 00b916 3a6874 c1b3fd 7900e8 b441ca a889a5
f8c527 c0e6cd 00b995 4eeff8 8590a9 7059ff b98efc 8e5073 b1032e fd0022
ada58a ddd8be 00ba14 09f036 248240 b7d3f6 81828f 7f14d9 834982 d34bcd
7c5d25 baf311 7b7f70 00bb38 57f5a4 1d74bc b296f4 af88a8 e0b3d3 972675
97d121 518211 00bb6d 8e989c 564bdf dfcbfb 766381 b476c6 81464e fdb8bf
cd7d0f 8ae402 b4bcaf 5b7e4e 3ef5f3 00bbe6 3a7cf9 5d575f a11297 958991
944323 b1c5aa 759869 33fa0c 00bc0e 4c5f5d 7f66c6 b68cfa e7b5eb b4809f
ddd9d7 ab9a03 49f605 8dc17e 2d6a1d 6f9067 00bce1 1379f0 8d3d97 d8639f
c5c0bf b3f506 00bd16 378543 46fa95 a7a9f8 7e74f9 7739c1 9d8fa4 935972
5b6306 a0b704 8df4c0 00bda8 5d827e 8943de dfc0fa bd6fd5 84498a ec0e44
a8110a a06256 dd4504 92d114 59fe9d 00bdab 216e7d dbcaf4 b36efe 9729e2
947f6c 96591c c7ac0c 19f697 00bea4 576365 27879e 9b8ef9 cdb8eb 802fb1
67574b d0bb43 587d22 90e4b3 00befb a9b3b8 2a88e5 923a91 9e7a98 d57d7f
f1e105 5d7e10 a0b296 00bf13 b0e4da ae4deb df94f7 94119c c75da1 755863
92440e ae9a34 afe67d 00bf8d 3f8a78 8c00fc 674f77 e830d9 fe8fe1 fdd0d9
c03c0c dac0a1 caef0a 00c017 a0c5d0 7281a6 4a4eef b196fb c07780 8c3f44
f6786f 85533a e7bb2f 309c00 7ff2a7 99b9b8 00c0ea 6f5ee3 5b585f 8c6e97
dd221e d9a724 c8cea2 82b0aa 95e6eb 00c0eb ae5ce4 755888 973448 dd6974
bd3833 c58e2d e4c50b a1c9aa 00c1e3 66686a 4b36f9 94909b b15ae9 8e388f
9e3905 d08a11 fdda0e 968f65 b5c37c a7e1d1 53726d 00c1e4 7f9a9f b705e1
cba704 84fd5d 00c28f 598c8e c6c6ff 6f15f0 73518a eb1de1 eaced5 c51337
efd9ac 457034 52f721 00c34f b4c7c8 8497a7 8d5ccd e887f2 8e386b b37274
00c41b 7ef39e c9bdfc 9278e2 7c07f5 7e3894 9c749a f3d3e2 d39aaf cc3859
973713 dab614 97840f 9ae89c 45836e 00c4a7 91a2cd 7459be ded7e3 705676
ba7c69 7a4c3b c64b0d f67b00 e8c274 a0c1c0 406971 00c5ee 4d8cbf 8242f8
cd3c2c cc9362 d0e6af 72f33c 7c8882 076868 00c5fe 4e96b2 ad1cc5 dbbcca
ea7922 9e591d c9e603 00c698 6788a4 445c8b 9452e7 bd8bf6 626063 eeb8ec
f18e05 9b9687 cec091 c8ef42 9cbfc6 00c6fd 5f666f 8429a6 b855c5 d13642
d98404 97ea09 00c77e 3cfecc 0d907e 5b48d3 9187c5 c5b4eb 9d0579 d41556
a8a8a8 e0d9c9 ba9939 5a7114 89ed46 178b6d 00c7e2 8b10e7 ce39b8 83426c
bf6c33 864716 bac219 00c897 ace9e3 3a6a69 809197 3e89c5 9601e6 fc9bff
b49e29 dddf32 646902 b0d5a8 0e9c6f 096a60 92f1f6 00c8ed 808fa7 a549cb
9f2410 c0da18 3f9b41 6efca0 00c990 2c55da a38afe a387ad edaded 785d68
db3608 a9c257 3f7e59 00c9b3 86f2fd 85839a 6b07fc bd8de2 a943cd 6d566e
f2d8a4 728145 a6ee1b 6eb80b 00cabd 2a8ec4 7f24e2 be3388 f47a93 774c51
7d743c d0e23b 72b52a b5ecd6 52726d 00cae3 128af2 2a46f8 903d94 b48ea5
d42117 a2baa6 00cb39 65fba0 3d956a 076b58 903fdf dbc9e6 8f4185 e061be
898b84 92e53c 049c28 00cb7c 3dfcd0 326474 cdb1db ba76da a718e4 9e3744
e5c2c1 af978d 8e3e14 729c37 5e6859 8eee6b 00cbe9 1493d0 3f5cb8 a7638d
bdf005 427b2a 00cc62 869899 3e44ec 6d5aa3 d2b8e5 d16ee5 785468 ffb8c0
895413 968c12 b5d03e 697562 8ba386 a0eec1 479299 00cef1 37607b cb51fc
b4dd19 83af18 458d36 8ef5d0 00cf85 6651cf 8776ac cda6da 725860 aa7f8a
1a741f 6cff89 00d039 6e7a73 c4ddd7 6b17fb bf7bec 984ea5 ffaefc eb77ab
93998a b1eda7 00d12e 666f6c 0654ec 5188f4 d0abe2 72477f 9970a1 ba173b
c5ad98 869143 d6e96f 81c101 585e4e a4e7da 00d7fe 3c9df2 3c58d0 946391
786865 a73114 c66a04 ddc9ad a89872 00db2b d5dcf2 a3abce 4b559c 8964f1
7b543d c1550d c39a57 d9dbc0 8bf000 00dcf4 495c73 a7abb2 4167d3 7785b1
a82206 a38806 dedd53 86c179 308859 00dfde 830ffe a75feb a73c97 e5639c
5b5956 f0d6a6 bae207 0fb74d 718483 00e2f4 4967e6 9a9aff 983c8e f098ba
b01a04 f7a10a 8c945c 477050 00e488 86a5b1 208efa 1e4bec a64483 f5d2e6
998a85 da864d 965e21 f1d751 5b6153 a8c1b6 00e4fe 2ba5c5 426b93 b90dfa
c8d653 498423 00e6b5 c8ddf3 2755e6 6383e8 ab90b5 99098f 7b616f c77c7f
e3cccc ad421d 909477 c3f046 8ac45c 00e6fe 3d81a9 6ca9f8 8021f8 715659
a32706 eac7a5 6e6d55 00e816 30ac59 c8e1fd a9acbd 5c57ae ca7ffc ad6891
c01f03 695751 cc7c07 7b8870 b3edbc 00e94b afb7b4 2a9aa9 edbcf3 9f20a1
be1402 c9774f 00ee1a 92ad99 c2e1e1 7792ff 5459ff 767294 bba2cc 7f4858
ad7c72 5a6818 46b82f 00f165 c5dad7 a1a6af e9abf8 ad09ba e543e6 754b70
78534b a64208 d37a2b eab920 00f296 99afaa 308390 d7daea 846fea d2a5fa
607c33 8ab963 a0f15d 00f4be 316290 8878dc 7622fe cbb0cd 80626b c38396
b7706c 72de1a c3cebf 00f4fb 869ea1 0bb4e5 054fe3 6f68a9 7d5067 dc0114
8bad01 00f562 8fa6e4 595674 a162fb e2cdf1 8926bd af789b c63650 f0a0a7
825225 cd7a1e d9e005 99a888 00f591 acc9fb 729cf2 4f69da 777784 6b4b86
826417 a6df16 92948f 13b853 54665e 00f69f 348097 a145f0 eeccfa e574ea
c25416 efc40e 00f799 109c6a 93baae 256576 8989a8 6e36e7 cab0ea c165f5
b5b125 abf36b 357944 6db593 00f7c9 8462dd 5f21fb 615d66 9a79a7 fa9bec
dbdfb7 616823 89af23 00f837 9bc1de 389bf2 607f9e 9827fd 962765 bca5a7
b43924 8d8d6f dce222 67b51e 00f89b a6d4ca 5130fd 8164e5 eb78cb 98607b
b61a0a 97c00b 659854 00f8c7 08b89f 4241ec a878ff 8b5ea9 e8aee7 984d5f
d1897c f65f26 6b592b dcd304 00f9b5 91c0c2 3469e5 847f95 c996f8 983295
c33417 d78000 f2bf64 a1a48e 00f9cb 35959b 266294 abb1f7 b060f4 8b5053
904517 c68d0a bebc88 a8f664 00f9d6 65c0c2 5d4ae9 a697fa 836ebb 816266
9e291f 99ab24 00fa05 b0cfc1 70aff9 397bf0 576697 e4d1fc bb83ad d04c6d
a23d08 cc7126 a0d55e 5b6d5d 35b685 00fad5 4a61f5 9c85d7 dec0fc 7b4298
9b3520 ae9f97 e4ccad 8de110 43ad3b 5d7b75 00faf6 8a1eed 9a429c ef58c9
b53302 e56f20 8db580 00fb5c 4d665d 33958d 9c40ef 784582 cb87d1 ccc9cb
826762 42910c 4dc431 00fb7f bee4d8 5a5984 a98ec6 e2bdfe b308ef d48991
685f5f cb402a 828b77 83bd5c 00fc11 3faed3 ded5f8 7e4dd7 823c7d e4acb6
b9913f 93e225 00fc9f 9b98ef dddbec b438b1 6e526b 887f86 b4aeb0 c51d43
a83006 83907e 24ad27 b1ccb4 00fe7d 22665d 7557ff b781fc aa5da6 f29cd6
dfbe35 5b6c56 37932a 77d099 00fef4 aeaab7 9048c1 f25ff4 8b3672 e94383
9e4714 a5864a e9d30f 677262 b7cac0 00fefc 50aab8 9981fa 6816fa 7647a3
a46718 d8bc33 8cb09c 2b735b 00ffc8 254ff5 cbceef 9876ff 795fa8 af95cb
765d0d f2e032 a2a508 b5e7a1 537d62 66e7f3 2f9afb 0148ff b01092 fe81b6
edb6ad fc7946 c15501 b8eb0d 7bcdde 18a1fe 014afd 5a62a8 a186ac 8a4a5e
884b2a e5935e aa7903 f1cd00 bce4d6 01d8e8 014bef 587ae2 676577 a591a3
9e5e06 d09127 acc2a2 47f96e 3c7655 7b9cd5 014bfb 919092 6e5977 eed1f9
aa5813 acae92 d7e2b8 758666 6dd342 409798 014cef bf65dd 854a8f efaccf
f7d0bc d28353 a14e0d b0d41a 85e3f8 69b0c6 4c6491 014df3 9e7ef5 83777e
a5a227 a5dd6b 2c6e31 719c7a 60fcc8 128af3 014ee7 8e4987 eeabd5 ca76a9
c21900 d38d1b e0e28c 38834f 56c19e 098eed c3d3e6 014ef4 8b8a9f 666171
e38217 646d27 80b295 21ea7c 4492ff 0150fc 475890 e8d1ed ad89b0 975f71
665f5e c63a11 ed7645 f8d868 b6c1a4 0b9c9f 91d1dc 0151e9 5c68a3 b17ced
c0d048 04ad4a 51f9ea 93bef2 0152de 8282dd 877c87 8d4a8c a1353c e09e9f
fd6901 89530a e0e240 42a668 32e8b3 0153e1 a9a6b3 735d90 be70f6 fa9bff
6f5552 f6955f e9e000 577a0b bad5b4 969e99 50dade 0154fe 747cd5 ca1b88
fcc7b6 5f8d16 7ad744 429bfc 0157ff 644e9d d2c6df a990b2 a2627b e37c86
aa0100 b77c06 c9e26a 37804e 0df1bd 04aa92 9bc4d4 0158e5 6c6586 ad85dd
a8a509 d6d983 81a488 3d7661 95d3d2 0aa0f8 0158e6 97118f ba609c cf0c14
bb8236 cbde05 98a08d 91dc91 0158ec 565975 777dc8 dea6e8 7f7274 b42d39
ab634a fc5d08 fdba28 90f2a8 70b989 3d8cf6 015ade 5d6c96 5c585d c8a7c4
f5bea8 827338 26de0b 749d81 446153 cfe1e8 015bdd afacbf db6de5 c84393
9d4d4d bd0000 b3844a ddc557 5df2c5 20c09e 4c8e8d a0bbd7 015dca ab8af0
d5574b 8b4008 ace90d 44fea5 1a97f9 015de0 667c9e e5b5d6 765f67 ec8996
bab51c d8e688 418d33 a7dac1 13d0ee 1c98e4 0161d0 8f949e 902782 88646c
dd8d61 d1cb0b 8fc1ae 5a7d72 70f1ef 0162db 6391fb 8e79a4 794282 c1182e
b62300 e99600 72694f 889659 9be389 27fdf6 0163bc 6a86b4 922678 c0b3b8
d5110c a28179 cbb80f a4f49a 07ebff 89b0b6 1ca1f3 0163c7 7b80a2 6f4e72
76513b 8f8339 95fd01 b4cba4 4ece30 819a93 55707c 0163db cc82d9 f5c5f3
e6b4aa 89936c 3a8304 90f85e 4ac419 0163f9 c5c9e0 65636d 9a0097 eb60b1
c0adaa ffd2a6 10f418 23b050 bcdbec 0164a8 5a6574 848ba2 fe66f7 b62c41
8b491b d8e870 2cbf16 6b736c 1aedc3 0164f0 8d8bff 714393 cea3cf b566ac
b81d18 876a5d 62f701 84c25c 0166f7 7988bc c2a7ff 675194 eed0f2 fb9db5
706018 aeca99 47c524 5bfc47 016781 7757fc a388fb dd98c9 efd5e2 d45b61
7c6935 fac804 b39d1a 79a06f 1ceba1 1498f6 0167cc 565c7b ddd3f4 ee81b2
